iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code,skew_error
0,0,5,8,537,13.625359616797258,-22.90117085430036,500.08823339365097,510.49401781869585,1.020807896947365,1.020976881706749,0.0,45.00718329387806,45.00718329387806,45.00718329387806,-48.46412344191165,-4.544929917944529,phase,55.06967052491,59.472071292482845,8.855426997493357,53.516590846722465,57.852618119556034,8.597440339987122,55.06967052491,59.472071292482845,8.855426997493357,53.516590846722465,57.852618119556034,8.597440339987122,-24.33833927003741,-24.33833927003741,37.75093657333756,55.06967052491,59.472071292482845,8.855426997493357,55.06967052491,59.472071292482845,8.855426997493357,nan,-24.33833927003741,nan,-24.33833927003741,False,8.045338972557147,40f73c2f100ed7de,,13.625359616797258,-22.90117085430036,0.02097688170674905,tone,45.00718329387806,1,4.76887586587904,-8.015409799005125,1.003670954298681,0.9964044687353307,0.0,,,,,,,,
1,1020,4,8,1585,9.41276940189583,-14.925817029109762,501.80077014299945,508.4647024122569,1.0132800359540268,1.0136000033109918,0.0,44.98138979477318,44.98138979477318,44.98138979477318,-46.571867393572,1.4542323156354962,phase,54.80430236768068,59.419476430448945,8.811345908252605,53.54817685902215,57.89442673114892,8.60268718588408,54.80430236768072,59.41947643044888,8.811345908252612,53.54817685902215,57.89442673114895,8.60268718588408,-24.34293610423125,-24.68462080947209,24.226063855121005,54.80430236768068,59.419476430448945,8.811345908252605,54.80430236768072,59.41947643044888,8.811345908252612,nan,-24.34293610423125,nan,-24.68462080947209,False,9.08848017909395,7d64aa61784240eb,,9.41276940189583,-14.925817029109762,0.01360000331099176,tone,44.98138979477318,2,8.051295543915417,-13.258296723046056,1.0060596917514626,0.9940648444208241,0.0,,,,,,,,
2,2040,2,8,2623,5.796890151202577,-9.676573522820942,502.7382427191471,507.5859577793879,1.0096426224391069,1.0088223868665014,0.0,44.993572470865416,44.993572470865416,44.993572470865416,-45.73728578542034,-5.504934939432306,phase,54.809385716488464,59.64371912479693,8.812190318353567,53.409576750438575,57.93318932638818,8.579663912032986,54.80938571648849,59.64371912479696,8.81219031835357,53.40957675043868,57.93318932638825,8.579663912033004,-24.343761376126615,-24.846262500884087,16.436513317819045,54.809385716488464,59.64371912479693,8.812190318353567,54.80938571648849,59.64371912479696,8.81219031835357,nan,-24.343761376126615,nan,-24.846262500884087,False,7.753287400623117,0bbe48be4115bf2e,,5.796890151202577,-9.676573522820942,0.008822386866501386,tone,44.993572470865416,3,10.067986570855124,-16.66531866129858,1.0076129651184618,0.9925435118950421,0.0,,,,,,,,
3,3060,5,7,849,3.964291833230175,-6.328819421536042,503.62583578182443,506.58258304120767,1.0058709205312972,1.0057082535207529,0.0,44.990221143143934,44.990221143143934,44.990221143143934,-45.348318503380206,1.0112762944695184,phase,54.720034835707374,58.815501331185594,8.797347979353384,53.695051723676734,58.02925050531492,8.627085003933013,54.72003483570732,58.81550133118555,8.797347979353376,53.69505172367667,58.02925050531486,8.627085003933002,-24.33695131120391,-24.91085432635346,9.528057026235343,54.720034835707374,58.815501331185594,8.797347979353384,54.72003483570732,58.81550133118555,8.797347979353376,nan,-24.33695131120391,nan,-24.91085432635346,False,7.190935487085522,a326ffdb4ddb4c7b,,3.964291833230175,-6.328819421536042,0.005708253520752882,tone,44.990221143143934,4,11.44500551529421,-18.897046309498503,1.0086195144132082,0.9915576437311115,0.0,,,,,,,,
4,4080,3,7,4766,2.846549654969029,-3.657058873107299,504.38086462890675,506.1248646295882,1.0034577045304138,1.0037141321823466,0.0,44.99333490139214,44.99333490139214,44.99333490139214,-45.174185805141015,-9.719809146863359,phase,50.271710623329696,54.32966223267599,8.058423691583007,51.08119338619431,55.34227909978355,8.192889266809686,50.27171062332965,54.32966223267593,8.058423691583,51.081193386194286,55.34227909978354,8.192889266809683,-24.342100756989602,-24.952141578607645,5.889835021165121,50.271710623329696,54.32966223267599,8.058423691583007,50.27171062332965,54.32966223267593,8.058423691583,nan,-24.342100756989602,nan,-24.952141578607645,False,7.417502340901483,7e2296fda9f27f46,,2.846549654969029,-3.657058873107299,0.003714132182346619,tone,44.99333490139214,5,12.43278372600906,-20.187914887518012,1.0092750899978977,0.9909155427518571,0.0,5,44.99314032081055,0.004147446010809518,44.99314032081055,move-1:OK,-1,23,
5,5100,3,7,5800,1.0748466811839488,-2.994392800000133,504.6710045557845,505.45633031514495,1.0015561142848928,1.0024441366863144,0.0,52.386573514778846,52.386573514778846,52.386573514778846,-52.48666887491844,-5.677703901524248,phase,50.29706216923498,54.54340252119774,8.062634911833053,51.16193509191155,55.91810081961274,8.206301510284312,50.297062169235,54.543402521197734,8.062634911833056,51.16193509191156,55.91810081961272,8.206301510284312,-23.147954667877624,-23.63866386619643,5.086711110349141,50.29706216923498,54.54340252119774,8.062634911833053,50.297062169235,54.543402521197734,8.062634911833056,nan,-23.147954667877624,nan,-23.63866386619643,False,6.9574651488886134,f5ddfe73f2e0a90c,,1.0748466811839488,-2.994392800000133,0.00244413668631438,tone,52.386573514778846,1,12.805522875268322,-21.2455605039038,1.009706781095856,0.9904927378643551,0.0,,,,,,,,
6,6144,0,7,6829,1.4757634665336896,-1.4475678407485755,504.66665091462875,505.5365972429244,1.001723803874734,1.0015534943284754,0.0,52.39216161011671,52.39216161011671,52.39216161011671,-52.44752357950697,-2.199470333392056,phase,54.936947478265374,60.03315833699937,8.833379979778302,53.46277644640356,57.78783763237257,8.588501070831157,54.93694747826537,60.033158336999335,8.833379979778302,53.462776446403495,57.787837632372465,8.588501070831146,-23.157305220922716,-23.65357844024796,3.038090765977076,54.936947478265374,60.03315833699937,8.833379979778302,54.93694747826537,60.033158336999335,8.833379979778302,nan,-23.157305220922716,nan,-23.65357844024796,False,6.806786362527404,efd0bf7f537aa29f,,1.4757634665336896,-1.4475678407485755,0.0015534943284754021,tone,52.39216161011671,2,13.317074568252105,-21.757072325135734,1.0099812815034808,0.9902238786866957,0.0,,,,,,,,
7,7140,3,7,3842,0.9374312899206763,-1.3743661414026143,504.8505390224657,505.50119188810464,1.001288802953244,1.0010470708937618,0.0,52.39016934762518,52.39016934762518,52.39016934762518,-52.424026584902954,0.7338119040753647,phase,54.674457589991164,58.891947277375834,8.789777008304181,53.19608064024849,58.31194602584154,8.544199441901743,54.67445758999119,58.89194727737597,8.789777008304185,53.196080640248425,58.311946025841486,8.544199441901732,-23.154204975314855,-23.65438353746419,2.7785353549292724,54.674457589991164,58.891947277375834,8.789777008304181,54.67445758999119,58.89194727737597,8.789777008304185,nan,-23.154204975314855,nan,-23.65438353746419,False,6.967212394563512,2d46850474f22c09,,0.9374312899206763,-1.3743661414026143,0.00104707089376177,tone,52.39016934762518,3,13.641933016107513,-22.242849491132667,1.0101663478540244,0.9900426224195632,0.0,,,,,,,,
8,8160,2,8,636,0.293915591653942,-0.6090886904551278,505.27036224614363,505.5137743838205,1.000481746320118,1.0006637853441651,0.0,52.38064610482977,52.38064610482977,52.38064610482977,-52.400729732097915,-6.6803597012893725,phase,54.80755842430278,58.890530820830264,8.811886781445645,53.41780592497678,57.47539932585266,8.581030884547639,54.80755842430284,58.89053082083037,8.811886781445656,53.41780592497676,57.47539932585266,8.581030884547635,-23.15461768773507,-23.656477248457488,1.194746446880531,54.80755842430278,58.890530820830264,8.811886781445645,54.80755842430284,58.89053082083037,8.811886781445656,nan,-23.15461768773507,nan,-23.656477248457488,False,6.985301263734767,8acc68b14b5aede9,,0.293915591653942,-0.6090886904551278,0.0006637853441651131,tone,52.38064610482977,4,13.74376818147153,-22.458174606265892,1.0102836912369773,0.9899276929460628,0.0,,,,,,,,
9,9180,3,8,1707,0.14040913705040714,-0.5009540499353118,504.9895890362983,505.6830770387109,1.0013732718801907,1.000436604945946,0.0,52.41023674493464,52.41023674493464,52.41023674493464,-52.42298817753534,-3.3255851449135543,phase,54.744348516745035,59.0117131841372,8.801386796801502,53.24291780911986,57.577708741957146,8.551979702511606,54.74434851674505,59.01171318413721,8.801386796801504,53.24291780911988,57.577708741957196,8.551979702511609,-23.149715077659177,-23.653202643285354,-0.25979703398396514,54.744348516745035,59.0117131841372,8.801386796801502,54.74434851674505,59.01171318413721,8.801386796801504,nan,-23.149715077659177,nan,-23.653202643285354,False,9.154357811262015,4c0509786421c23d,,0.14040913705040714,-0.5009540499353118,0.0004366049459461063,tone,52.41023674493464,5,13.792411150168245,-22.635292509650895,1.0103608828368478,0.9898520896726237,0.0,5,52.39195746445703,0.0049714429635083586,52.39195746445703,abort:direction,,,direction: error moved +7.40 ps after a -7.4 ps expected move
