part,N,population,estimator,SE_ps,CI95_half_ps,false_trigger_8ps,false_trigger_13p8ps,detection_power,sign_correct
A,5,tol5 (75),mean,8.418,16.279,0.355,0.1026,,
A,5,tol5 (75),median,12.839,,,,,
A,5,tol5 (75),trim10,8.418,,,,,
A,10,tol5 (75),mean,5.957,11.628,0.1825,0.0189,,
A,10,tol5 (75),median,9.33,,,,,
A,10,tol5 (75),trim10,6.963,,,,,
A,15,tol5 (75),mean,4.847,9.454,0.099,0.004,,
A,15,tol5 (75),median,8.14,,,,,
A,15,tol5 (75),trim10,5.449,,,,,
A,20,tol5 (75),mean,4.227,8.235,0.0573,0.0011,,
A,20,tol5 (75),median,6.937,,,,,
A,20,tol5 (75),trim10,5.041,,,,,
A,25,tol5 (75),mean,3.762,7.39,0.0328,0.0002,,
A,25,tol5 (75),median,6.401,,,,,
A,25,tol5 (75),trim10,4.364,,,,,
A,30,tol5 (75),mean,3.432,6.699,0.0184,0.0,,
A,30,tol5 (75),median,5.683,,,,,
A,30,tol5 (75),trim10,4.128,,,,,
A,40,tol5 (75),mean,2.984,5.836,0.0064,0.0,,
A,40,tol5 (75),median,4.896,,,,,
A,40,tol5 (75),trim10,3.607,,,,,
A,50,tol5 (75),mean,2.661,5.233,0.0028,0.0,,
A,50,tol5 (75),median,4.317,,,,,
A,50,tol5 (75),trim10,3.226,,,,,
A,75,tol5 (75),mean,2.169,4.246,0.0003,0.0,,
A,75,tol5 (75),median,3.449,,,,,
A,75,tol5 (75),trim10,2.607,,,,,
B,5,ideal +13.8 ps,mean,11.903,23.304,,,0.2182,0.8749
B,10,ideal +13.8 ps,mean,8.445,16.463,,,0.376,0.9484
B,15,ideal +13.8 ps,mean,6.85,13.364,,,0.5229,0.978
B,20,ideal +13.8 ps,mean,5.952,11.615,,,0.64,0.9906
B,25,ideal +13.8 ps,mean,5.318,10.455,,,0.7429,0.9956
B,30,ideal +13.8 ps,mean,4.853,9.462,,,0.8095,0.998
B,40,ideal +13.8 ps,mean,4.206,8.195,,,0.9069,0.9994
B,50,ideal +13.8 ps,mean,3.781,7.412,,,0.9562,0.9999
B,75,ideal +13.8 ps,mean,3.059,6.0,,,0.9944,1.0
