iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,8,2447,-6.219132055786755,-8.016488856181923,16.7608523596924,17.021648566182645,1.0155598415219875,0.0,-42.11232215106329,-42.11232215106329,-42.11232215106329,-43.52941360229691,-278.96377198838326,phase,37.00829386247278,40.81442161628508,5.85519831602538,37.40047264029165,41.600247687894026,5.920344292407252,37.00829386247278,40.81442161628508,5.85519831602538,37.40047264029165,41.600247687894026,5.920344292407252,-25.251529422595077,-25.251529422595077,2.2872549019607833,37.00829386247278,40.81442161628508,5.85519831602538,37.00829386247278,40.81442161628508,5.85519831602538,nan,-25.251529422595077,nan,-25.251529422595077,False,6.712689876281157,9d7ff0b2dc6235fb,,-6.219132055786755,-8.016488856181923,0.015559841521987527,-42.11232215106329,1,-2.176696219525364,-2.805771099663673,1.0027229722663478,0.9973187475961367,0.0,,,,,,,
1,1020,0,7,360,3.759464397431703,-0.8536022722921068,16.731106138925085,17.285890989045875,1.033158886538295,0.0,-44.01708300172082,-44.01708300172082,-44.01708300172082,-47.89722762614496,609.1038101318456,phase,37.111865845609465,42.268229518053474,5.872402964386955,37.193401024734015,42.634319787300925,5.885947014075419,37.11186584560946,42.26822951805347,5.8724029643869535,37.193401024734,42.63431978730091,5.885947014075416,-24.1122920654496,-24.461631856877545,5.034789408787353,37.111865845609465,42.268229518053474,5.872402964386955,37.11186584560946,42.26822951805347,5.8724029643869535,nan,-24.1122920654496,nan,-24.461631856877545,False,6.725214471568865,3dd0c04490aae433,,3.759464397431703,-0.8536022722921068,0.03315888653829502,-44.01708300172082,2,-0.8644568717750023,-3.105335101666391,1.008541578288024,0.9917172409601629,0.0,,,,,,,
2,2040,0,7,4000,-7.3117128379376926,-8.612847313527357,17.093216570078173,16.510876932457222,0.9659315357508346,0.0,-48.29702784847876,-48.29702784847876,-48.29702784847876,-49.556196326454646,87.40137720722284,phase,36.81167729711032,41.42292599634133,5.822537756995071,37.2116852799791,41.9802036593412,5.8889842657772595,36.81167729711032,41.42292599634135,5.822537756995071,37.21168527997909,41.980203659341186,5.888984265777259,-23.316614680322502,-24.098670605094433,1.1039298358828749,36.81167729711032,41.42292599634133,5.822537756995071,36.81167729711032,41.42292599634135,5.822537756995071,nan,-23.316614680322502,nan,-24.098670605094433,False,6.8691189866810625,58aced10eabe5605,,-7.3117128379376926,-8.612847313527357,-0.03406846424916543,-48.29702784847876,3,-3.401882743321324,-6.145008544084305,1.002528672314876,0.9978383782982942,0.0,,,,,,,
3,3060,0,8,8208,1.0979529648723485,0.5669641877626848,16.996709633268274,17.363146779130588,1.0215592990507452,0.0,-44.664032507532724,-44.664032507532724,-44.664032507532724,-44.91189802928663,222.24758749557805,phase,37.06555124234252,40.535264889689756,5.864709508694772,36.86112774014461,40.42741560187065,5.830752116303092,37.06555124234252,40.53526488968974,5.864709508694772,36.861127740144624,40.42741560187067,5.830752116303095,-24.889351861175463,-24.99612620156141,0.9568579159189168,37.06555124234252,40.535264889689756,5.864709508694772,37.06555124234252,40.53526488968974,5.864709508694772,nan,-24.889351861175463,nan,-24.99612620156141,False,5.950912736390942,a0b18d15c86aad39,align_margin=6.0,,,,,,,,,,,,,,,,,
3,3060,0,7,463,-6.536634887466033,-7.427344185263983,16.681206686646842,16.70017990899161,1.0011374010706287,0.0,-41.93748218584339,-41.93748218584339,-41.93748218584339,-45.900520523481696,-194.66778963482113,phase,37.009241470671796,40.741077595060716,5.855355726025216,37.42751952559546,40.95115822028174,5.924837130497585,37.00924147067179,40.7410775950607,5.8553557260252145,37.42751952559546,40.95115822028174,5.924837130497585,-24.55458255560614,-24.87548601232742,0.4113683644259596,37.009241470671796,40.741077595060716,5.855355726025216,37.00924147067179,40.7410775950607,5.8553557260252145,nan,-24.55458255560614,nan,-24.87548601232742,False,5.8855276339957685,c382b74fe0c14e80,align_margin=5.9,,,,,,,,,,,,,,,,,
3,3060,0,8,4008,-3.272880104215046,-3.81649743981634,16.61137386471155,16.757464044301983,1.0087945874182498,0.0,-45.73421598848719,-45.73421598848719,-45.73421598848719,-45.96334141100359,17.620959067726336,phase,36.8562068474373,42.621384575332435,5.829934692265333,37.184803502797536,42.44141102122371,5.8845188542853055,36.8562068474373,42.62138457533243,5.829934692265333,37.184803502797536,42.4414110212237,5.8845188542853055,-24.790508651475584,-24.888827644941124,0.7507519575966017,36.8562068474373,42.621384575332435,5.829934692265333,36.8562068474373,42.62138457533243,5.829934692265333,nan,-24.790508651475584,nan,-24.888827644941124,False,7.002307474854996,45fdd7e6bc286a54,,-3.272880104215046,-3.81649743981634,0.008794587418249789,-45.73421598848719,4,-4.544501471452307,-7.483676341382038,1.0040716168732717,0.9963160406812821,0.0,,,,,,,
4,4080,0,8,7143,3.464255661999266,3.0642196017385848,16.658235916592986,17.62233497508204,1.0578752193999565,0.0,-39.65510523476268,-39.65510523476268,-39.65510523476268,-40.66494125843738,179.0976245215125,phase,37.3991252194521,41.740536910154276,5.920120468347526,37.31464442053105,41.14819284542542,5.906087113045026,37.3991252194521,41.74053691015429,5.920120468347526,37.31464442053105,41.14819284542542,5.906087113045026,-25.42711686505058,-25.817163638971014,0.505397280822047,37.3991252194521,41.740536910154276,5.920120468347526,37.3991252194521,41.74053691015429,5.920120468347526,nan,-25.42711686505058,nan,-25.817163638971014,False,6.422969736265841,57c76ccc5cea73eb,,3.464255661999266,3.0642196017385848,0.057875219399956546,-39.65510523476268,5,-3.336928763167319,-6.407233910649774,1.0142410182692383,0.9867772487065579,0.0,,,,,,,
5,5100,0,7,5548,-6.8694916618096755,-5.920490243298523,18.773392271058295,17.16562344956674,0.9143591739693127,0.0,-42.23502021250071,-42.23502021250071,-42.23502021250071,-43.433823946369316,-348.3000582124942,phase,37.20609761455836,41.81085662375302,5.888056082152552,37.09480782155441,41.548453204614745,5.869569405573824,37.206097614558345,41.810856623753,5.888056082152549,37.09480782155443,41.54845320461475,5.869569405573827,-25.15165329003951,-25.21628480916243,0.1507289384991921,37.20609761455836,41.81085662375302,5.888056082152552,37.206097614558345,41.810856623753,5.888056082152549,nan,-25.15165329003951,nan,-25.21628480916243,False,6.5236701346473,63e01b081f1597d6,,-6.8694916618096755,-5.920490243298523,-0.08564082603068734,-42.23502021250071,6,-5.70749161590647,-8.507172460986876,0.9990404415144513,1.0029513886849601,0.0,,,,,,,
6,6120,0,7,3716,2.9043302210809716,1.6926241399528168,16.033888840417337,17.50931686886692,1.0920193499614645,0.0,-47.77953426401488,-47.77953426401488,-47.77953426401488,-55.73079044276328,320.2325024987487,phase,36.45562001947047,41.09375597108034,5.763392029812372,37.02295056616858,41.27252284847741,5.857632984413386,36.45562001947047,41.09375597108031,5.763392029812372,37.02295056616859,41.27252284847742,5.857632984413388,-23.33684457573692,-23.090990902148725,1.198712155149745,36.45562001947047,41.09375597108034,5.763392029812372,36.45562001947047,41.09375597108031,5.763392029812372,nan,-23.33684457573692,nan,-23.090990902148725,False,5.737032422507268,df88492b0065e4c5,align_margin=5.7,,,,,,,,,,,,,,,,,
6,6120,0,7,4736,-6.27578259794158,-7.368755079933206,16.86423169876932,16.70531838570766,0.9905769016993963,0.0,-39.587089963424575,-39.587089963424575,-39.587089963424575,-45.56911677259511,-315.6355489086115,phase,37.062123682945774,42.23085128725724,5.864140146668734,37.16453739668695,41.60388967436912,5.881152391476239,37.06212368294578,42.23085128725724,5.864140146668735,37.164537396686946,41.603889674369086,5.881152391476237,-25.238317157593233,-24.946419097510642,1.1475493712737794,37.062123682945774,42.23085128725724,5.864140146668734,37.06212368294578,42.23085128725724,5.864140146668735,nan,-25.238317157593233,nan,-24.946419097510642,False,6.338575889919716,98a8934fd4016761,,-6.27578259794158,-7.368755079933206,-0.009423098300603727,-39.587089963424575,7,-7.906125242739263,-11.078647317169303,0.9973929816642841,1.004621031056255,0.0,,,,,,,
