iteration,gain_ratio,offset_mismatch_lsb,skew_mismatch_ps,cal_sndr_db,cal_image_spur_dbc
0,1.06889,-2.826,-41.317,37.39,-24.7
1,0.96192,-1.595,-42.169,29.66,-25.4
2,0.99978,0.307,-45.678,37.4,-24.8
3,1.01219,-4.535,-46.503,37.24,-23.9
4,0.97433,-0.564,-42.944,37.01,-25.5
5,1.04773,-1.228,-40.718,36.84,-25.4
6,1.01048,-1.114,-45.216,37.07,-24.8
7,1.00237,1.482,-43.188,37.34,-25.1
8,1.00649,-0.246,-39.674,36.53,-26.0
9,1.02948,-0.544,-42.1,37.25,-25.6
10,0.97107,-1.442,-45.96,36.81,-24.6
11,0.98845,1.91,-42.697,37.58,-25.4
12,0.98364,0.844,-46.871,38.15,-24.3
13,0.97753,0.957,-46.389,37.72,-24.7
14,1.01044,-0.336,-43.239,37.06,-24.8
15,1.01139,-0.188,-40.797,37.37,-25.8
16,1.00811,-0.651,-39.858,37.17,-25.9
17,1.04269,0.11,-46.39,37.15,-24.6
18,0.97732,0.28,-46.026,36.93,-23.9
19,0.99043,1.823,-46.806,37.25,-24.3
20,0.97148,-1.733,-33.081,36.83,-27.6
21,0.98016,-1.472,-32.142,36.92,-27.7
22,1.00799,1.75,-33.377,37.17,-27.4
23,1.04291,0.659,-31.789,36.84,-27.7
24,1.02272,-1.17,-37.455,36.89,-26.6
25,1.022,0.272,-32.307,36.53,-27.5
26,0.95894,0.393,-38.359,37.79,-26.1
27,0.98348,1.99,-40.297,37.1,-25.5
28,0.98341,0.436,-38.608,37.34,-26.1
29,1.00211,-0.776,-38.69,37.2,-26.3
30,1.03596,0.175,-36.391,37.04,-26.6
31,1.00024,-0.237,-32.24,37.23,-27.7
32,1.00137,-0.421,-32.181,37.54,-27.9
33,0.99771,0.065,-33.872,37.17,-27.4
34,0.98146,-1.491,-36.752,37.34,-26.6
35,0.99208,-0.303,-34.06,37.29,-27.4
36,1.03212,0.158,-32.363,36.85,-27.9
37,0.93163,1.188,-40.058,36.83,-25.3
38,1.00714,0.797,-36.761,29.07,-25.5
39,1.0261,1.204,-40.892,37.22,-25.9
40,1.04223,-0.158,-25.848,37.46,-29.8
41,0.99972,-0.57,-26.694,36.85,-29.3
42,0.95636,-1.162,-29.169,37.22,-28.6
43,1.04125,-1.18,-28.692,36.79,-28.6
44,0.99822,0.925,-26.831,36.64,-28.7
45,1.00799,-0.944,-31.394,36.52,-28.2
46,0.97597,-1.063,-31.266,37.31,-28.1
47,0.99663,-0.938,-31.088,37.67,-28.2
48,1.01322,-1.228,-31.201,36.82,-28.1
49,1.028,0.686,-27.13,36.44,-28.8
50,0.99881,1.238,-34.541,37.07,-25.7
51,0.98544,-0.63,-30.505,36.93,-28.0
52,0.98714,1.461,-34.903,37.54,-26.1
53,1.00979,2.218,-34.129,37.3,-26.5
54,1.00036,-0.46,-31.288,37.16,-28.1
55,1.00821,-0.864,-30.289,37.17,-27.7
56,0.92399,2.07,-33.336,36.98,-26.2
57,1.0118,-1.187,-26.306,37.35,-28.7
58,0.9601,-0.89,-28.103,36.9,-28.1
59,1.02897,0.022,-26.654,36.83,-27.2
60,1.04109,-0.754,-21.696,37.47,-30.6
61,1.01607,-1.391,-25.71,37.55,-29.5
62,0.95153,1.001,-21.179,37.27,-31.3
63,1.0518,0.842,-21.257,37.38,-30.6
