iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,7,8131,-58.72135416666667,-65.07552083333334,16.99545744004375,17.995220051178322,1.0588252840302483,0.0,-47.15436685726713,-47.15436685726713,-47.15436685726713,-53.36342679266397,20.95622889456058,phase,37.05860142700241,40.98763122609807,5.863555054319337,37.38710428713123,40.8066576219208,5.918123635736086,37.05860142700241,40.98763122609807,5.863555054319337,37.38710428713123,40.8066576219208,5.918123635736086,-23.438259943059162,-23.438259943059162,4.4228652352237745,37.05860142700241,40.98763122609807,5.863555054319337,37.05860142700241,40.98763122609807,5.863555054319337,nan,-23.438259943059162,nan,-23.438259943059162,False,5.7018844609629,a64fd89e737f7627,align_margin=5.7,,,,,,,,,,,,,,,,,
0,0,0,8,8056,-44.17083333333333,-47.08124999999999,9.677182841843052,9.589746459133798,0.9909646862999023,0.0,-48.078393863643434,-48.078393863643434,-48.078393863643434,-54.5200284434843,10.307376902911614,phase,34.948006528485124,38.477862074384305,5.512957895097197,35.24468599587321,38.34352223594921,5.562240198650036,34.948006528485124,38.477862074384305,5.512957895097197,35.24468599587321,38.34352223594921,5.562240198650036,-23.4185785248034,-23.4185785248034,4.121761712127494,34.948006528485124,38.477862074384305,5.512957895097197,34.948006528485124,38.477862074384305,5.512957895097197,nan,-23.4185785248034,nan,-23.4185785248034,False,6.587953929229388,fdd0d5e157bd80b8,,-44.17083333333333,-47.08124999999999,-0.009035313700097691,-48.078393863643434,1,-15.459791666666664,-16.478437499999995,0.9984188201024828,1.0015955966134584,0.0,,,,,,,
1,1020,0,7,5144,-36.18914616206046,-40.55491870550286,16.635824830911027,16.288604814771663,0.9791281755086653,0.0,-46.22740832290528,-46.22740832290528,-46.22740832290528,-53.77150774133336,-35.499092829969214,phase,36.699494464726634,40.82823619683517,5.803902735004425,36.794557320382715,41.9895295060154,5.819693907040319,36.69949446472664,40.82823619683518,5.803902735004426,36.794557320382715,41.98952950601543,5.819693907040319,-23.838723379906877,-23.623701113238873,2.4929741723204604,36.699494464726634,40.82823619683517,5.803902735004425,36.69949446472664,40.82823619683518,5.803902735004426,nan,-23.838723379906877,nan,-23.623701113238873,False,6.011825047962644,5c5e097666888f80,,-36.18914616206046,-40.55491870550286,-0.020871824491334734,-46.22740832290528,2,-28.146052083333323,-30.650046874999987,0.9947720261856285,1.0053319790449682,0.0,,,,,,,
2,2040,0,8,4191,-24.08362763591761,-26.109262147510492,16.57773517572035,17.69532592929337,1.0674151650829746,0.0,-46.384377372538644,-46.384377372538644,-46.384377372538644,-57.347279083180936,0.20597209319735027,phase,36.43675764238922,39.33949882192134,5.760258744582927,37.397360732251855,41.64188289471554,5.9198273641614385,36.436757642389225,39.339498821921346,5.760258744582928,37.39736073225184,41.641882894715536,5.919827364161436,-23.604106017171627,-22.857839534296808,1.961978186023078,36.43675764238922,39.33949882192134,5.760258744582927,36.436757642389225,39.339498821921346,5.760258744582928,nan,-23.604106017171627,nan,-22.857839534296808,False,6.371318477272155,6777459a9d6258f2,,-24.08362763591761,-26.109262147510492,0.06741516508297463,-46.384377372538644,3,-36.61962135416667,-39.739822135416645,1.0065080022495436,0.9942205023479725,0.0,,,,,,,
3,3060,0,7,6947,73.44345936825225,75.34609898137606,17.296744620799085,17.87586965721346,1.0334817359630775,0.0,-39.12273217525921,-39.12273217525921,-39.12273217525921,-39.809893748733806,-17.471972171421157,phase,37.485359533947374,41.6092304497723,5.934445105306874,37.19942372039857,41.27163322713692,5.886947461860228,37.48535953394738,41.609230449772284,5.9344451053068745,37.199423720398556,41.27163322713691,5.886947461860226,-25.434584176972763,-26.08102563162342,-0.19555213706862773,37.485359533947374,41.6092304497723,5.934445105306874,37.48535953394738,41.609230449772284,5.9344451053068745,nan,-25.434584176972763,nan,-26.08102563162342,False,6.012305621778244,90d263d02c3ce653,,73.44345936825225,75.34609898137606,0.033481735963077464,-39.12273217525921,4,-11.080618463541668,-13.215389596354154,1.0124054384053514,0.9885837893241157,0.0,,,,,,,
4,4080,0,7,1759,-47.65013408289184,-49.2718666410105,17.619080914271002,17.795977782390768,1.0100400735418886,0.0,-44.00812216672597,-44.00812216672597,-44.00812216672597,-44.21952688271516,-29.75695330472415,phase,37.05174384470098,41.16556246135587,5.862415921046675,37.44394389765831,41.145209035108394,5.927565431504703,37.05174384470097,41.16556246135585,5.862415921046674,37.44394389765831,41.14520903510837,5.927565431504703,-23.97145687952914,-25.004244506110616,0.38036553381550675,37.05174384470098,41.16556246135587,5.862415921046675,37.05174384470097,41.16556246135585,5.862415921046674,nan,-23.97145687952914,nan,-25.004244506110616,False,6.742622401211467,5b5e0589ec5c6848,,-47.65013408289184,-49.2718666410105,0.010040073541888628,-44.00812216672597,5,-27.553808251302087,-30.659690737630203,1.014184247790116,0.9868641006837856,0.0,,,,,,,
5,5100,0,8,124,38.1181740307445,40.64215081157393,14.264820314984533,14.470181171064214,1.014396315659438,0.0,-40.733653993199674,-40.733653993199674,-40.733653993199674,-41.481682175628336,-20.31385100096099,phase,36.247583759166474,40.61024302904971,5.728834511489448,36.63210052975069,39.45866767425055,5.792707729194467,36.247583759166474,40.61024302904971,5.728834511489448,36.63210052975069,39.45866767425054,5.792707729194467,-25.341774264936237,-25.63208769659909,-0.2757495051037111,36.247583759166474,40.61024302904971,5.728834511489448,36.247583759166474,40.61024302904971,5.728834511489448,nan,-25.341774264936237,nan,-25.63208769659909,False,6.065624145788085,b733fb3578d98147,,38.1181740307445,40.64215081157393,0.014396315659437997,-40.733653993199674,6,-14.399037863346356,-16.24559585445964,1.016739338189519,0.9844131244674479,0.0,,,,,,,
6,6120,0,7,7982,-27.522841202802013,-27.512529745509248,11.94167105870558,11.435094108314425,0.9575790567416562,0.0,-41.66941634145366,-41.66941634145366,-41.66941634145366,-41.90649608801623,31.018496282570688,phase,35.656934287638144,39.43688582147898,5.630719981335241,35.60025382590609,38.18022989956794,5.621304622243537,35.65693428763814,39.43688582147897,5.63071998133524,35.60025382590609,38.180229899567955,5.621304622243537,-24.51917476398899,-25.457818520197677,2.2260980995958795,35.656934287638144,39.43688582147898,5.630719981335241,35.65693428763814,39.43688582147897,5.63071998133524,nan,-24.51917476398899,nan,-25.457818520197677,False,6.533040029183297,e41783e7429a8ff6,,-27.522841202802013,-27.512529745509248,-0.04242094325834378,-41.66941634145366,7,-23.87343711117513,-26.027449805398767,1.0091914058790927,0.9920448215845841,0.0,,,,,,,
7,7140,0,7,4248,29.682841833020078,31.59182422407136,17.687267357101444,17.973090665154363,1.0161598342062805,0.0,-39.67499868325685,-39.67499868325685,-39.67499868325685,-39.694866038344955,-15.578020698243314,phase,37.40843564442484,41.625964959941946,5.921667050568911,37.39230792225684,41.873538553058424,5.918988026952964,37.40843564442483,41.62596495994193,5.921667050568909,37.39230792225684,41.8735385530584,5.918988026952964,-25.570229334071502,-26.128972661260047,0.9735059845505702,37.40843564442484,41.625964959941946,5.921667050568911,37.40843564442483,41.62596495994193,5.921667050568909,nan,-25.570229334071502,nan,-26.128972661260047,False,6.731707124911638,516259b1e7acfc88,,29.682841833020078,31.59182422407136,0.016159834206280532,-39.67499868325685,8,-13.57906224726384,-14.881644456842531,1.0120453698943392,0.9892839626351232,0.0,,,,,,,
8,8160,0,8,5371,41.42628479716848,37.377805447264265,17.017311682869185,16.725656147343102,0.9828612450097107,0.0,-42.660092157216276,-42.660092157216276,-42.660092157216276,-43.160796622445126,16.8460920113612,phase,36.995849798186754,40.35090601109478,5.853131195712086,36.804045160810624,40.47804350697574,5.821269960267546,36.995849798186754,40.35090601109479,5.853131195712086,36.804045160810624,40.47804350697574,5.821269960267546,-25.147803047180375,-25.365989177599126,1.7592157759360276,36.995849798186754,40.35090601109478,5.853131195712086,36.995849798186754,40.35090601109479,5.853131195712086,nan,-25.147803047180375,nan,-25.365989177599126,False,5.993193923896595,d69ed570d1f7200d,align_margin=6.0,,,,,,,,,,,,,,,,,
