iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,skew_used_ps,skew_observable,gain_mag_ratio,skew_slope_ps,skew_fold_ps,phase_a_samples,phase_b_samples,dither_peak_a_codes,dbc_ab_coherent,snr_dither_db,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,8,3030,-12.5,-14.5,260.7586172167334,252.58825702942656,0.9686669599857713,1.4877434324828012,nan,nan,nan,-681.2268406736125,-974.2470310964421,143.7195256586885,observables-disagree,-75.68207084090126,dither_fold,1.0026936026936026,-194.18401372237557,-75.68207084090126,-0.2880429610976493,-0.5404821789367376,282.375,-14.57519141705755,5.943837709760153,-6.007817677575215,4.218979812281127,-1.2903351623879096,-8.983309235283256,0.8204888387784738,-1.7846028630038633,-6.007817677575215,4.218979812281127,-1.2903351623879096,-8.983309235283256,0.8204888387784738,-1.7846028630038633,-5.046980115492722,-5.046980115492722,3.9647058823529395,-6.007817677575215,4.218979812281127,-1.2903351623879096,-6.007817677575215,4.218979812281127,-1.2903351623879096,nan,-5.046980115492722,nan,-5.046980115492722,False,13.926261117237832,e637dc379f1c3098,,-12.5,-14.5,0.002693602693602637,dither_mag,nan,1,-4.375,-5.074999999999999,1.0004713804713805,0.9995298858294157,0.0,,,,,,,
1,1020,0,7,2530,1.3339618406285019,-0.59138851578241,259.5826052530321,249.67227637317364,0.9618220609574427,1.578799877980109,0.0,-245.22865355334815,-245.22865355334815,-245.22865355334815,-602.4857392923068,133.64937092060651,phase,-72.66683341597367,dither_fold,0.9982880701324874,-204.64268442824425,-72.66683341597367,-0.3256928528066607,-0.5917283425633783,284.21428571428567,-14.616097671170047,6.792409252866342,-5.7760016118408295,4.80537667001096,-1.2518275102725631,-8.518828785369406,0.537377035141276,-1.7074466420879413,-5.7760016118408295,4.80537667001096,-1.2518275102725631,-8.518828785369406,0.5373770351412768,-1.7074466420879413,-5.981817858172251,-5.998115606957405,2.330345042700395,-5.7760016118408295,4.80537667001096,-1.2518275102725631,-5.7760016118408295,4.80537667001096,-1.2518275102725631,nan,-5.981817858172251,nan,-5.998115606957405,False,16.942018636167898,9de5660bd5943045,,1.3339618406285019,-0.59138851578241,-0.0017119298675125627,dither_mag,-245.22865355334815,2,-3.9083333333333354,-5.282083333333334,1.0001716515247618,0.9998298462269584,0.0,,,,,,,
2,2040,0,8,6390,0.0916824013897781,-2.8840925105955195,259.0121385149816,250.05016007699342,0.9653993882704853,1.4193333406215667,0.0,-180.14241915417125,-180.14241915417125,-180.14241915417125,-426.3389140078802,128.68723733336202,phase,-70.23781538949886,dither_fold,0.9909568423868115,-205.78439986925275,-70.23781538949886,-0.3448390304737334,-0.612358750303762,285.5625,-14.833704878636905,6.99452777323769,-6.701528421569351,4.877903024737321,-1.4055695052440784,-9.57210549038073,-0.4322996098869283,-1.8824095498971314,-6.70152842156935,4.877903024737322,-1.4055695052440782,-9.57210549038073,-0.4322996098869293,-1.8824095498971314,-4.751131068267485,-4.7583874560325965,2.1922551579759166,-6.701528421569351,4.877903024737321,-1.4055695052440784,-6.70152842156935,4.877903024737322,-1.4055695052440782,nan,-4.751131068267485,nan,-4.7583874560325965,False,16.376950323784687,134cf7cd03f06012,,0.0916824013897781,-2.8840925105955195,-0.009043157613188524,dither_mag,-180.14241915417125,3,-3.8762499999999993,-6.291687500000003,0.9985888272948901,1.001426568947197,0.0,,,,,,,
3,3060,0,8,1702,3.3298776603504243,2.253230643184717,257.7849857378998,249.2297039523735,0.9668123348571404,1.474177140518116,0.0,-263.66976408719245,-263.66976408719245,-263.66976408719245,-535.1655107265236,128.00793147749658,phase,-70.06009155186305,dither_fold,1.015038475864006,-187.18326359846742,-70.06009155186305,-0.29049482474941335,-0.533833067427421,282.0625,-14.744017992704661,6.613091659730688,-6.113118768971001,4.353900879400193,-1.30782703803505,-8.23933675659752,1.2993962193376842,-1.6610193947836414,-6.113118768971,4.353900879400192,-1.3078270380350498,-8.23933675659752,1.2993962193376856,-1.6610193947836414,-4.598430533982377,-4.5484828036329805,0.432485137214611,-6.113118768971001,4.353900879400193,-1.30782703803505,-6.113118768971,4.353900879400192,-1.3078270380350498,nan,-4.598430533982377,nan,-4.5484828036329805,False,19.289655587132444,34d42b3025ab1899,,3.3298776603504243,2.253230643184717,0.015038475864006084,dither_mag,-263.66976408719245,4,-2.7091458333333307,-5.504180208333334,1.0012168467409248,0.9988301278389653,0.0,,,,,,,
4,4080,0,8,2638,-9.435655291845254,-9.950831622771048,261.3011024048515,251.03452190693812,0.9607097696740419,1.5035009184197807,0.0,-261.1565284983606,-261.1565284983606,-261.1565284983606,-564.7767417134469,132.01401530027093,phase,-63.257773139311276,dither_fold,0.9819659947411185,-205.59182552695222,-63.257773139311276,-0.3445685479886655,-0.6118379211737034,283.75,-14.597040202291163,5.628362978698441,-6.655222679471999,3.8825423182324825,-1.3978775215069765,-9.41992357466883,0.32494119590472037,-1.8571301619051215,-6.655222679472001,3.8825423182324825,-1.397877521506977,-9.419923574668829,0.32494119590472037,-1.8571301619051213,-4.741256043494419,-4.781858917563557,0.5306049878571173,-6.655222679471999,3.8825423182324825,-1.3978775215069765,-6.655222679472001,3.8825423182324825,-1.397877521506977,nan,-4.741256043494419,nan,-4.781858917563557,False,17.041788262317922,f38809dc66ca6c6a,,-9.435655291845254,-9.950831622771048,-0.018034005258881547,dither_mag,-261.1565284983606,5,-6.0076114583333355,-8.991050468750002,0.9980570555120286,1.0020402785754092,0.0,,,,,,,
5,5100,0,8,514,8.99011016930054,8.717132968473985,260.9389223668424,253.6466584837263,0.9720537518244816,1.5639226016362815,0.0,-171.51169315345453,-171.51169315345453,-171.51169315345453,-524.8370464631986,140.52926687289354,phase,-76.29670016324926,dither_fold,0.9959078563931171,-195.68140359464127,-76.29670016324926,-0.2882722350013383,-0.542658059674372,283.625,-14.416322934311472,6.904979511782825,-6.188107322929453,3.8237837200266647,-1.3202836084600422,-8.7279772456947,4.24373677825818,-1.7421889112449667,-6.1881073229294525,3.8237837200266647,-1.320283608460042,-8.7279772456947,4.24373677825818,-1.7421889112449667,-3.427922872263113,-3.3657751196917522,0.7617109924180365,-6.188107322929453,3.8237837200266647,-1.3202836084600422,-6.1881073229294525,3.8237837200266647,-1.320283608460042,nan,-3.427922872263113,nan,-3.3657751196917522,False,17.416713557637244,6f981d4c9046a2d5,,8.99011016930054,8.717132968473985,-0.004092143606882925,dither_mag,-171.51169315345453,6,-2.854947447916682,-5.946266138020835,0.9973423217722005,1.0027608133330785,0.0,,,,,,,
6,6120,0,8,7418,-2.288953040883992,-1.4577473498080509,258.03276697569424,250.8842540640169,0.9722961041132008,1.4100738294050865,0.0,-234.7665790029294,-234.7665790029294,-234.7665790029294,-462.2661222230787,135.31526516482134,phase,-76.74951132526151,dither_fold,1.000047283776551,-210.42667750117423,-76.74951132526151,-0.3234936181874308,-0.5970482989389573,283.375,-14.47867485549203,6.857329278612012,-5.800295631536559,4.80457822324506,-1.2558630617170365,-8.650395737201816,0.39693259962024946,-1.7293016174753848,-5.800295631536562,4.804578223245059,-1.255863061717037,-8.650395737201817,0.39693259962024685,-1.729301617475385,-6.177527572857838,-6.065240081857012,-0.5637676942357093,-5.800295631536559,4.80457822324506,-1.2558630617170365,-5.800295631536562,4.804578223245059,-1.255863061717037,nan,-6.177527572857838,nan,-6.065240081857012,False,17.76660677386326,53b970e56bea180b,,-2.288953040883992,-1.4577473498080509,4.728377655105476e-05,dither_mag,-234.7665790029294,7,-3.658215841145844,-6.455072989713538,0.9973505744417108,1.0027525162197068,0.0,,,,,,,
7,7140,0,8,738,-6.9898824567796884,-6.362391524795164,261.0140856582603,252.35726280957647,0.9668338862753254,1.626969014806499,0.0,-309.8394060146243,-309.8394060146243,-309.8394060146243,-687.5190179907722,130.6757007256383,phase,-66.44080035157099,dither_fold,1.002708099808136,-196.20867285126434,-66.44080035157099,-0.3312767036217357,-0.5863479783283794,283.875,-14.971900552117718,6.76479862758259,-6.712935900228969,4.469357747604987,-1.4074644352539816,-9.169376226332725,0.5586012036267175,-1.8155110010519477,-6.712935900228968,4.469357747604987,-1.4074644352539816,-9.169376226332725,0.5586012036267166,-1.8155110010519477,-6.104797665687211,-5.987070714407925,0.7564087228064835,-6.712935900228969,4.469357747604987,-1.4074644352539816,-6.712935900228968,4.469357747604987,-1.4074644352539816,nan,-6.104797665687211,nan,-5.987070714407925,False,16.432594905089147,73cc7e8899fb48ce,,-6.9898824567796884,-6.362391524795164,0.002708099808135911,dither_mag,-309.8394060146243,8,-6.111173630078136,-8.675797443313812,0.9978232362990864,1.0022785777604206,0.0,,,,,,,
8,8160,0,8,2478,3.042037387984262,2.493967222529447,260.1384839996752,251.09631438354293,0.9652409382990655,1.6628958187041365,0.0,-276.99486432417444,-276.99486432417444,-276.99486432417444,-688.8009026939488,134.12629643382934,phase,-72.72593483637054,dither_fold,0.998041352948706,-196.37701161398275,-72.72593483637054,-0.29953248077815375,-0.5548225958763313,284.125,-14.558360133110678,7.101313887004458,-5.98662574879053,3.2162206281708485,-1.286814908436965,-7.7977479309734505,1.2125596374894472,-1.587665769264693,-5.986625748790532,3.216220628170847,-1.2868149084369656,-7.7977479309734505,1.2125596374894472,-1.587665769264693,-6.477922773566361,-6.398774270270163,2.116257183255753,-5.98662574879053,3.2162206281708485,-1.286814908436965,-5.986625748790532,3.216220628170847,-1.2868149084369656,nan,-6.477922773566361,nan,-6.398774270270163,False,18.305567539444557,0d940b361cb757af,,3.042037387984262,2.493967222529447,-0.0019586470512940046,dither_mag,-276.99486432417444,9,-5.044137859550784,-7.804893338153981,0.9974812191796757,1.0026227962095293,0.0,,,,,,,
9,9180,0,8,2562,-1.5353185777444613,-3.370590574856002,258.0833680714628,251.97305046346537,0.9763242488128662,1.4262006567539731,0.0,-121.79316660489627,-121.79316660489627,-121.79316660489627,-388.02078593798785,120.9577328512906,phase,-71.91651528967124,dither_fold,1.0058302943954593,-208.15553147113994,-71.91651528967124,-0.3560009096930895,-0.6266031006055715,284.6875,-14.747256602831744,6.561524808761542,-6.3121981237518545,4.2024021420541215,-1.3408966982976505,-9.269377629134116,-0.19003532922817204,-1.8321225297564978,-6.312198123751854,4.20240214205412,-1.3408966982976502,-9.269377629134114,-0.19003532922817057,-1.8321225297564974,-6.200041891793093,-6.094231800229188,1.8465728511417163,-6.3121981237518545,4.2024021420541215,-1.3408966982976505,-6.312198123751854,4.20240214205412,-1.3408966982976502,nan,-6.200041891793093,nan,-6.094231800229188,False,17.118534002915215,b4d353bdee192b37,,-1.5353185777444613,-3.370590574856002,0.005830294395459346,dither_mag,-121.79316660489627,10,-5.582856275374678,-8.98151400313342,0.9984989507829836,1.0016057483358844,0.0,,,,,,,
