iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,skew_used_ps,skew_observable,gain_mag_ratio,skew_slope_ps,skew_fold_ps,phase_a_samples,phase_b_samples,dither_peak_a_codes,dbc_ab_coherent,dbc_ab_coherent_cal,snr_dither_db,snr_dither_db_cal,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,8,6366,-4.8,-7.433333333333334,259.8513101076707,251.6666772917927,0.9685026301676652,1.3370246057339965,0.0,-418.0003491363329,-418.0003491363329,-418.0003491363329,-604.4490815285556,137.83056182857032,phase,-200.64593271584297,dither_phase,1.0020332090816673,-200.64593271584297,-73.34826248897922,-0.30291087002241873,-0.5637505825530146,282.25,-14.538434156401866,-14.538434156401866,7.234640430963964,7.234640430963964,-5.588228178875026,5.634791950041121,-1.2206359101121307,-8.814831743438582,0.42883616604274644,-1.7566165686775053,-5.588228178875026,5.634791950041121,-1.2206359101121307,-8.814831743438582,0.42883616604274644,-1.7566165686775053,-4.039631152825001,-4.039631152825001,3.235761826006887,-5.588228178875026,5.634791950041121,-1.2206359101121307,-5.588228178875026,5.634791950041121,-1.2206359101121307,nan,-4.039631152825001,nan,-4.039631152825001,False,16.317197767937728,a76fd442a4ed723f,,-4.8,-7.433333333333334,0.0020332090816672643,dither_mag,-418.0003491363329,1,-1.68,-2.6016666666666666,1.0003558115892917,0.9996449103821441,0.0,,,,,,,
1,1020,0,8,1726,-2.1957810064384753,-3.9386009469056473,263.5110532424952,253.90576122454195,0.9635488079161748,1.7195587749323422,0.0,-174.57182867059532,-174.57182867059532,-174.57182867059532,-481.76851971607107,135.0308700713706,phase,-185.58169296022854,dither_phase,1.00504601684057,-185.58169296022854,-68.35067067382906,-0.2855620166677149,-0.526818217516012,283.8125,-14.682068287040497,-14.704762731655999,6.808855267093841,7.058431226216202,-5.45387147049944,4.264419817558171,-1.1983175200165184,-7.898360462885541,1.2876679393090589,-1.6043788144328144,-5.45387147049944,4.264419817558171,-1.1983175200165184,-7.898360462885542,1.2876679393090567,-1.6043788144328144,-3.2669119539896387,-3.278539288958,2.31431603840608,-5.45387147049944,4.264419817558171,-1.1983175200165184,-5.45387147049944,4.264419817558171,-1.1983175200165184,nan,-3.2669119539896387,nan,-3.278539288958,False,19.505222565460066,6b112a508435b269,,-2.1957810064384753,-3.9386009469056473,0.0050460168405699335,dither_mag,-174.57182867059532,2,-2.4482499999999927,-3.980666666666666,1.001239178736864,0.9987666029520612,0.0,,,,,,,
2,2040,0,8,5074,2.2844106228863645,0.06392106258894613,259.2305507169517,250.74256762626513,0.9672570109224725,1.7253370188099928,0.0,-354.46645627985316,-354.46645627985316,-354.46645627985316,-798.2180180444568,135.76768120294412,phase,-206.56310388991415,dither_phase,0.9894993768301547,-206.56310388991415,-75.06319418291372,-0.3084730260355636,-0.577005061092452,284.0,-14.40402342548532,-14.426762425321915,7.056377439843704,7.303539955926114,-6.174084066877318,3.7179768125620107,-1.3179541639331094,-8.821958275586956,0.4818980690084443,-1.757800378004478,-6.174084066877317,3.717976812562012,-1.3179541639331092,-8.821958275586956,0.48189806900844345,-1.757800378004478,-2.2138728343789498,-2.2510695248038126,0.14086417997178957,-6.174084066877318,3.7179768125620107,-1.3179541639331094,-6.174084066877317,3.717976812562012,-1.3179541639331092,nan,-2.2138728343789498,nan,-2.2510695248038126,False,16.22767308322296,682b5be9e23b4581,,2.2844106228863645,0.06392106258894613,-0.010500623169845347,dither_mag,-354.46645627985316,3,-1.6496958333333327,-3.958266666666661,0.9993992925560737,1.0006214222638419,0.0,,,,,,,
3,3060,0,8,5154,0.2745308215014576,0.7920919178640322,261.69531510435104,252.0458774774983,0.9631272053035989,1.7113231899632142,0.0,-379.70560618765717,-379.70560618765717,-379.70560618765717,-825.963469108908,134.44095841403936,phase,-181.75367784427084,dither_phase,0.995501590781214,-181.75367784427084,-66.32064526876977,-0.2859558727561752,-0.5222356539537273,284.5,-14.865659074532546,-14.901442310435883,7.25701994539289,7.39486322145762,-6.421135809813595,3.5637146931078707,-1.3589926594374744,-8.724170029929883,0.8627375773432571,-1.7415564833770572,-6.4211358098135936,3.56371469310787,-1.3589926594374742,-8.724170029929882,0.8627375773432587,-1.741556483377057,-4.303275528269902,-4.281483460989347,0.07975971788340486,-6.421135809813595,3.5637146931078707,-1.3589926594374744,-6.4211358098135936,3.56371469310787,-1.3589926594374742,nan,-4.303275528269902,nan,-4.281483460989347,False,15.395677315045981,2767966628492078,,0.2745308215014576,0.7920919178640322,-0.00449840921878597,dither_mag,-379.70560618765717,4,-1.553552291666658,-3.68120666666667,0.9986125438326693,1.0014126925316336,0.0,,,,,,,
4,4080,0,7,4476,1.8218543699130134,0.6195807089539682,260.1327880469118,251.26416486207222,0.9659073227507168,1.4728475380097457,0.0,-212.37703735974276,-212.37703735974276,-212.37703735974276,-491.1027489318558,132.35729709838594,phase,-190.41157843721385,dither_phase,1.0051343351661206,-190.41157843721385,-70.53541076352678,-0.29306594165849165,-0.5406009936268696,282.5,-14.658579339432086,-14.677911133817819,6.893171572072657,6.8917101145622635,-6.264431197728956,3.7592081597262377,-1.3329619929782321,-8.659214084951737,0.7754751359901723,-1.7307664592943086,-6.264431197728957,3.7592081597262395,-1.3329619929782321,-8.659214084951737,0.7754751359901723,-1.7307664592943086,-5.29361490882307,-5.2393605098362706,0.1540131638921728,-6.264431197728956,3.7592081597262377,-1.3329619929782321,-6.264431197728957,3.7592081597262395,-1.3329619929782321,nan,-5.29361490882307,nan,-5.2393605098362706,False,16.29521534707873,ff2b7143f57036f5,,1.8218543699130134,0.6195807089539682,0.005134335166120607,dither_mag,-212.37703735974276,5,-0.9150173229166547,-3.464659333333326,0.999509805845367,1.0005175107245297,0.0,,,,,,,
5,5100,0,8,4658,-3.6456947023959003,-4.662752442941649,260.4857674506357,251.31191122715157,0.9647817371625778,1.4604683570113823,0.0,-186.29133876229216,-186.29133876229216,-186.29133876229216,-468.34260453912594,125.30530591406912,phase,-201.18262715196653,dither_phase,0.9996686096657768,-201.18262715196653,-65.648460080571,-0.33804597603040176,-0.5995833913279582,284.0625,-14.707114872610486,-14.710911114258046,6.992780859926976,7.068206863208017,-6.544469909108429,4.715949099668027,-1.3794800513469152,-8.797246739043619,0.9249989166897434,-1.7536954716019302,-6.544469909108429,4.715949099668025,-1.3794800513469152,-8.797246739043617,0.9249989166897434,-1.7536954716019297,-5.023424370917113,-5.004525634057247,-0.14500245446117743,-6.544469909108429,4.715949099668027,-1.3794800513469152,-6.544469909108429,4.715949099668025,-1.3794800513469152,nan,-5.023424370917113,nan,-5.004525634057247,False,17.524206371973115,ba88262fadec5d2c,,-3.6456947023959003,-4.662752442941649,-0.00033139033422324715,dither_mag,-186.29133876229216,6,-2.1916362598958203,-5.095778566666667,0.9994518409648587,1.0005755532799196,0.0,,,,,,,
6,6120,0,8,4454,-5.955097609185373,-6.374554885541936,262.5011041938175,253.3731259629836,0.9652268958682387,1.5437219013742685,0.0,-221.9042345427826,-221.9042345427826,-221.9042345427826,-556.3111461707077,133.5532051417881,phase,-186.05555922230585,dither_phase,1.0038291562615544,-186.05555922230585,-69.09282609405336,-0.28534951432236444,-0.527221741311362,281.5,-14.65710353458434,-14.682527319037362,6.618288477138376,6.935145961491779,-6.258555937921737,3.9502765366962533,-1.3319860361996243,-8.417687508967536,4.241429491285295,-1.6906457656092253,-6.258555937921736,3.9502765366962542,-1.331986036199624,-8.417687508967534,4.241429491285295,-1.6906457656092249,-3.793423492823819,-3.7757651007704833,1.122923144947948,-6.258555937921737,3.9502765366962533,-1.3319860361996243,-6.258555937921736,3.9502765366962542,-1.331986036199624,nan,-3.793423492823819,nan,-3.7757651007704833,False,17.989306062152586,2fa25fcfb61d3596,,-5.955097609185373,-6.374554885541936,0.003829156261554445,dither_mag,-221.9042345427826,7,-4.277063568932279,-7.32558940166666,1.0001215759879754,0.9999076228644771,0.0,,,,,,,
7,7140,0,8,4162,4.727638266355912,2.9586493981935105,260.1806233945325,251.20938050742325,0.9655191736799498,1.240313846589603,0.0,-187.26202412731007,-187.26202412731007,-187.26202412731007,-322.2824331979291,128.1284125765232,phase,-203.77549488713507,dither_phase,0.9997860728849023,-203.77549488713507,-69.52412434810024,-0.3196055819964589,-0.5845137253497344,283.1875,-14.49129173449303,-14.466015315924377,7.044641172690862,6.677900413725059,-6.052257298333222,4.238479346088307,-1.2977171591915653,-9.08076261297433,0.09612313992224447,-1.800791131723311,-6.052257298333224,4.238479346088306,-1.2977171591915655,-9.08076261297433,0.09612313992224164,-1.800791131723311,-4.324906499076822,-4.328811351584092,0.9795561639359098,-6.052257298333222,4.238479346088307,-1.2977171591915653,-6.052257298333224,4.238479346088306,-1.2977171591915655,nan,-4.324906499076822,nan,-4.328811351584092,False,16.358002499687366,bd66bf5147dfc708,,4.727638266355912,2.9586493981935105,-0.00021392711509771178,dither_mag,-187.26202412731007,8,-2.6225913198059754,-6.289966444416659,1.000084134191363,0.9999450646610891,0.0,,,,,,,
8,8160,0,7,6166,1.1643559403768549,2.0398543781686693,260.7756968248623,252.0056978928842,0.9663695695620438,1.6130254036026468,0.0,-275.2988903764075,-275.2988903764075,-275.2988903764075,-651.9881919340576,133.3087652750642,phase,-210.8454838808531,dither_phase,0.9956340127442397,-210.8454838808531,-71.10261239348941,-0.33406929089703385,-0.6081684199421429,285.0,-14.491190967450308,-14.481433666328918,6.911826163998206,6.916803052962419,-5.7936513961383875,4.504950194830137,-1.2547593681293003,-9.056399372672145,-0.0969250381518576,-1.7967440818392268,-5.7936513961383875,4.504950194830137,-1.2547593681293003,-9.056399372672145,-0.09692503815185959,-1.7967440818392268,-5.055511729660483,-5.0584310452985015,-1.2515249086948874,-5.7936513961383875,4.504950194830137,-1.2547593681293003,-5.7936513961383875,4.504950194830137,-1.2547593681293003,nan,-5.055511729660483,nan,-5.0584310452985015,False,16.49643689902829,4595cebd2fc43edf,,1.1643559403768549,2.0398543781686693,-0.004365987255760317,dither_mag,-275.2988903764075,9,-2.215101024540557,-5.5759781888708275,0.9993200221390638,1.0007124207244171,0.0,,,,,,,
9,9180,0,8,142,-8.77892543864557,-9.680913784755889,258.55174803506765,249.5896603012292,0.9653373539264453,1.4379139659361635,0.0,-369.7064711711545,-369.7064711711545,-369.7064711711545,-610.5094124400027,136.91833861346828,phase,-206.66356572920438,dither_phase,1.0091430253564164,-206.66356572920438,-68.27294063076228,-0.3416236074430978,-0.6102862428910635,282.5,-14.649344200312587,-14.653456821321269,5.8509206393251105,6.1947364862243095,-6.599120303203934,3.8877785952034323,-1.3885581899009858,-9.714844331067635,-0.24163805055383417,-1.9061203207753548,-6.599120303203931,3.887778595203434,-1.3885581899009856,-9.714844331067635,-0.24163805055383417,-1.9061203207753548,-4.5100472351780985,-4.485544075806093,0.1346253295898432,-6.599120303203934,3.8877785952034323,-1.3885581899009858,-6.599120303203931,3.887778595203434,-1.3885581899009856,nan,-4.5100472351780985,nan,-4.485544075806093,False,15.25076369125686,fae173fefacdc1c4,,-8.77892543864557,-9.680913784755889,0.009143025356416423,dither_mag,-369.7064711711545,10,-5.289815665951362,-8.961885822766039,1.0009189635918425,0.9991257582878035,0.0,,,,,,,
