iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,skew_used_ps,skew_observable,gain_mag_ratio,skew_slope_ps,skew_fold_ps,phase_a_samples,phase_b_samples,dither_peak_a_codes,dbc_ab_coherent,dbc_ab_coherent_cal,snr_dither_db,snr_dither_db_cal,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,8,6015,-7.556692761639091,-12.330485099836212,84.30309857109796,81.80619996384132,0.9703818880969025,0.9681687522099846,0.0,-89.30158145021771,-89.30158145021771,-89.30158145021771,-91.45772579852502,102.02007762173172,phase,-89.30158145021771,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.75629864576336,43.35562207173345,5.979451602286273,37.858152087118754,43.840208376026524,5.996370778591156,37.75629864576336,43.35562207173345,5.979451602286273,37.858152087118754,43.840208376026524,5.996370778591156,-18.884045199829,-18.884045199829,4.592156862745098,37.75629864576336,43.35562207173345,5.979451602286273,37.75629864576336,43.35562207173345,5.979451602286273,nan,-18.884045199829,nan,-18.884045199829,False,17.096638478661045,8c06d541ee065fbb,,-7.556692761639091,-12.330485099836212,-0.03183124779001545,tone,-89.30158145021771,1,-2.6448424665736816,-4.315669784942674,0.9944295316367472,1.0057536130458016,0.0,,,,,,,
1,1020,0,8,7663,-3.752046516303972,-6.197185204296364,82.87508402649745,84.03760790376873,1.014027423210812,0.980697692663483,0.0,-92.91647458154199,-92.91647458154199,-92.91647458154199,-93.28944097710611,117.64613345367168,phase,-92.91647458154199,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.99599097277237,43.389104195867574,6.01926760345056,38.17811551731564,44.71436575299683,6.049520850052432,37.995990972772375,43.38910419586759,6.019267603450562,38.17811551731564,44.71436575299678,6.049520850052432,-18.539800844667052,-18.664046699182904,1.08993530286578,37.99599097277237,43.389104195867574,6.01926760345056,37.995990972772375,43.38910419586759,6.019267603450562,nan,-18.539800844667052,nan,-18.664046699182904,False,17.43597974848872,f34cb873e9de84d1,,-3.752046516303972,-6.197185204296364,-0.019302307336517055,tone,-92.91647458154199,2,-3.965414954545702,-6.472276326911866,0.991070444359019,1.0092178191519074,0.0,,,,,,,
2,2040,0,8,7275,4.964323236589367,4.274968322266558,84.2797883853613,83.43004988193077,0.9899176478760817,0.9867728634017738,0.0,-91.63190085108273,-91.63190085108273,-91.63190085108273,-91.63510179464208,117.4100189989725,phase,-91.63190085108273,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.88814540019504,44.34778949987308,6.001353056510805,38.25180523247651,44.195420137163104,6.061761666524338,37.88814540019504,44.34778949987305,6.001353056510805,38.251805232476514,44.195420137163126,6.061761666524339,-18.65023812765992,-18.82721875638698,1.069603128763866,37.88814540019504,44.34778949987308,6.001353056510805,37.88814540019504,44.34778949987305,6.001353056510805,nan,-18.65023812765992,nan,-18.82721875638698,False,17.651944114224328,c9e77532e76b5425,,4.964323236589367,4.274968322266558,-0.013227136598226163,tone,-91.63190085108273,3,-2.2122468092379024,-4.989703502295418,0.9887763651334688,1.0115852189134105,0.0,,,,,,,
3,3060,0,7,4871,-3.3911042976600694,-3.698615087049154,83.33420290815256,82.87587765157893,0.9945001543114442,0.9921672215232125,0.0,-91.84322863425092,-91.84322863425092,-91.84322863425092,-91.69365140086754,136.8200607656372,phase,-91.84322863425092,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.83971281424608,44.096330542784116,5.993307776452838,38.14115752015243,43.80882887668697,6.0433816478658535,37.839712814246084,44.09633054278412,5.993307776452839,38.14115752015241,43.80882887668692,6.04338164786585,-18.657889265719714,-18.844269124639887,1.2278018242860265,37.83971281424608,44.096330542784116,5.993307776452838,37.839712814246084,44.09633054278412,5.993307776452839,nan,-18.657889265719714,nan,-18.844269124639887,False,15.201972898478017,e40178e6b365ec81,,-3.3911042976600694,-3.698615087049154,-0.007832778476787539,tone,-91.84322863425092,4,-3.4126057033552932,-6.269393296357159,0.9874210135430135,1.0129827822300517,0.0,,,,,,,
4,4080,0,8,6267,-8.081487965213913,-9.045364191903355,84.18267728334895,85.76921638640627,1.018846384484984,0.9937278863508022,0.0,-91.08388209972192,-91.08388209972192,-91.08388209972192,-90.92907980621094,126.1872512404481,phase,-91.08388209972192,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.91421527772937,43.21084497559959,6.005683600951723,37.243281398027705,43.234938664201394,5.894232790370052,37.91421527772937,43.210844975599585,6.005683600951723,37.24328139802769,43.23493866420136,5.894232790370049,-18.69604166537418,-18.900237211669364,0.5624774614585553,37.91421527772937,43.21084497559959,6.005683600951723,37.91421527772937,43.210844975599585,6.005683600951723,nan,-18.69604166537418,nan,-18.900237211669364,False,17.174404045307796,f2aedadf6b03bf46,,-8.081487965213913,-9.045364191903355,-0.006272113649197775,tone,-91.08388209972192,5,-6.277159676817653,-9.39469564374414,0.9863372006001176,1.0141016700703414,0.0,,,,,,,
5,5100,0,7,4731,2.0650867970851015,0.43637727541097837,82.9664510697289,82.6814594784614,0.9965649779206781,0.9950525616780708,0.0,-83.00034694594605,-83.00034694594605,-83.00034694594605,-82.88682369851409,98.22227022200165,phase,-83.00034694594605,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.770734106587696,43.34940757991332,5.815736562556096,38.11184388749388,44.394301081415044,6.038512273670081,36.77073410658769,43.349407579913304,5.815736562556095,38.1118438874939,44.39430108141502,6.038512273670084,-19.4626995990895,-19.743148452646437,1.4337744089634443,36.770734106587696,43.34940757991332,5.815736562556096,36.77073410658769,43.349407579913304,5.815736562556095,nan,-19.4626995990895,nan,-19.743148452646437,False,17.40347272417475,2f3c31a159b80390,,2.0650867970851015,0.43637727541097837,-0.004947438321929232,tone,-83.00034694594605,6,-5.544367302627545,-9.244087424764233,0.9854832281688137,1.014984046529798,0.0,,,,,,,
6,6120,0,8,5875,5.480929502202239,5.972593903064331,85.09921811584755,84.33474292110239,0.9910166601800682,0.9973071308041522,0.0,-89.05954544123512,-89.05954544123512,-89.05954544123512,-88.95828826819647,82.98909804994234,phase,-89.05954544123512,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.25985412157607,44.28454353686118,6.063098691291707,38.01739630295892,42.7250476669629,6.022823306139356,38.25985412157606,44.28454353686117,6.063098691291706,38.01739630295892,42.72504766696293,6.022823306139356,-18.817683562280624,-19.019257951758238,0.8208310373395751,38.25985412157607,44.28454353686118,6.063098691291707,38.25985412157606,44.28454353686117,6.063098691291706,nan,-18.817683562280624,nan,-19.019257951758238,False,17.380917457914407,3818f8575785e4aa,,5.480929502202239,5.972593903064331,-0.002692869195847769,tone,-89.05954544123512,7,-3.5977838693048483,-7.184539914417089,0.9850188171188856,1.0154636514158277,0.0,,,,,,,
7,7140,0,8,4959,-4.672414862970821,-7.952693609627028,83.4078376741842,86.03383315097179,1.031483797566429,0.9994645687611928,0.0,-93.1729672274501,-93.1729672274501,-93.1729672274501,-93.18242875379966,129.96076518601464,phase,-93.1729672274501,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.96044734530169,44.19125246240368,6.01336334639563,38.01246196530212,43.398554892988415,6.022003648721284,37.96044734530168,44.191252462403654,6.013363346395629,38.012461965302116,43.39855489298842,6.022003648721283,-18.470320418845564,-18.633796411958528,1.0654171505901875,37.96044734530169,44.19125246240368,6.01336334639563,37.96044734530168,44.191252462403654,6.013363346395629,nan,-18.470320418845564,nan,-18.633796411958528,False,17.187426556894614,3e907aa261b2bdd0,,-4.672414862970821,-7.952693609627028,-0.0005354312388071714,tone,-93.1729672274501,8,-5.258001089137321,-9.925595942851585,0.9849265203959234,1.0155588518072383,0.0,,,,,,,
8,8160,0,8,4371,-7.383675908786467,-6.876161089373753,82.9166187175987,83.83222801958681,1.0110425306307598,0.999993808192612,0.0,-92.4479547186697,-92.4479547186697,-92.4479547186697,-92.45072312934143,113.232759389753,phase,-92.4479547186697,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.795961014557214,44.13914994038657,5.986040035640734,37.24154830480008,42.25306951360505,5.893944901129582,37.7959610145572,44.13914994038655,5.986040035640731,37.24154830480007,42.25306951360503,5.89394490112958,-18.603998869027066,-18.75842333107086,0.23144068826288589,37.795961014557214,44.13914994038657,5.986040035640734,37.7959610145572,44.13914994038655,5.986040035640731,nan,-18.603998869027066,nan,-18.75842333107086,False,19.031511942876673,8fe6c5d44c8ef878,,-7.383675908786467,-6.876161089373753,-6.191807388034043e-06,tone,-92.4479547186697,9,-7.88183800951634,-12.295381186708251,0.9849254531627449,1.0155599522393923,0.0,,,,,,,
9,9180,0,8,1723,11.7922287878357,11.388733792565068,79.48577655218907,79.41380848610598,0.9990945793171457,1.000135982916379,0.0,-92.37739327109132,-92.37739327109132,-92.37739327109132,-92.38309112648062,72.11724852898791,phase,-92.37739327109132,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.47484155552656,44.16280748193139,5.932697932811721,37.63800854901547,44.61195945714012,5.959802084554065,37.47484155552656,44.16280748193135,5.932697932811721,37.63800854901546,44.61195945714011,5.959802084554064,-18.588405476083874,-18.75169244796468,-2.045223834994525,37.47484155552656,44.16280748193139,5.932697932811721,37.47484155552656,44.16280748193135,5.932697932811721,nan,-18.588405476083874,nan,-18.75169244796468,False,19.585865978550284,8b061b34d43fd814,,11.7922287878357,11.388733792565068,0.00013598291637895166,tone,-92.37739327109132,10,-3.691388811062616,-8.370396926932948,0.9849488914439638,1.015535788234573,0.0,,,,,,,
