iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,skew_used_ps,skew_observable,gain_mag_ratio,skew_slope_ps,skew_fold_ps,phase_a_samples,phase_b_samples,dither_peak_a_codes,dbc_ab_coherent,dbc_ab_coherent_cal,snr_dither_db,snr_dither_db_cal,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,skew_batch_n,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps,skew_batch_used,skew_batch_mean_ps,skew_batch_se_ps,skew_batch_error_ps,skew_action,skew_step_codes,skew_code
0,0,0,8,7664,-1.133247849817053,-3.803756262440686,16.901163938498485,16.612232035996534,0.9829046151168439,0.9833156568677157,0.0,-17.252679126822823,-17.252679126822823,-17.252679126822823,-21.681868176750726,-39.88238008235001,phase,-17.252679126822823,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.94810220618505,40.5470858023058,5.845199702024095,37.14617022969476,41.410852436761935,5.878101367058931,36.94810220618505,40.5470858023058,5.845199702024095,37.14617022969476,41.410852436761935,5.878101367058931,-31.264723493683757,-31.264723493683757,2.184313725490196,36.94810220618505,40.5470858023058,5.845199702024095,36.94810220618505,40.5470858023058,5.845199702024095,nan,-31.264723493683757,nan,-31.264723493683757,False,6.350183257942444,99d74ca5a402d600,,-1.133247849817053,-3.803756262440686,-0.016684343132284285,tone,-17.252679126822823,1,-0.39663674743596855,-1.33131469185424,0.9970802399518502,1.0029693008829437,0.0,,,,,,,
1,1020,0,8,6412,-2.6235534867770007,-3.7891302522886026,18.290321171671597,18.319444936309843,1.0015923047148758,0.9887757337323129,0.0,-16.73432579018035,-16.73432579018035,-16.73432579018035,-18.899319861715618,-104.01572057964368,phase,-16.73432579018035,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.287453860850135,40.736703602626335,5.901570408779093,37.076240957039424,41.96221807829252,5.866485208810536,37.28745386085013,40.73670360262633,5.901570408779092,37.076240957039424,41.96221807829251,5.866485208810536,-31.437327662598697,-32.474787239353006,2.0112830671467368,37.287453860850135,40.736703602626335,5.901570408779093,37.28745386085013,40.73670360262633,5.901570408779092,nan,-31.437327662598697,nan,-32.474787239353006,False,6.662347773944113,ca7eb460d8b0aab4,,-2.6235534867770007,-3.7891302522886026,-0.011224266267687133,tone,-16.73432579018035,2,-1.3175693700865718,-2.653584064539447,0.9951217284837431,1.0049617436268237,0.0,,,,,,,
2,2040,0,8,7392,3.4900085037525415,2.4234222877090885,19.903579200798827,20.299653764508903,1.0198996652669476,0.993456843202173,0.0,-16.89834705471053,-16.89834705471053,-16.89834705471053,-17.63382244102685,-66.93703558920944,phase,-16.89834705471053,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.45091289862522,41.363111606017625,5.928723072861333,37.48209909244802,41.85342136810944,5.933903503728907,37.45091289862521,41.363111606017604,5.928723072861332,37.482099092448,41.853421368109444,5.933903503728905,-31.48565970717599,-33.04020834352106,1.1048352168055677,37.45091289862522,41.363111606017625,5.928723072861333,37.45091289862521,41.363111606017604,5.928723072861332,nan,-31.48565970717599,nan,-33.04020834352106,False,7.792382748000785,1b364a1d03686ee4,,3.4900085037525415,2.4234222877090885,-0.006543156797827021,tone,-16.89834705471053,3,-0.09007835933899133,-1.8095740252745638,0.9939822619208243,1.00612005654614,0.0,,,,,,,
3,3060,0,7,880,-8.182359157672789,-10.704326810093749,16.65687278616786,16.243659730834334,0.9751926390602764,0.995237807410405,0.0,-16.886816327170177,-16.886816327170177,-16.886816327170177,-17.269215912194735,63.52376985249,phase,-16.886816327170177,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.43025770623999,39.618953933154366,5.759179020970099,37.43601753422012,40.698164944068,5.92624875983723,36.43025770624,39.61895393315436,5.7591790209701,37.43601753422013,40.69816494406798,5.9262487598372315,-31.47158350092978,-33.45201609002588,2.217558455260206,36.43025770623999,39.618953933154366,5.759179020970099,36.43025770624,39.61895393315436,5.7591790209701,nan,-31.47158350092978,nan,-33.45201609002588,False,6.428812652115169,44eab235af6bf105,,-8.182359157672789,-10.704326810093749,-0.004762192589594982,tone,-16.886816327170177,4,-2.971242153601543,-5.533299001391268,0.9931538933024904,1.0069625527338086,0.0,,,,,,,
4,4080,0,8,2976,2.792659222722265,1.943271010524541,17.497714913559278,17.582616196546414,1.0048521354592048,0.9970446355278548,0.0,-16.908072097569544,-16.908072097569544,-16.908072097569544,-17.047116614344667,-57.968745145920224,phase,-16.908072097569544,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.89070794489975,40.8416996021723,5.835665771578032,36.806338311144614,40.56398506823325,5.821650882249937,36.890707944899745,40.8416996021723,5.835665771578031,36.80633831114461,40.56398506823325,5.821650882249935,-31.16394315705665,-33.12929709586173,0.5388302349907044,36.89070794489975,40.8416996021723,5.835665771578032,36.890707944899745,40.8416996021723,5.835665771578031,nan,-31.16394315705665,nan,-33.12929709586173,False,5.625781862269029,4bb5991a001f8a6b,align_margin=5.6,,,,,,,,,,,,,,,,,,
4,4080,0,7,750,0.09146918909994883,-1.2252942872478192,15.183403962044883,15.155981522586268,0.9981939201823804,0.9972848711210546,0.0,-16.61657982963241,-16.61657982963241,-16.61657982963241,-16.735022235721267,-9.01847711051874,phase,-16.61657982963241,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.036402968560537,31.770161497340716,4.697076905076501,30.02489102821449,31.742433431685875,4.695164622626992,30.03640296856053,31.770161497340705,4.6970769050765,30.02489102821449,31.74243343168587,4.695164622626992,-31.528797858972393,-33.50488825801298,1.2352849507186368,30.036402968560537,31.770161497340716,4.697076905076501,30.03640296856053,31.770161497340705,4.6970769050765,nan,-31.528797858972393,nan,-33.50488825801298,False,5.8530365530224655,75a761e3a603939b,align_margin=5.9,,,,,,,,,,,,,,,,,,
4,4080,0,8,384,-2.3257799016375547,-2.440575248237269,17.206031419891897,17.155997994224503,0.9970920995988912,0.9973006730441932,0.0,-16.396906946760954,-16.396906946760954,-16.396906946760954,-16.515891384767883,235.6296261741301,phase,-16.396906946760954,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.90322151851875,41.04146063377059,5.837744438292152,36.92427430933545,41.011557904284786,5.84124157962383,36.90322151851875,41.04146063377059,5.837744438292152,36.924274309335466,41.0115579042848,5.841241579623833,-31.830458195158403,-33.899740200664716,-0.029774904918627942,36.90322151851875,41.04146063377059,5.837744438292152,36.90322151851875,41.04146063377059,5.837744438292152,nan,-31.830458195158403,nan,-33.899740200664716,False,6.433084447473574,680bb9d9a6538186,,-2.3257799016375547,-2.440575248237269,-0.002699326955806769,tone,-16.396906946760954,5,-3.7908764228347938,-6.381594039338775,0.9926847450642857,1.00743951140457,0.0,,,,,,,
5,5100,0,7,3048,-0.987352141239384,-2.0451202500293473,18.104202342985243,18.695045706346548,1.0326357025936708,0.9970101819068624,0.0,-16.96168360575462,-16.96168360575462,-16.96168360575462,-17.104376080516815,70.39114596293891,phase,-16.96168360575462,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.046193783148695,42.582130875471414,6.027606940722375,37.442666934214415,41.72403253287037,5.927353311331299,38.04619378314869,42.58213087547141,6.027606940722374,37.4426669342144,41.72403253287035,5.927353311331297,-31.188134374660393,-33.32081696604615,1.3677702391785154,38.046193783148695,42.582130875471414,6.027606940722375,38.04619378314869,42.58213087547141,6.027606940722374,nan,-31.188134374660393,nan,-33.32081696604615,False,5.57383660534208,0338a08f73e21b58,align_margin=5.6,,,,,,,,,,,,,,,,,,
5,5100,0,7,1496,-4.658318669444066,-4.970995772106081,18.966822190913547,18.632724481539785,0.9823851509751688,0.9981217146057024,0.0,-16.664407617356666,-16.664407617356666,-16.664407617356666,-16.71559248119326,-126.70647366498692,phase,-16.664407617356666,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.17466093354326,42.64435257445265,6.048946998927453,37.43539853930343,41.315722890864315,5.926145936761367,38.17466093354324,42.64435257445264,6.048946998927449,37.43539853930342,41.31572289086431,5.926145936761366,-31.563325561070435,-33.67677453808544,0.08954911198568816,38.17466093354326,42.64435257445265,6.048946998927453,38.17466093354324,42.64435257445264,6.048946998927449,nan,-31.563325561070435,nan,-33.67677453808544,False,7.09740513136704,19e35c39efb3fcdf,,-4.658318669444066,-4.970995772106081,-0.0018782853942975741,tone,-16.664407617356666,6,-5.433302724248178,-8.10859451980577,0.9923584496441714,1.0077712798714198,0.0,,,,,,,
6,6120,0,8,3130,0.9730439270627063,1.1901136852571446,17.08430798268222,17.57695133059382,1.0288360142190702,0.9986950092376474,0.0,-16.590354630940656,-16.590354630940656,-16.590354630940656,-16.61211698875172,309.28193306873226,phase,-16.590354630940656,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.08692771084165,41.003558211944465,5.868260417083332,37.50583469051832,41.6614760727676,5.937846294106034,37.086927710841636,41.00355821194444,5.868260417083329,37.50583469051831,41.661476072767584,5.937846294106032,-31.561169459744306,-33.499210709537664,0.0854950385244263,37.08692771084165,41.003558211944465,5.868260417083332,37.086927710841636,41.00355821194444,5.868260417083329,nan,-31.561169459744306,nan,-33.499210709537664,False,5.861389461055928,6dd59392b96e55bd,align_margin=5.9,,,,,,,,,,,,,,,,,,
