frame,align_margin,r_dither,r_tone,tone_a,tone_b,dither_a,dither_b,offset_a,offset_b,skew_ps
0,5.772158997635913,0.9880446489941295,0.995678612704282,561.3270651503244,558.9013535022411,17.995548381755164,17.780405284308156,-7.247979992311397,-10.346674314269496,-12.238754253468594
1,7.340557340878382,0.9662412529000267,0.9992517687050982,557.6353391404193,557.2180989285313,18.24578091326778,17.629826209775253,-12.859924217756127,-15.943301017800838,-8.013338140658874
2,8.155460772749569,1.0014031897167683,1.0033870440353108,549.8683263000571,551.730754534858,18.627311233349115,18.653448884922796,-10.249350615078233,-14.693899231975696,-11.52601755069488
3,7.010322076499998,1.027297145166262,1.0024480087804781,551.9099700436803,553.2610504963807,17.889955292422204,18.37829999905739,-12.682508087650355,-18.06864462357578,-9.488443574092237
4,5.753585555919396,0.9957852907131143,1.0029782159982095,551.1807274626225,552.8222627230564,17.087285593024333,17.015267651747745,-6.434213669267687,-10.736490541722116,-9.57522350113047
5,5.757170882312302,0.9779849984008775,1.0029213626112201,552.074125963984,553.6869346741972,17.2236010713889,16.844423466259624,1.7441360102931236,-3.247462147949271,-9.019230998581985
6,6.2024657606859686,1.0125250646015853,0.9964462465657284,560.8529563596214,558.859823239837,18.263308003122496,18.492057115700256,-0.7367434278994325,-3.6450171157138325,-11.312710532099215
7,6.988663480657598,1.0076509506338716,1.003458566516806,551.4175871587613,553.3247015624867,17.40719420230734,17.54037578582341,-4.799609880082291,-10.1847910296414,-9.672848722397257
8,7.090573435435683,1.0066249783848393,0.9973227021465388,560.346755850144,558.8465406835124,16.86574179457596,16.977476969409306,2.196311025901034,-1.7582046244472787,-10.470352924148216
9,6.1340759017030635,1.0072583084720854,1.0028778507718323,551.5731409173309,553.1604861066418,16.859516852804493,16.98188842681247,-9.378692070679598,-13.609137779697123,-9.529440515006806
10,6.235951958709993,1.0240976195051303,0.9979526089020909,559.5308862032047,558.385307647787,17.334054937682684,17.751764398051986,-3.124675259519945,-6.414911489576534,-9.423977637545697
11,8.215864212956037,1.0353490441062076,1.0023495367948723,553.013159583476,554.3124843499659,20.42961610027381,21.15178350087528,-2.151359879573664,-5.183245558517073,-8.419921019209173
12,6.026625186218148,1.0455059431772271,1.0036842736804295,550.180461989257,552.2074773848506,16.828909861422975,17.594725277311564,-7.016473285242316,-11.467119013998182,-10.568736236024709
13,6.300085198056487,1.0463624539450302,0.9960942405790744,560.9113596977654,558.7205748703217,15.779655209497115,16.51123874741588,-3.10078796762998,-4.544672561008676,-11.536922093103922
14,7.331407196421133,1.0067457836017248,1.0031153924052834,550.462579158086,552.1774860965878,17.707844091305432,17.827297375598462,-11.533371334236884,-14.802005311168553,-10.902815596871726
15,5.854392005479386,1.0457491411154296,0.9953796403860186,561.4402364805974,558.8461806862982,17.504175690320043,18.304976694085767,-10.306870021837565,-12.544861809590932,-11.90164779859342
16,7.968698817350217,1.0142853600057644,1.0031080082849289,550.8228267810872,552.5347886902507,18.03479936798958,18.292432969593044,-8.267549881488122,-13.863816328445159,-10.544195731498888
17,6.17136115008953,0.9721184323090898,1.0000965492099279,556.2692737308593,556.3229810897451,17.773687219845854,17.278128956508656,-4.4074943923627234,-7.779251143734283,-7.719936089613817
18,6.175364273286934,1.0291306288313629,0.9972471762080666,560.1768856974506,558.6348174388115,17.63179153222291,18.14541670698006,-12.898118346050921,-15.733133093090107,-10.910209545554705
19,6.135829700244683,1.0033598040784173,1.0032165315382393,551.6351852825135,553.4095372535771,18.43347599123075,18.495408859045494,-8.176467416554578,-11.87990119466968,-9.79630380801984
20,6.397010852649721,0.9769838187109824,1.002172929549525,552.8062256660611,554.0074346489722,16.30716534176182,15.931836667945845,-14.467026070971684,-19.23296997265389,nan
21,6.826927900000684,1.0193268992265219,0.9962507906517243,561.1266662340468,559.0228848914353,17.499106821150516,17.83731029523703,-6.4379864562274625,-9.66832830724098,-11.492387596030476
22,6.148024592820766,1.0446654974747884,1.0001023657787522,556.227955409994,556.2848941178133,18.0762435587866,18.883627969815244,-10.599323401509984,-14.00292741080115,-7.88878077985599
23,6.672949690893254,0.9980521148501079,0.9962674609466928,561.0085678562396,558.9145814674762,17.577738213681677,17.543498798446556,-9.806433115107781,-13.113090263212332,-10.618450928472535
24,6.254538962011689,1.0354180456256195,1.0013673844986029,553.2220107431807,553.9784779449568,17.68908423064365,18.315597023000013,-2.02054031719016,-6.556733279386057,-8.504159706971501
25,7.593604234272283,0.9988870466049518,1.0019583387563045,553.4683085744365,554.5521870135041,17.111370959092667,17.092326800689815,0.7172497594804609,-4.45867645919464,-7.721046261478864
26,5.669141673234296,1.0605007465526781,1.0032905640452376,550.500891340081,552.312349779996,16.834634572632176,17.853142532217948,-1.9601091691229866,-5.229321145577451,-10.822573510315893
27,5.645529228050264,1.0255983307464287,0.996320513961965,561.2029890692781,559.1380505064942,16.367422941501605,16.78640164742485,-13.058615962879962,-16.514362824325413,nan
28,6.355251540986317,1.0180189247343356,0.9976513451345156,559.5859824477359,558.2717081074031,17.96530641904033,18.289021923234298,-2.111594304361171,-6.057255213761794,-9.543691355568711
29,7.757545874939401,1.0183957676484916,1.0037532051421953,550.1049780826501,552.1696349151372,18.071142283686637,18.40357481828017,-5.917577254118962,-8.00249680541274,-11.074324682631667
30,6.255141719634367,1.055267009128745,1.0026496914420413,552.2721111671339,553.7354618537715,17.217845112119885,18.169423915108734,-9.841768791735706,-13.637249839821795,-8.624937446949945
31,5.163459214031378,0.981211495345954,1.0025265989283754,552.6279938039672,554.0242631009025,15.947252378451923,15.647627352920132,-12.500915033208354,-16.569551106388698,-8.305117639100278
32,5.852424982464998,0.9840907830747132,1.0010169848777175,555.5939894855081,556.1590201709656,15.780740885288413,15.529681655302618,3.1831092729020676,-0.37342236955882446,-7.723851863341911
33,7.174123210491447,1.0252868162019293,1.0029250734246096,550.9561665535815,552.5677537944922,17.562399076346274,18.006496233854776,-2.992407158369339,-6.5886340011665805,-10.083073950245259
34,6.1326126336912905,0.9731937573347187,0.9998636487127185,557.3946673351093,557.3186658546942,17.505625715859765,17.03636566491284,-11.70126608790769,-15.665215186070514,nan
35,6.210085311158748,1.025942748507432,1.0028810113610467,551.8330098534722,553.4228470242606,17.64001954126048,18.097650131885583,-6.009747533229933,-9.743510166261284,-9.576390023223816
36,5.775366094096272,0.9803067906113307,0.9997755105680048,557.1870072432129,557.0619246484417,17.60391519697429,17.2572376089399,-7.276570896419061,-11.602241857762575,-7.666274830280552
37,6.862396486143791,0.9984238123431329,0.9992061630147394,557.0904736682718,556.6482346461376,19.731672476019526,19.70057165741348,-9.73638224028897,-13.077878252838762,-7.800910139639162
38,7.330277599340057,0.9988288204395269,0.9982490982540121,558.7251573311964,557.7468844776979,19.109429345844536,19.087048772782378,-1.7038363604610347,-6.156192959748964,-8.674118014302719
39,6.289873560622928,1.0399733738094126,0.9961211668579524,561.1741072327799,558.9974065071864,16.488694475323516,17.14780322321482,-7.854800271342044,-11.354185581936914,-11.648895318685895
