iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,rejected,offset_error_a,offset_error_b,gain_error,skew_error_ps,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps
0,0,0,7,1101,-8.23551315802146,-14.420968982115266,16.629824181314827,16.536714026166297,0.9944010138571912,0.0,8.041780768831472,8.041780768831472,37.324429812253136,41.728301409085454,5.907712593397532,37.271876408721766,41.22602490070478,5.898982792146474,37.324429812253136,41.728301409085454,5.907712593397532,37.271876408721766,41.22602490070478,5.898982792146474,-38.46788819278451,-38.46788819278451,6.06796289105062,37.324429812253136,41.728301409085454,5.907712593397532,37.324429812253136,41.728301409085454,5.907712593397532,nan,-38.46788819278451,nan,-38.46788819278451,False,7.418898206870943,,-8.23551315802146,-14.420968982115266,-0.005598986142808848,8.041780768831472,-2.882429605307511,-5.047339143740342,0.9990201774250085,1.0009853394770696,-2.4125342306494417
1,1020,0,8,5837,0.9663479881586093,-0.06974595188234498,18.11358108622404,17.888816455186262,0.9875913752245976,0.0,-149.2448016360083,-149.2448016360083,37.3490902795813,41.70047361487053,5.911809016541745,37.05501983873893,41.37199645016725,5.862960106102813,37.349090279581304,41.70047361487054,5.911809016541746,37.05501983873892,41.37199645016723,5.862960106102812,-14.520702626763068,-14.53276894540779,0.8977312734832118,37.3490902795813,41.70047361487053,5.911809016541745,37.349090279581304,41.70047361487054,5.911809016541746,nan,-14.520702626763068,nan,-14.53276894540779,False,6.619029378203254,,0.9663479881586093,-0.06974595188234498,-0.012408624775402388,-149.2448016360083,-2.543876087071988,-5.07172619737249,0.9968507957831819,1.0031862993721217,42.36090626015305
2,2040,0,7,4733,-9.399226154118127,-8.415679543066156,16.93017248511458,16.76673264976151,0.9903462392071453,0.0,-62.60488339868733,-62.60488339868733,37.5160971632272,41.23244335316062,5.9395510237918945,37.059930817309386,40.64316904834989,5.863775883273985,37.51609716322718,41.23244335316059,5.939551023791891,37.059930817309386,40.64316904834989,5.863775883273985,-21.86410792407465,-21.971724584185953,-0.7469506951648013,37.5160971632272,41.23244335316062,5.9395510237918945,37.51609716322718,41.23244335316059,5.939551023791891,nan,-21.86410792407465,nan,-21.971724584185953,False,6.485772467556083,,-9.399226154118127,-8.415679543066156,-0.009653760792854738,-62.60488339868733,-5.843997998853929,-8.007858640485686,0.9951667079356669,1.0048976110646852,61.142371279759246
3,3060,0,8,7001,0.6399864833528703,-0.2271502944524632,17.649901533246137,17.73381897861385,1.0047545560075586,0.0,-71.8851675073648,-71.8851675073648,37.28615054390164,41.39938827173685,5.901353910947117,37.13208968166067,40.44274434189031,5.875762405591475,37.286150543901634,41.399388271736825,5.901353910947116,37.13208968166067,40.442744341890304,5.875762405591475,-20.63815269239857,-20.827377863766294,0.9465176368812862,37.28615054390164,41.39938827173685,5.901353910947117,37.286150543901634,41.399388271736825,5.901353910947116,nan,-20.63815269239857,nan,-20.827377863766294,False,6.3661374731975995,,0.6399864833528703,-0.2271502944524632,0.004754556007558586,-71.8851675073648,-5.618914837020521,-8.086973768418103,0.9959947337093711,1.0040654452980382,82.70792153196868
4,4080,0,8,433,-0.970384726486432,-1.3386165639607612,17.583046931297375,17.842317348798986,1.0147454771925857,0.0,-48.85397030677539,-48.85397030677539,37.27524230358399,41.810506312144675,5.89954191089435,36.892766022859284,40.79673440910268,5.836007644993237,37.27524230358399,41.81050631214468,5.89954191089435,36.89276602285929,40.79673440910268,5.836007644993239,-23.725829505747544,-23.9916741747949,0.9471833190623427,37.27524230358399,41.810506312144675,5.89954191089435,37.27524230358399,41.81050631214468,5.89954191089435,nan,-23.725829505747544,nan,-23.9916741747949,False,6.526495834662449,,-0.970384726486432,-1.3386165639607612,0.014745477192585676,-48.85397030677539,-5.959915288905798,-8.55359255266199,0.9985648567945944,1.001512145697451,97.3641126240013
5,5100,0,7,5521,0.380494679088371,1.0950570390971066,17.92743914414281,17.77824462274038,0.9916778676417277,0.0,-35.00865322459505,-35.00865322459505,37.61759287981911,41.71042180231232,5.95641077737859,37.345257056848006,41.867017913234335,5.911172268579404,37.617592879819114,41.71042180231231,5.956410777378591,37.345257056848,41.86701791323433,5.911172268579403,-26.40538372405892,-26.580979937691605,-0.2376743800905775,37.61759287981911,41.71042180231232,5.95641077737859,37.617592879819114,41.71042180231231,5.956410777378591,nan,-26.40538372405892,nan,-26.580979937691605,False,6.535051445965166,,0.380494679088371,1.0950570390971066,-0.008322132358272283,-35.00865322459505,-5.826550754018783,-8.17090127394856,0.9971105737359457,1.0029829614317762,107.8667085913798
6,6120,0,7,1373,7.893128689595933,6.366121500933163,19.083367168403942,18.45103620929807,0.9668648119838719,0.0,-13.173062271448913,-13.173062271448913,38.1124959365242,42.24462008131952,6.038620587462492,37.723108365069194,41.28218010980867,5.973938266622791,38.112495936524205,42.24462008131954,6.038620587462494,37.72310836506919,41.28218010980866,5.973938266622789,-34.42047146038853,-35.23102160656788,2.0626327255140744,38.1124959365242,42.24462008131952,6.038620587462492,38.112495936524205,42.24462008131954,6.038620587462494,nan,-34.42047146038853,nan,-35.23102160656788,False,7.137795023530073,,7.893128689595933,6.366121500933163,-0.033135188016128136,-13.173062271448913,-3.055950266845366,-5.9493854446608,0.9913286706275639,1.0089982336845424,111.81862727281448
7,7140,0,8,4813,2.6595367423874094,1.1628178103120725,16.851108654230686,17.663405457139692,1.0482043537654757,0.0,-11.696795968894252,-11.696795968894252,37.02654611402852,41.54497437507133,5.858230251499755,37.430948656857765,41.57389178837395,5.925406753630859,37.02654611402851,41.54497437507131,5.858230251499753,37.43094865685776,41.573891788373956,5.925406753630858,-35.28504994691727,-35.140073309704604,0.9853068370345204,37.02654611402852,41.54497437507133,5.858230251499755,37.02654611402851,41.54497437507131,5.858230251499753,nan,-35.28504994691727,nan,-35.140073309704604,False,6.51125114129323,,2.6595367423874094,1.1628178103120725,0.048204353765475716,-11.696795968894252,-2.11697020158979,-5.5460287092153475,0.9996912832665023,1.0008779956457041,115.32766606348275
8,8160,0,8,2773,-0.03482465324735759,-0.7645743662555708,17.575271656438684,17.666854887630265,1.0052109141173946,0.0,-21.531544799231252,-21.531544799231252,37.225975915065725,41.589858216396905,5.8913581254262,37.22704384806474,41.68849456254654,5.891535522934343,37.22597591506574,41.58985821639693,5.891358125426203,37.22704384806475,41.68849456254654,5.891535522934345,-29.973894159402306,-30.135995356205672,0.36808106212029523,37.225975915065725,41.589858216396905,5.8913581254262,37.22597591506574,41.58985821639693,5.891358125426203,nan,-29.973894159402306,nan,-30.135995356205672,False,6.5507312386073355,,-0.03482465324735759,-0.7645743662555708,0.005210914117394605,-21.531544799231252,-2.129162594221992,-5.813394990973605,1.0006029117151791,0.9999700164239218,121.78712950325213
9,9180,0,8,4057,4.28064185632932,4.770401350388724,18.125806222358523,18.816344951886943,1.0380969939244207,0.0,-9.052511107828675,-9.052511107828675,38.36766369338148,42.9040976344801,6.0810072580367915,37.906950889137946,42.6550020973428,6.004476891883381,38.36766369338147,42.904097634480095,6.081007258036791,37.90695088913794,42.65500209734279,6.004476891883379,-36.235953387198464,-36.008569804231605,-0.11078546993840277,38.36766369338148,42.9040976344801,6.0810072580367915,38.36766369338147,42.904097634480095,6.081007258036791,nan,-36.235953387198464,nan,-36.008569804231605,False,7.514086286450308,,4.28064185632932,4.770401350388724,0.038096993924420675,-9.052511107828675,-0.6318406974197066,-4.143704455044341,1.0072739052486441,0.9935479055074358,124.50288283560073
