iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,rejected,offset_error_a,offset_error_b,gain_error,skew_error_ps,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps
0,0,0,8,4919,-13.013558433902713,-5.190017828498659,17.899487168045304,17.623364298679103,0.9845736994153026,nan,nan,nan,37.088749751305464,43.21626349282059,5.868563081612204,37.2597889111675,42.86156279874531,5.896974902187293,37.088749751305464,43.21626349282059,5.868563081612204,37.2597889111675,42.86156279874531,5.896974902187293,-14.571748441422237,-14.571748441422237,-7.869125289665838,37.088749751305464,43.21626349282059,5.868563081612204,37.088749751305464,43.21626349282059,5.868563081612204,nan,-14.571748441422237,nan,-14.571748441422237,False,6.673012232121827,channel A estimate not finite,,,,,,,,,
0,0,0,7,7719,-10.059495387987027,-2.4074602332528645,18.867005561318297,18.87419194813056,1.0003808970527361,nan,nan,nan,37.34960134722754,42.1156343360407,5.911893911499592,37.61401496982472,42.22308685091001,5.955816440170221,37.34960134722754,42.1156343360407,5.911893911499592,37.61401496982472,42.22308685091001,5.955816440170221,-17.16017172590057,-17.16017172590057,-7.741176470588235,37.34960134722754,42.1156343360407,5.911893911499592,37.34960134722754,42.1156343360407,5.911893911499592,nan,-17.16017172590057,nan,-17.16017172590057,False,7.172749660655407,channel A estimate not finite,,,,,,,,,
0,0,0,8,2747,-9.057970539098573,-2.055007951459655,17.807573897200392,17.8575002270214,1.0028036570343173,nan,nan,nan,37.8066375323528,42.073758237733266,5.9878135435802005,37.32587112664868,42.76080727159565,5.9079520143934685,37.8066375323528,42.073758237733266,5.9878135435802005,37.32587112664868,42.76080727159565,5.9079520143934685,-14.658567632766522,-14.658567632766522,-7.658823529411765,37.8066375323528,42.073758237733266,5.9878135435802005,37.8066375323528,42.073758237733266,5.9878135435802005,nan,-14.658567632766522,nan,-14.658567632766522,False,6.725726983437556,channel A estimate not finite,,,,,,,,,
0,0,0,7,8111,0.24738665092109108,7.7454824535741835,18.02541045154567,18.013878054313178,0.9993602144448531,0.0,-146.70315428204907,-146.70315428204907,37.327827784052346,41.655530557652284,5.908277040540257,36.894478985899795,41.01703841571251,5.836292190348804,37.327827784052346,41.655530557652284,5.908277040540257,36.894478985899795,41.01703841571251,5.836292190348804,-14.689070903408066,-14.689070903408066,-7.170047620332401,37.327827784052346,41.655530557652284,5.908277040540257,37.327827784052346,41.655530557652284,5.908277040540257,nan,-14.689070903408066,nan,-14.689070903408066,False,6.560461651533796,,0.24738665092109108,7.7454824535741835,-0.0006397855551468767,-146.70315428204907,0.08658532782238187,2.710918858750964,0.9998880375278493,1.0001120341499816,44.01094628461472
1,1020,0,8,4683,-9.744301957287025,-4.4445762959316495,18.11774412565668,18.24949026041787,1.0072716632847585,nan,nan,nan,37.45293750781287,41.525001550638535,5.92905938667988,37.17556506078724,40.71333839145644,5.882984229366652,37.45293750781286,41.525001550638535,5.929059386679878,37.175565060787235,40.71333839145643,5.882984229366651,-18.328889420083645,-18.33096418870011,-5.112393652663489,37.45293750781287,41.525001550638535,5.92905938667988,37.45293750781286,41.525001550638535,5.929059386679878,nan,-18.328889420083645,nan,-18.33096418870011,False,6.9806397321296485,channel A estimate not finite,,,,,,,,,
1,1020,0,8,1403,-4.636221110930025,-0.970166532423651,18.301297845029143,17.96958745151361,0.981875034419724,0.0,-139.2796692664583,-139.2796692664583,37.7413212449675,41.38389752963523,5.976963661954735,37.740340005052914,41.84215070298446,5.976800665291183,37.74132124496749,41.383897529635206,5.976963661954733,37.74034000505292,41.84215070298448,5.976800665291184,-15.146035635835169,-15.147582198250628,-3.9231970481522467,37.7413212449675,41.38389752963523,5.976963661954735,37.74132124496749,41.383897529635206,5.976963661954733,nan,-15.146035635835169,nan,-15.147582198250628,False,7.7415562740865775,,-4.636221110930025,-0.970166532423651,-0.018124965580275987,-139.2796692664583,-1.5362737603185874,2.371398610265127,0.9967165236815929,1.0033428162994307,85.79484706455221
2,2040,0,7,6064,-5.749827702263354,-0.983349263925797,19.86137103212897,18.88540941946165,0.9508613171221388,0.0,-125.26070380583396,-125.26070380583396,37.164019270995254,42.93760131382743,5.881066324085591,37.2347486717626,42.9758747601759,5.8928153939804995,37.16401927099526,42.93760131382743,5.881066324085593,37.23474867176262,42.97587476017591,5.892815393980502,-16.03232445700224,-16.077248238979458,-3.6653562836169007,37.164019270995254,42.93760131382743,5.881066324085591,37.16401927099526,42.93760131382743,5.881066324085593,nan,-16.03232445700224,nan,-16.077248238979458,False,7.1835441714977915,,-5.749827702263354,-0.983349263925797,-0.04913868287786116,-125.26070380583396,-3.5553430222174294,2.028373039360639,0.988145489675738,1.0124167108059388,123.3730582063024
3,3060,0,8,3099,-9.284887639977638,-7.405046594408334,17.1127841571672,17.932112848732974,1.0478781643034176,0.0,-102.5587489103834,-102.5587489103834,36.99635196018535,40.594950031991246,5.853214611326471,37.20515106911543,41.28047494931546,5.887898848690272,36.99635196018534,40.594950031991246,5.85321461132647,37.205151069115445,41.28047494931546,5.887898848690274,-17.802455543854283,-17.876530560881385,-2.0131415775296357,36.99635196018535,40.594950031991246,5.853214611326471,36.99635196018534,40.594950031991246,5.85321461132647,nan,-17.802455543854283,nan,-17.876530560881385,False,5.972385213073868,align_margin=6.0,,,,,,,,,
3,3060,0,7,2135,-12.059536112026935,-10.131886650995979,17.31148564709087,17.33407864606299,1.0013050872370344,0.0,-148.45143122161815,-148.45143122161815,37.77239743080075,41.53899294933283,5.982125819069893,37.228463195814726,42.61641800930373,5.891771294985835,37.772397430800744,41.53899294933282,5.982125819069892,37.228463195814754,42.616418009303764,5.8917712949858405,-14.56019069410952,-14.646220052654632,-0.9291920942140148,37.77239743080075,41.53899294933283,5.982125819069893,37.772397430800744,41.53899294933282,5.982125819069892,nan,-14.56019069410952,nan,-14.646220052654632,False,8.083916668137428,,-12.059536112026935,-10.131886650995979,0.0013050872370343747,-148.45143122161815,-7.8268168925222,-1.4742956641474807,0.9883711724874471,1.012185786060506,167.90848757278786
4,4080,0,7,3439,-5.410427422617469,-5.018026580384881,17.814915054154035,17.3663239345089,0.9748193511851446,0.0,-96.35511909592826,-96.35511909592826,37.04484255334041,41.481228685113024,5.861269527132959,37.156232287505325,41.642297312270635,5.8797728052334435,37.0448425533404,41.48122868511302,5.861269527132958,37.15623228750533,41.642297312270635,5.879772805233444,-18.308041681306207,-18.37346237578202,-0.750055189149931,37.04484255334041,41.481228685113024,5.861269527132959,37.0448425533404,41.48122868511302,5.861269527132958,nan,-18.308041681306207,nan,-18.37346237578202,False,6.197930901800497,,-5.410427422617469,-5.018026580384881,-0.025180648814855378,-96.35511909592826,-9.742746505433047,-3.2094606183703416,0.9840158026936489,1.0167613123742363,196.81502330156633
5,5100,0,7,1647,9.228489920934301,11.429702881773078,15.220877416423383,16.004052672074206,1.0514540150494724,0.0,-103.93343599822946,-103.93343599822946,36.91733791589482,41.386655751539664,5.8400893547998045,36.880978388299155,40.91550095433632,5.834049566162651,36.91733791589482,41.38665575153966,5.8400893547998045,36.88097838829917,40.91550095433635,5.834049566162654,-17.6353941972975,-17.672649966529935,-1.768288933488817,36.91733791589482,41.386655751539664,5.8400893547998045,36.91733791589482,41.38665575153966,5.8400893547998045,nan,-17.6353941972975,nan,-17.672649966529935,False,6.7935260105624895,,9.228489920934301,11.429702881773078,0.051454015049472446,-103.93343599822946,-6.460307886576248,0.7249888536293994,0.9928763263797744,1.008053961462101,227.99505410103515
6,6120,0,8,7015,-7.163617857630367,-7.5845586789095165,16.777408588494087,17.074223999233674,1.0176913740387263,0.0,-99.17174479793081,-99.17174479793081,37.080785525833974,41.856903267981735,5.867240120570428,37.08752774359057,40.18106227738222,5.868360090297438,37.08078552583397,41.85690326798174,5.867240120570427,37.08752774359058,40.18106227738222,5.868360090297439,-18.075978328687057,-18.160578325563826,0.05337306101560202,37.080785525833974,41.856903267981735,5.867240120570428,37.08078552583397,41.85690326798174,5.867240120570427,nan,-18.075978328687057,nan,-18.160578325563826,False,6.033052539224771,,-7.163617857630367,-7.5845586789095165,0.017691374038726337,-99.17174479793081,-8.985563231632788,-1.9083974918476367,0.9959502620110061,1.0049872896554828,257.74657754041436
7,7140,0,8,1995,0.7228969914550848,1.088438901828992,17.877394731816903,17.405843560857534,0.9736230486581954,0.0,-99.03423961659297,-99.03423961659297,37.54195518590471,41.48016384493758,5.943846376396133,36.7108104855357,41.17778842890404,5.80578247268035,37.541955185904705,41.48016384493758,5.943846376396131,36.7108104855357,41.17778842890405,5.80578247268035,-18.032279207787237,-18.095952224834964,-0.9233078200581941,37.54195518590471,41.48016384493758,5.943846376396133,37.541955185904705,41.48016384493758,5.943846376396131,nan,-18.032279207787237,nan,-18.095952224834964,False,7.574892659183716,,0.7228969914550848,1.088438901828992,-0.026376951341804622,-99.03423961659297,-8.73152047803343,-1.5293343737750282,0.9913529889810199,1.0097519546386187,287.45684942539225
