sweep,label,amplitude_lsb,pulse_len_dac,period_dac,duty_cycle_pct,timing_correlation_mean,tone_rmse_codes_mean,final_skew_ps,dither_ab_valid_rate_pct,timing_capture_count,skew_capture_count,stage5_capture_count,stage5_mean_cal_parallel_sndr_db,stage5_mean_cal_parallel_sfdr_db,stage5_mean_cal_parallel_enob_bits,raw_run_dir
amplitude,a250,250,,,,0.9999305,4.8255426,-4.064823,98.42105263157895,10,190,30,45.58020966666667,50.80859313333333,7.279104833333333,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/amplitude pulse/a250
amplitude,a500,500,,,,0.9998873,6.1737553,-6.85925,96.42857142857143,10,140,30,43.289719633333334,44.748157733333336,6.898624933333333,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/amplitude pulse/a500
amplitude,a750,750,,,,0.9997884,8.5259096,0.020908,99.47368421052632,10,190,30,41.190115133333336,41.2403109,6.549853333333333,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/amplitude pulse/a750
amplitude,a1000,1000,,,,0.9996504,10.7420372,-7.99469,96.92307692307692,10,130,30,39.34240596666667,38.81912476666667,6.242924966666667,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/amplitude pulse/a1000
amplitude,a2000,2000,,,,0.9988146,18.713177,-1.532627,99.44444444444444,10,180,30,33.9011087,32.8002705,5.3390548,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/amplitude pulse/a2000
pulse_duty,e4t4,,12,260,4.6200,0.9999043,5.7334545,-0.186883,99.41176470588235,10,170,30,41.3124814,41.41719006666667,6.570179866666667,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/pulse_width sweep/e4t4
pulse_duty,e8t8,,24,260,9.2300,0.999926,4.9944473,-0.235741,98.0,10,250,30,44.05851583333333,50.811311,7.0263318,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/pulse_width sweep/e8t8
pulse_duty,e16t32,,64,260,24.6200,0.999858,6.9067734,-0.383143,99.375,10,160,30,43.46358086666667,44.8261475,6.927505466666666,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/pulse_width sweep/e16t32
pulse_duty,p520_e8t8,,24,520,4.6200,0.9999328,4.8052116,-4.823817,75.26315789473685,10,190,30,45.27603766666667,53.96454453333333,7.228578,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/pulse_width sweep/p520_e8t8
pulse_duty,p520_e16t32,,64,520,12.3100,0.9999075,5.5364272,,88.23529411764706,10,170,0,,,,firmware/thesis_v3_500mhz_appl/adc_data/calibration_exports/pulse_width sweep/p520_e16t32
