iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,skew_error_ps,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps
0,0,5,8,537,13.504648214119982,-22.797419937314665,500.13160927163864,510.54031438254145,1.0208119321353462,0.0,3.6139699776748127,3.6139699776748127,3.6139699776748127,-17.133096439296494,-4.070621516796098,phase,54.98130048574054,59.61517854769312,8.840747588993446,54.371628554194274,59.02935316658401,8.739473181759847,54.98130048574054,59.61517854769312,8.840747588993446,54.371628554194274,59.02935316658401,8.739473181759847,-33.37903474708778,-33.37903474708778,37.0198389123987,54.98130048574054,59.61517854769312,8.840747588993446,54.98130048574054,59.61517854769312,8.840747588993446,nan,-33.37903474708778,nan,-33.37903474708778,False,8.049685261106875,1aa061a190d36979,,13.504648214119982,-22.797419937314665,0.020811932135346156,3.6139699776748127,4.726626874941993,-7.979096978060132,1.0036420881236856,0.9964321654077191,-1.0841909933024438
1,1020,4,8,1585,9.463032662928804,-15.060514881162984,501.74511299142245,508.35912762528625,1.0131820210354034,0.0,2.4894480501965064,2.4894480501965064,2.4894480501965064,-11.195316312078967,5.4052329669806145,phase,54.55222178234444,59.44456723334294,8.769472056867848,54.465774623239525,60.019042144091166,8.755112063661052,54.552221782344404,59.444567233342845,8.769472056867842,54.46577462323943,60.019042144091124,8.755112063661036,-33.48779210977534,-37.107056406275895,24.14425060126527,54.55222178234444,59.44456723334294,8.769472056867848,54.552221782344404,59.444567233342845,8.769472056867842,nan,-33.48779210977534,nan,-37.107056406275895,False,9.09280804481841,58bf3cbf7e7a8b8e,,9.463032662928804,-15.060514881162984,0.013182021035403446,2.4894480501965064,8.026669261782304,-13.269151225004467,1.0059573435692766,0.9941634484732402,-1.8310254083613957
2,2040,2,8,2623,5.692114636866208,-9.678533313426566,502.6000295419801,507.7505181818602,1.010247688693082,0.0,1.7549055738189119,1.7549055738189119,1.7549055738189119,-7.411347192970767,-4.892460176408192,phase,54.593025828431735,59.8014015194055,8.776250137613246,54.2286562562349,58.97679966983255,8.715723630603804,54.593025828431735,59.80140151940549,8.776250137613246,54.22865625623488,58.97679966983253,8.7157236306038,-33.50166524699054,-40.63006892470628,15.679767009729357,54.593025828431735,59.8014015194055,8.776250137613246,54.593025828431735,59.80140151940549,8.776250137613246,nan,-33.50166524699054,nan,-40.63006892470628,False,7.754451458546739,48238039f4599420,,5.692114636866208,-9.678533313426566,0.010247688693082013,1.7549055738189119,10.007111211571575,-16.67652519847084,1.0077613726659747,0.9923986549600221,-2.3574970805070694
3,3060,5,7,849,3.9991834528925487,-6.348241821789676,503.6796522700306,506.50368782374704,1.0056068088932892,0.0,1.222235045554985,1.222235045554985,1.222235045554985,-4.47499300685397,5.616349907182457,phase,54.46386476406801,59.01913177204851,8.75479481130698,54.77918492986677,59.39332440045979,8.80717357638983,54.46386476406798,59.01913177204848,8.754794811306974,54.779184929866716,59.39332440045976,8.80717357638982,-33.54767614441462,-45.014215056325796,10.358266600765036,54.46386476406801,59.01913177204851,8.75479481130698,54.46386476406798,59.01913177204848,8.754794811306974,nan,-33.54767614441462,nan,-45.014215056325796,False,7.193688518597871,ae82c5634254992f,,3.9991834528925487,-6.348241821789676,0.005606808893289239,1.222235045554985,11.396045384360445,-18.915428512699833,1.0087501796156255,0.9914303508752205,-2.724167594173565
4,4080,3,7,4766,3.0564567387689285,-3.4372683584594323,504.53078777900214,505.9784243489465,1.0028692730057505,0.0,0.8635486072180137,0.8635486072180137,0.8635486072180137,-2.893973190704449,-8.572062336959892,phase,50.16904507123066,54.31090167545623,8.04136961316124,50.18331050224296,54.51262461177716,8.043739286086872,50.16904507123066,54.31090167545619,8.04136961316124,50.183310502242946,54.512624611777134,8.043739286086868,-33.53701069177238,-48.80188326288797,6.699985788896965,50.16904507123066,54.31090167545623,8.04136961316124,50.16904507123066,54.31090167545619,8.04136961316124,nan,-33.53701069177238,nan,-48.80188326288797,False,7.4130260337306,a551861b00f2584a,,3.0564567387689285,-3.4372683584594323,0.002869273005750461,0.8635486072180137,12.456525848390445,-20.12887121636406,1.009256696056111,0.9909339554093325,-2.9832321763389693
5,5100,3,7,5800,0.7722750214153158,-3.1927016930633814,504.7319983720092,505.3350651228621,1.0011948256754042,0.0,0.6055139925491471,0.6055139925491471,0.6055139925491471,-2.0806775901124364,0.5435854314679471,phase,50.18299595458199,54.51874786328614,8.043687035644849,50.068053503084826,54.86117022619686,8.024593605163593,50.18299595458203,54.51874786328614,8.043687035644856,50.0680535030848,54.86117022619679,8.024593605163588,-33.50644713685029,-51.369064304298455,4.234331872525884,50.18299595458199,54.51874786328614,8.043687035644849,50.18299595458203,54.51874786328614,8.043687035644856,nan,-33.50644713685029,nan,-51.369064304298455,False,6.956438553764705,f1b12267d5723d5b,,0.7722750214153158,-3.1927016930633814,0.0011948256754041875,0.6055139925491471,12.724343003878838,-21.256540307197255,1.009467726073477,0.9907270038471757,-3.1648863741037134
6,6144,0,7,6829,1.6308803622089074,-1.2403386883427483,504.5070016593565,505.6480080340461,1.002261626441133,0.0,0.4171295555669472,0.4171295555669472,0.4171295555669472,-1.666127847401313,0.8257554097773196,phase,54.701100104181364,60.18712644961045,8.794202675113185,54.64602131548139,59.342405885000986,8.785053374664685,54.70110010418135,60.187126449610474,8.794202675113182,54.64602131548144,59.342405885001,8.785053374664692,-33.55549041508193,-53.54686089970096,3.014834965785278,54.701100104181364,60.18712644961045,8.794202675113185,54.70110010418135,60.187126449610474,8.794202675113182,nan,-33.55549041508193,nan,-53.54686089970096,False,6.8111756842950335,85477a6238a430a6,,1.6308803622089074,-1.2403386883427483,0.0022616264411330356,0.4171295555669472,13.289797561790648,-21.69472210625411,1.0098672578811096,0.9903357741447423,-3.2900252407737978
7,7140,3,7,3842,1.1181119940806683,-1.534069715379227,504.8245668674336,505.5745357088754,1.001485602901807,0.0,0.3042890666706491,0.3042890666706491,0.3042890666706491,-1.069092724403026,4.813862855493986,phase,54.388507458435754,58.77299999227293,8.742276986451122,54.30681594146398,59.6649712677318,8.728706967020596,54.38850745843582,58.7729999922731,8.742276986451133,54.30681594146401,59.66497126773181,8.728706967020601,-33.55703178852042,-57.72036761242096,1.8403188754119049,54.388507458435754,58.77299999227293,8.742276986451122,54.38850745843582,58.7729999922731,8.742276986451133,nan,-33.55703178852042,nan,-57.72036761242096,False,6.9703695699806945,792c28f87ee74a48,,1.1181119940806683,-1.534069715379227,0.0014856029018071037,0.3042890666706491,13.67731304451789,-22.236886101941753,1.0101298036836406,0.9900786880750826,-3.3813119607749926
8,8160,2,8,636,0.2866032034879339,-0.5959619176183442,505.33735190835375,505.69380170252555,1.0007053699728028,0.0,0.19147249167235678,0.19147249167235678,0.19147249167235678,-0.6181355008880625,-5.802028447096866,phase,54.577050675503884,58.936518564256616,8.7735964577249,54.600334400399305,59.24869137776839,8.777464186112843,54.5770506755039,58.93651856425671,8.773596457724901,54.60033440039919,59.248691377768274,8.777464186112823,-33.571543643551955,-62.472320320748416,1.150314343599236,54.577050675503884,58.936518564256616,8.7735964577249,54.5770506755039,58.93651856425671,8.773596457724901,nan,-33.571543643551955,nan,-62.472320320748416,False,6.987890150409621,e003bcbc7e2a7e47,,0.2866032034879339,-0.5959619176183442,0.000705369972802794,0.19147249167235678,13.776618223768093,-22.447562963971734,1.0102544938492672,0.989956559160128,-3.4387537082766997
9,9180,3,8,1707,0.10529599661398471,-0.5135141819737801,505.0035545383902,505.8963027331536,1.0017678057644157,0.0,0.17304943846925963,0.17304943846925963,0.17304943846925963,-0.439162990623233,-0.7287887343415251,phase,54.50489885782748,59.01700028564952,8.76161110595141,54.274468354139984,58.75105846320609,8.723333613644517,54.504898857827506,59.017000285649615,8.761611105951413,54.27446835413997,58.75105846320611,8.723333613644515,-33.542297964450526,-64.79418531382875,0.6288428373494424,54.50489885782748,59.01700028564952,8.76161110595141,54.504898857827506,59.017000285649615,8.761611105951413,nan,-33.542297964450526,nan,-64.79418531382875,False,9.159321936408208,19bc3860340ecf77,,0.10529599661398471,-0.5135141819737801,0.0017678057644157086,0.17304943846925963,13.81309774357154,-22.629116348337714,1.010567032249874,0.9896508407014158,-3.4906685398174777
