iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,skew_used_ps,skew_observable,gain_mag_ratio,skew_slope_ps,skew_fold_ps,phase_a_samples,phase_b_samples,dither_peak_a_codes,dbc_ab_coherent,dbc_ab_coherent_cal,snr_dither_db,snr_dither_db_cal,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps
0,0,5,8,537,13.736342516364914,-25.607070606330772,1296.2061649747843,1317.8592436031618,1.0167049650074753,1.0208248199487995,0.0,3.6166046838169894,3.6166046838169894,3.6166046838169894,-17.0418968946817,-5.979000078605387,phase,3.6166046838169894,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.92002108322888,50.28571223351659,6.504986890901808,40.7462144055328,50.051110457965045,6.476115349756279,40.92002108322888,50.28571223351659,6.504986890901808,40.7462144055328,50.051110457965045,6.476115349756279,-33.3865192844626,-33.3865192844626,37.21384622072065,40.92002108322888,50.28571223351659,6.504986890901808,40.92002108322888,50.28571223351659,6.504986890901808,nan,-33.3865192844626,nan,-33.3865192844626,False,12.274819698841062,e4bd1a05757261c4,,13.736342516364914,-25.607070606330772,0.020824819948799478,tone,3.6166046838169894,4.80771988072772,-8.96247471221577,1.00364434349104,0.9964300010934073,-1.0849814051450968
1,1020,4,8,1585,10.158869223069644,-8.629623709244566,1302.428121113393,1313.2391235622006,1.0083006518928397,1.0134855063517378,0.0,2.476772341089288,2.476772341089288,2.476772341089288,-11.046393581545365,2.319273134094174,phase,2.476772341089288,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.8810147934193,50.461240013325,6.498507440767326,40.628884285696344,50.7172279857432,6.4566252966273,40.88101479341931,50.461240013325025,6.4985074407673284,40.628884285696344,50.717227985743165,6.4566252966273,-33.54103873595799,-37.18975878198457,22.776163549359822,40.8810147934193,50.461240013325,6.498507440767326,40.88101479341931,50.461240013325025,6.4985074407673284,nan,-33.54103873595799,nan,-37.18975878198457,False,13.753842588108334,807debae211f3061,,10.158869223069644,-8.629623709244566,0.013485506351737842,tone,2.476772341089288,8.350413317036733,-11.99366435415878,1.006012907620621,0.9941097522794838,-1.8280131074718833
2,2040,2,8,2623,5.689443375138778,-11.504789814444742,1304.3504381442697,1309.046908816322,1.0036006203047196,1.0087432287252536,0.0,1.7521961006187505,1.7521961006187505,1.7521961006187505,-7.198776377419937,-3.199729644844769,phase,1.7521961006187505,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.90315134472203,50.410497668983034,6.502184608757814,40.63985693912539,50.5977623844514,6.458447996532457,40.90315134472205,50.41049766898304,6.502184608757816,40.63985693912539,50.597762384451386,6.458447996532457,-33.598149970903876,-40.94314762981576,16.726628104574402,40.90315134472203,50.410497668983034,6.502184608757814,40.90315134472205,50.41049766898304,6.502184608757816,nan,-33.598149970903876,nan,-40.94314762981576,False,11.854240283723671,8041af2352ba4cfc,,5.689443375138778,-11.504789814444742,0.008743228725253571,tone,1.7521961006187505,10.329816529673758,-16.04419944429599,1.0075521727872008,0.9926018833574743,-2.3536719376575084
3,3060,5,7,849,3.888465049740886,-3.6774046077871305,1306.6864239384217,1305.0368425781821,0.998737584373711,1.0056385544650104,0.0,1.2426217032936928,1.2426217032936928,1.2426217032936928,-4.6701134861165965,3.048219473939731,phase,1.2426217032936928,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.88585971351013,50.17209830715164,6.499312244769126,40.897595025533356,50.41643422815259,6.501261632148399,40.88585971351014,50.17209830715163,6.499312244769127,40.89759502553336,50.41643422815262,6.5012616321484,-33.59169627194251,-44.55290950086513,10.404748488430103,40.88585971351013,50.17209830715164,6.499312244769126,40.88585971351014,50.17209830715163,6.499312244769127,nan,-33.59169627194251,nan,-44.55290950086513,False,10.76146032682251,8fdd863fe6e41d46,,3.888465049740886,-3.6774046077871305,0.005638554465010381,tone,1.2426217032936928,11.680578112217386,-17.34088408121398,1.008546371902656,0.9916279280955232,-2.7264584486456163
4,4080,3,8,4765,2.280508604335364,-4.010099678055964,1307.7113449933559,1304.0125239224901,0.9971715309460097,1.0036551585692608,0.0,0.8565372667903418,0.8565372667903418,0.8565372667903418,-3.0462707397331004,-0.5559291596074063,phase,0.8565372667903418,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.86520679545842,50.17793388459523,6.495881527484788,40.81264497952628,50.23564855021873,6.487150328824964,40.86520679545842,50.177933884595234,6.495881527484788,40.812644979526304,50.235648550218706,6.487150328824968,-33.59225567543269,-48.180300489293444,7.884272202048926,40.86520679545842,50.17793388459523,6.495881527484788,40.86520679545842,50.177933884595234,6.495881527484788,nan,-33.59225567543269,nan,-48.180300489293444,False,11.513818319719405,b8844a448420ec54,,2.280508604335364,-4.010099678055964,0.003655158569260797,tone,0.8565372667903418,12.471992402877705,-18.756268670084076,1.0091914913625635,0.990995940579302,-2.983419628682719
5,5100,3,7,5799,1.3493193845186058,-0.9842171059324856,1309.2435513534713,1308.4624991164665,0.9994034324353194,1.0024960894210524,0.0,0.5982028804218402,0.5982028804218402,0.5982028804218402,-2.080323857936876,-2.1641211235121296,phase,0.5982028804218402,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.92784077762364,50.21237578129279,6.506285843459078,40.60780852872955,50.33709342126872,6.453124340320524,40.92784077762366,50.21237578129278,6.5062858434590805,40.60780852872956,50.3370934212687,6.453124340320525,-33.59339676150415,-51.60080298123114,5.411352739882346,40.92784077762364,50.21237578129279,6.506285843459078,40.92784077762366,50.21237578129278,6.5062858434590805,nan,-33.59339676150415,nan,-51.60080298123114,False,11.425301964750222,fafaba32269ecb04,,1.3493193845186058,-0.9842171059324856,0.0024960894210523943,tone,0.5982028804218402,12.939952932295057,-19.10387452089614,1.0096323219985097,0.9905641358678466,-3.162880492809271
6,6144,0,7,6829,0.918616502198536,-3.8435709625997205,1309.6793560120552,1305.0517946726309,0.9964666455814688,1.0015636884876653,0.0,0.4123156223376115,0.4123156223376115,0.4123156223376115,-1.3155941575058316,-2.716281771974002,phase,0.4123156223376115,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.883025033597775,50.47390681141187,6.498841367707272,40.678123853742136,50.60927417954136,6.4648046268674655,40.88302503359778,50.47390681141185,6.498841367707273,40.67812385374212,50.609274179541345,6.464804626867463,-33.62442663019981,-55.64860141018306,4.914089765449942,40.883025033597775,50.47390681141187,6.498841367707272,40.88302503359778,50.47390681141185,6.498841367707273,nan,-33.62442663019981,nan,-55.64860141018306,False,10.150079192545604,fe145fe667e2b8d1,,0.918616502198536,-3.8435709625997205,0.0015636884876653045,tone,0.4123156223376115,13.258401310743427,-20.461938868472494,1.0099086033252793,0.9902934956611009,-3.2865751795105544
7,7140,3,7,7872,1.5740913164758479,2.1936025210394834,1310.3147227049803,1303.362806037657,0.9946944680183614,1.00105706883454,0.0,0.30371737075378663,0.30371737075378663,0.30371737075378663,-0.8991554745173735,-0.4528661583916934,phase,0.30371737075378663,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.85656151510957,50.29496873001017,6.494445434403584,40.70636129766967,50.03107313760535,6.469495232171043,40.85656151510957,50.29496873001014,6.494445434403584,40.70636129766967,50.03107313760534,6.469495232171043,-33.611378790885134,-59.03571872511574,2.7389337765407893,40.85656151510957,50.29496873001017,6.494445434403584,40.85656151510957,50.29496873001014,6.494445434403584,nan,-33.611378790885134,nan,-59.03571872511574,False,10.87141797576613,3addf90e34acf5cb,,1.5740913164758479,2.1936025210394834,0.0010570688345399315,tone,0.30371737075378663,13.803927865277688,-19.68665266723245,1.0100954233345834,0.9901104976341325,-3.3776903907366904
8,8160,2,8,3496,-0.11434757326161005,-2.3799857496200345,1310.5616648678194,1304.099348474371,0.9950690482052974,1.0006472131074786,0.0,0.19045172899674354,0.19045172899674354,0.19045172899674354,-0.5448734216626443,-6.027734527181203,phase,0.19045172899674354,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.873234630799985,50.352671752359264,6.497215054950164,40.79565564235122,49.798177030395685,6.484328179792563,40.873234630799985,50.35267175235927,6.497215054950164,40.795655642351235,49.798177030395706,6.4843281797925645,-33.61623200433069,-62.65057878769681,3.505386878275182,40.873234630799985,50.352671752359264,6.497215054950164,40.873234630799985,50.35267175235927,6.497215054950164,nan,-33.61623200433069,nan,-62.65057878769681,False,10.816336253284073,04b4996e88fe03e2,,-0.11434757326161005,-2.3799857496200345,0.0006472131074786169,tone,0.19045172899674354,13.764306211999187,-20.52796786827057,1.0102098290591959,0.9899984279809948,-3.4348259094357134
9,9180,3,8,1707,0.7645071909162198,1.542968125366429,1311.1961717631555,1306.379715473197,0.9963266699570348,1.0004474157166976,0.0,0.17715222854697663,0.17715222854697663,0.17715222854697663,-0.39893720178264647,7.992538435844201,phase,0.17715222854697663,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.84251427934084,50.051336521926196,6.492112006535024,40.7650358025252,50.72941688667207,6.479241827661994,40.84251427934083,50.05133652192616,6.492112006535023,40.76503580252521,50.72941688667208,6.479241827661996,-33.61491473512159,-65.06683858274475,2.4009163340870954,40.84251427934084,50.051336521926196,6.492112006535024,40.84251427934083,50.05133652192616,6.492112006535023,nan,-33.61491473512159,nan,-65.06683858274475,False,13.793356062171927,7b75c9301ca28cbd,,0.7645071909162198,1.542968125366429,0.0004474157166975967,tone,0.17715222854697663,14.029179418657522,-19.982473220385515,1.0102889262162655,0.9899209479969251,-3.4879715779998066
