iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,tone_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,skew_phase_ps,skew_diff_route_ps,skew_centroid_ps,skew_source,skew_used_ps,skew_observable,gain_mag_ratio,skew_slope_ps,skew_fold_ps,phase_a_samples,phase_b_samples,dither_peak_a_codes,dbc_ab_coherent,dbc_ab_coherent_cal,snr_dither_db,snr_dither_db_cal,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,raw_difference_dbc,cal_difference_dbc,cal_dc_difference_codes,raw_sndr_db,raw_sfdr_db,raw_enob,cal_sndr_db,cal_sfdr_db,cal_enob,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,swapped,align_margin,frame_sha1,rejected,offset_error_a,offset_error_b,gain_error,gain_source,skew_error_ps,offset_a_state,offset_b_state,gain_corr_a,gain_corr_b,skew_cmd_ps
0,0,5,8,537,12.0923409232859,-30.578936000687158,1295.5571628351177,1321.0461498853278,1.0196741508452098,1.020939179828715,0.0,3.6195288341564935,3.6195288341564935,3.6195288341564935,-17.130666172126855,-2.8704050636825413,phase,3.6195288341564935,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.82925566695196,50.53414136444948,6.489909579227901,40.65611690385725,50.224555337032854,6.461148987351704,40.82925566695196,50.53414136444948,6.489909579227901,40.65611690385725,50.224555337032854,6.461148987351704,-33.380216607293754,-33.380216607293754,37.124337051767995,40.82925566695196,50.53414136444948,6.489909579227901,40.82925566695196,50.53414136444948,6.489909579227901,nan,-33.380216607293754,nan,-33.380216607293754,False,17.912232314669488,ee36cfe5acca3013,,12.0923409232859,-30.578936000687158,0.02093917982871507,tone,3.6195288341564935,4.232319323150064,-10.702627600240504,1.0036643564700252,0.9964107984663299,-1.085858650246948
1,1020,4,8,1585,13.681794018091901,3.7838453425120706,1302.3164748557824,1313.6800619741064,1.008725672551737,1.0135432545169794,0.0,2.471730015929634,2.471730015929634,2.471730015929634,-11.085429751996282,-5.168470834379359,phase,2.471730015929634,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.84456269139348,50.736904156912395,6.492452274317854,40.644076219459436,51.07839601336085,6.4591488736643585,40.84456269139349,50.736904156912416,6.4924522743178565,40.64407621945945,51.07839601336082,6.459148873664361,-33.53982441734386,-37.212693891937946,21.710293097192142,40.84456269139348,50.736904156912395,6.492452274317854,40.84456269139349,50.736904156912416,6.4924522743178565,nan,-33.53982441734386,nan,-37.212693891937946,False,19.966396310270817,cb322323ed69a745,,13.681794018091901,3.7838453425120706,0.013543254516979353,tone,2.471730015929634,9.003464054416785,-9.373511263968707,1.0060431107901515,0.9940807914609877,-1.8273776550258383
2,2040,2,8,2623,8.368613812630095,-15.372669983886592,1303.9576353414382,1314.108548810039,1.007784695755045,1.008832528783388,0.0,1.7552174106860687,1.7552174106860687,1.7552174106860687,-7.269596502756562,-0.8309703634680797,phase,1.7552174106860687,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.80553168216822,50.86302674731549,6.485968717968144,40.71138857928222,50.69607208483102,6.470330328784423,40.80553168216822,50.86302674731546,6.485968717968144,40.71138857928222,50.69607208483105,6.470330328784423,-33.53381756205897,-40.85824770552386,18.66218109212029,40.80553168216822,50.86302674731549,6.485968717968144,40.80553168216822,50.86302674731546,6.485968717968144,nan,-33.53381756205897,nan,-40.85824770552386,False,17.306732026835682,775dfb7b24e3b916,,8.368613812630095,-15.372669983886592,0.008832528783387916,tone,1.7552174106860687,11.914884850410377,-14.785983309075576,1.0075981441184936,0.9925577009412146,-2.353942878231659
3,3060,5,7,3709,2.5207754769714876,7.014310076986112,1307.2957090090415,1304.9415812571635,0.998199238522964,1.0056591760484934,0.0,1.2365081531180386,1.2365081531180386,1.2365081531180386,-4.6837314520877165,-0.583146477108716,phase,1.2365081531180386,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.78740998870469,50.239458475957655,6.4829584698845,40.82589293507881,51.401724957257855,6.489350985893491,40.78740998870467,50.23945847595762,6.482958469884497,40.82589293507881,51.401724957257855,6.489350985893491,-33.56369460027183,-44.58894042066899,10.098056211187593,40.78740998870469,50.239458475957655,6.4829584698845,40.78740998870467,50.23945847595762,6.482958469884497,nan,-33.56369460027183,nan,-44.58894042066899,False,15.770816259602812,329a12208cc65ef7,,2.5207754769714876,7.014310076986112,0.0056591760484934195,tone,1.2365081531180386,12.790503192990677,-12.312566877348612,1.0085960247931414,0.9915802472394075,-2.7248953241670706
4,4080,3,8,4765,-0.21711263650134538,-21.420029779858517,1307.8452558068905,1305.957921983906,0.9985569135074623,1.0037173078683514,0.0,0.8594514240762463,0.8594514240762463,0.8594514240762463,-3.092284099971035,-0.8169578890039075,phase,0.8594514240762463,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.79101111594822,50.39337858044627,6.483556663778775,40.76794459847544,50.44232535410387,6.479725016358047,40.79101111594822,50.39337858044625,6.483556663778775,40.76794459847545,50.442325354103886,6.479725016358049,-33.54749947681949,-48.17493335879301,12.012192894448555,40.79101111594822,50.39337858044627,6.483556663778775,40.79101111594822,50.39337858044625,6.483556663778775,nan,-33.54749947681949,nan,-48.17493335879301,False,16.808248798078576,ff0b8cad39a9d30a,,-0.21711263650134538,-21.420029779858517,0.0037173078683514493,tone,0.8594514240762463,12.71516141004933,-19.873236267266783,1.0092521456324577,0.9909375846295301,-2.9827307513899446
5,5100,3,8,5799,1.3890232666039084,3.3117380414186606,1309.4219993343202,1309.3839152443636,0.9999709153428185,1.002472160064738,0.0,0.601422008911893,0.601422008911893,0.601422008911893,-2.0632563851594745,-0.7278921488269756,phase,0.601422008911893,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.90813881206125,50.55170475745645,6.503013091704528,40.65527718135381,50.53436674761069,6.461009498563756,40.90813881206125,50.55170475745642,6.503013091704528,40.65527718135381,50.5343667476107,6.461009498563756,-33.564881678591696,-51.80580274497734,4.090538320644568,40.90813881206125,50.55170475745645,6.503013091704528,40.90813881206125,50.55170475745642,6.503013091704528,nan,-33.564881678591696,nan,-51.80580274497734,False,16.76356109258158,70172ff8d301b305,,1.3890232666039084,3.3117380414186606,0.0024721600647379383,tone,0.601422008911893,13.19686278211499,-18.703527566662927,1.0096887763811524,0.9905099344925309,-3.1631573540635123
6,6144,0,7,6829,-1.0460269104005968,-8.812992883644736,1310.1435347192576,1309.0896676844961,0.9991956094833631,1.0015661315455335,0.0,0.41544252556158917,0.41544252556158917,0.41544252556158917,-1.317937492413644,-0.09215095326398937,phase,0.41544252556158917,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.864520585755585,50.76453946209382,6.495767539162058,40.75077786087185,50.89675547823933,6.476873398815923,40.864520585755564,50.76453946209379,6.495767539162054,40.75077786087186,50.896755478239356,6.476873398815924,-33.58510224459809,-55.82650649414445,5.099077908783714,40.864520585755585,50.76453946209382,6.495767539162058,40.864520585755564,50.76453946209379,6.495767539162054,nan,-33.58510224459809,nan,-55.82650649414445,False,14.949283977950511,b242cd0a9a47d2e8,,-1.0460269104005968,-8.812992883644736,0.0015661315455335334,tone,0.41544252556158917,12.834266477982158,-21.81762809393928,1.0099655048338283,0.9902388869391044,-3.287790111731989
7,7140,3,7,7872,1.9494454923510567,14.579855233913992,1310.6939967936837,1302.2828278907082,0.9935826600842367,1.0010302901042631,0.0,0.3068238006625984,0.3068238006625984,0.3068238006625984,-0.8796780681382241,-2.5013601002409604,phase,0.3068238006625984,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.8057543265152,50.53856125882976,6.486005702078938,40.78418085706414,51.09579165598816,6.4824220692797585,40.8057543265152,50.5385612588298,6.486005702078938,40.78418085706416,51.09579165598815,6.482422069279761,-33.56322241978128,-59.11603046677915,1.9090631348485219,40.8057543265152,50.53856125882976,6.486005702078938,40.8057543265152,50.5385612588298,6.486005702078938,nan,-33.56322241978128,nan,-59.11603046677915,False,16.3103456264017,7cc09410fafff467,,1.9494454923510567,14.579855233913992,0.001030290104263143,tone,0.3068238006625984,13.509839969410592,-16.6643772984232,1.010147602390252,0.990060529866569,-3.379837251930769
8,8160,2,8,636,-0.21100588497253434,-14.834726869134343,1309.5440171629061,1307.8626049042232,0.9987160322702816,1.0006685275627478,0.0,0.1933819204745744,0.1933819204745744,0.1933819204745744,-0.566431257389292,-1.1069711937436657,phase,0.1933819204745744,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.81012435493436,51.98630974101246,6.486731620420991,40.77897824768071,50.512680923158335,6.4815578484519465,40.81012435493438,51.986309741012505,6.486731620420994,40.778978247680726,50.51268092315838,6.481557848451948,-33.5734060635498,-62.8500290885698,6.954950832898103,40.81012435493436,51.98630974101246,6.486731620420991,40.81012435493438,51.986309741012505,6.486731620420994,nan,-33.5734060635498,nan,-62.8500290885698,False,15.864089806091114,4de27d33f267c500,,-0.21100588497253434,-14.834726869134343,0.0006685275627478227,tone,0.1933819204745744,13.436729802573948,-21.90865706472877,1.0102657819053145,0.9899447777682614,-3.4378518280731414
9,9180,3,8,1707,3.9259323938554944,14.847537908296394,1311.6864215388723,1305.3059008559983,0.9951356356381365,1.0004027897691545,0.0,0.16409059066244655,0.16409059066244655,0.16409059066244655,-0.36325114253622093,-2.1373234580777627,phase,0.16409059066244655,phase,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.829297698303264,50.584439674060675,6.489916561179945,40.72987869905515,50.78485510748831,6.473401777251687,40.82929769830326,50.58443967406071,6.489916561179944,40.72987869905516,50.78485510748835,6.473401777251689,-33.58880347755847,-65.8795807823961,1.3821123052788196,40.829297698303264,50.584439674060675,6.489916561179945,40.82929769830326,50.58443967406071,6.489916561179944,nan,-33.58880347755847,nan,-65.8795807823961,False,19.97428379860345,a53d1e45e190eb39,,3.9259323938554944,14.847537908296394,0.00040278976915453235,tone,0.16409059066244655,14.796843509739183,-16.65923468824119,1.0103369937315032,0.9898750264283976,-3.4870790052718754
