point,code,frame,phase_ps,diff_route_ps,centroid_ps,source,tone,resid,margin
baseline,24,0,-39.772644628404535,-44.31086080550066,-91.2478125426912,phase,546.7954151002506,10.891584920695033,6.614866226969941
baseline,24,1,-45.47304325495564,-46.27423145351418,153.01289875206584,phase,553.0603428104798,10.448081980289265,8.181917996112157
baseline,24,2,-39.33812927825786,-43.6671522392696,-110.64564248764889,phase,547.1237533381994,10.642945116791855,7.199102565017745
baseline,24,3,-39.73462047636403,-43.624007953309494,-1.7696098867257495,phase,547.8281015319129,10.3649659731449,6.288229406241676
baseline,24,4,-40.73862002234934,-46.197476946792804,-127.68082114783753,phase,545.5271452271908,10.725451280165768,6.069482355423127
baseline,24,5,-41.395060962235775,-46.748570373617554,-255.64466349380248,phase,545.4348100357898,10.374694933437995,6.488709619884444
baseline,24,6,-43.284327631854445,-44.51155677162446,143.17338194334894,phase,551.9531840434458,10.872363446883693,5.966823908151313
baseline,24,7,-44.59495011307333,-50.51871248020229,-598.1552620314027,phase,543.9574041071606,10.448385474757886,6.235033013783216
baseline,24,8,-44.65190728829766,-50.60180860587004,-42.75131949525848,phase,544.0995966929839,10.097075194589138,6.235569885050168
baseline,24,9,-40.80859015877252,-43.22614407092046,407.4101700626215,phase,549.7821799898423,11.580662276897886,5.605118973519986
baseline,24,10,-47.848368888988595,-48.204256465490445,-57.85901309024028,phase,554.2786695367747,10.376820600512419,6.392310949471363
baseline,24,11,-40.102800861510715,-43.93517084294418,-87.14620171343468,phase,548.032498701026,10.65898851217014,6.1114808913676475
baseline,24,12,-44.509133144575706,-50.602627491072695,-26.478091112408084,phase,543.7392154252752,9.992132206812455,5.256588525034749
baseline,24,13,-45.36266524761475,-51.44450297298132,138.49665543342866,phase,543.7933494130928,10.400985976292109,5.206444688312287
baseline,24,14,-44.12609174975727,-50.384315898707236,-132.00414423389262,phase,543.673388173529,12.177962228670653,6.956132895263207
baseline,24,15,-40.405382266182365,-42.96839254290975,-163.87619465336394,phase,549.7647627006612,10.52499091169093,6.378520170340677
baseline,24,16,-39.806594324254846,-44.73615871035432,-267.27239877757825,phase,546.244285933138,10.175860863718741,6.441128166736436
baseline,24,17,-40.313921020472655,-45.3012231566039,101.71977175394531,phase,545.9854512903041,12.611208981736537,6.343889298024324
baseline,24,18,-41.026800878356966,-46.212608543848795,22.045214389328624,phase,545.7930415942417,10.247070045250698,5.979308769425453
baseline,24,19,-39.12627020791091,-43.331086906025156,-78.42400436241012,phase,547.3557792053787,10.501097735119437,6.472132826037822
stepped,25,0,-34.71381183849819,-40.19877571293584,-154.4662716678229,phase,546.1944480780578,10.288246967476121,5.86301954181345
stepped,25,1,-32.49295135871531,-37.44370941801484,242.35476461267783,phase,547.3679609021211,11.188862884389573,7.254287418783039
stepped,25,2,-38.57153597120164,-39.21538801984393,49.18560779787576,phase,554.3871755112984,10.999628913451087,6.089987245542199
stepped,25,3,-37.31616774622708,-43.27035583152605,130.83866764568452,phase,544.7566943198517,10.397517181244334,7.2745742293300895
stepped,25,4,-35.71053553641946,-41.68649131562496,-244.87212592688388,phase,545.0903227182647,10.327031261256664,6.930070987535269
stepped,25,5,-36.45154926045868,-42.35807614671618,-351.01740346814813,phase,544.9844362068269,10.21315501149922,6.847538859692787
stepped,25,6,-33.37511584686357,-35.76762721443514,-122.86766600957878,phase,551.161034935419,10.513932366183179,6.309346876919984
stepped,25,7,-41.643353740010035,-41.939379003556056,445.7541866159773,phase,555.5166732502645,10.47145358516708,5.872546104076365
stepped,25,8,-34.11898192740838,-39.61884199463768,-270.10938099385896,phase,545.953645003719,10.230595888554937,5.676167801737175
stepped,25,9,-36.141753234310954,-37.43999893613829,-167.51750920430635,phase,552.8652711920995,10.882696504126276,5.879491104211823
stepped,25,10,-31.875358396448565,-36.16553055043006,-213.52527366837094,phase,548.0745682413033,11.776742227797977,7.538901719807103
stepped,25,11,-36.61984742106162,-42.342111332126336,-31.658315243073407,phase,545.2692093826919,11.584825911077935,6.731441448318086
stepped,25,12,-33.30996745905631,-38.457502449996326,-179.77396542771675,phase,546.8004990968577,10.892370997607296,6.571129470896769
stepped,25,13,-36.158325724330645,-42.330898379114196,-70.51461412644336,phase,544.9997229908391,10.702470288269712,6.621110806758733
stepped,25,14,-32.279276090547654,-35.48059921955926,-11.223616767339287,phase,549.4337923571122,10.696617072787326,6.939193221707537
stepped,25,15,-41.03026292234191,-41.31523521593783,437.6839648918818,phase,555.3974535961291,10.47986955715006,7.480140288694095
stepped,25,16,-33.623354860255944,-39.35225713112975,588.2100182251316,phase,546.1582963082496,10.269520117086111,7.386889849543414
stepped,25,17,-36.28957197472484,-42.216555617229524,-138.45852892289193,phase,545.0907565882013,10.43856067058323,6.171863879173241
stepped,25,18,-37.96549617198955,-43.7715215488514,-264.46924128450723,phase,544.8149482618104,10.708196943404436,5.841387687485973
stepped,25,19,-37.28432677864761,-43.27794753861917,-70.20874028501413,phase,544.5506698041323,10.3864025978515,6.904564405683327
