stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,8.000000,-0.003340,7.996660,0.999582,299409448.818898,299409448.818898,0.000000,11.948543,0.999575,1,0.417589,396.376267,2.000000,1,39.297371,6.235444,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,1.000000,0.010370,1.010370,0.999606,299409448.818898,299409448.818898,0.000000,11.151185,0.999623,1,0.494844,38.143907,2.000000,0,38.235344,6.059028,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-46.000000,0.010251,-45.989750,0.999682,299409448.818898,299409448.818898,0.000000,10.478884,0.999668,1,0.575819,-355.028990,2.000000,0,39.190063,6.217619,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-55.000000,0.001854,-54.998146,0.999696,299409448.818898,299409448.818898,0.000000,9.880206,0.999709,1,0.535316,222.379794,2.000000,0,38.891224,6.167978,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,42.000000,-0.012587,41.987411,0.999672,299409448.818898,299409448.818898,0.000000,10.308708,0.999677,1,0.462189,-257.791646,2.000000,0,38.398785,6.086177,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-21.000000,0.007568,-20.992432,0.999675,299409448.818898,299409448.818898,0.000000,10.107821,0.999692,1,0.555025,-31.619399,2.000000,0,39.014458,6.188448,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,1.000000,0.010604,1.010604,0.999659,299409448.818898,299409448.818898,0.000000,10.489539,0.999668,1,0.335221,172.585462,2.000000,0,39.448910,6.260616,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,10.000000,-0.002085,9.997915,0.999688,299409448.818898,299409448.818898,0.000000,10.405022,0.999677,1,0.515577,43.505133,2.000000,0,38.953876,6.178385,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-48.000000,-0.003980,-48.003979,0.999622,299409448.818898,299409448.818898,0.000000,11.214944,0.999625,1,0.554273,124.776169,2.000000,0,38.638264,6.125957,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-20.000000,0.002025,-19.997974,0.999622,299409448.818898,299409448.818898,0.000000,11.435520,0.999612,1,0.443526,-161.330470,2.000000,0,38.693802,6.135183,
