stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,561,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.042890,-1,-3.141593,-0.098702,-0.068214,-52.472450,299374997.703021,299374997.703021,570.821880,570.581194,0.999930,0.999930,4.772354,4.780241,1,1,0,nan,nan,nan,nan,38.545059,6.110475,38.527054,6.107484,edge estimates disagree,318.110715,-162.147637,480.258352,
skew,closed_loop_initial_baseline,0,1,2,562,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.045218,-1,-3.141593,-0.096374,-0.066606,-51.235000,299374997.703021,299374997.703021,569.911136,570.968508,0.999968,0.999969,3.213786,3.187194,1,1,0,nan,nan,nan,nan,41.965503,6.678655,42.053774,6.693318,edge estimates disagree,159.087039,109.860736,49.226304,
skew,closed_loop_initial_baseline,0,1,3,563,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059469,-1,-3.141593,-0.082124,-0.056757,-43.659111,299374997.703021,299374997.703021,562.280616,575.843909,0.999968,0.999968,3.155751,3.233891,1,1,0,nan,nan,nan,nan,42.006707,6.685500,42.001288,6.684599,edge estimates disagree,-214.408608,224.783500,439.192109,
skew,closed_loop_initial_baseline,0,1,4,564,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.054130,-1,-3.141593,-0.087463,-0.060447,-46.497456,299374997.703021,299374997.703021,566.487991,573.525132,0.999963,0.999971,3.426778,3.106452,1,1,0,nan,nan,nan,nan,41.355795,6.577375,42.315457,6.736787,skew outside supported linear range,-356.646435,3.184804,359.831239,
skew,closed_loop_initial_baseline,0,1,5,565,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.058417,-1,-3.141593,-0.083176,-0.057484,-44.218213,299374997.703021,299374997.703021,563.662970,574.968610,0.999953,0.999958,3.864523,3.743486,1,1,0,nan,nan,nan,nan,40.268173,6.396706,40.717058,6.471272,skew outside supported linear range,-434.448814,-199.920803,234.528011,
skew,closed_loop_initial_baseline,0,1,6,566,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.060805,-1,-3.141593,-0.080788,-0.055834,-42.948903,299374997.703021,299374997.703021,560.618657,576.683064,0.999960,0.999962,3.532460,3.552137,1,1,0,nan,nan,nan,nan,41.001506,6.518523,41.198649,6.551271,skew outside supported linear range,-101.498895,834.957168,936.456062,
skew,closed_loop_initial_baseline,0,1,7,567,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.058483,-1,-3.141593,-0.083109,-0.057438,-44.182868,299374997.703021,299374997.703021,557.201601,577.752164,0.999966,0.999962,3.238576,3.550753,1,1,0,nan,nan,nan,nan,41.702866,6.635027,41.218121,6.554505,edge estimates disagree,1494.689651,-1084.989832,2579.679483,
skew,closed_loop_initial_baseline,0,1,8,568,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.058573,-1,-3.141593,-0.083020,-0.057376,-44.135500,299374997.703021,299374997.703021,557.070069,578.103238,0.999963,0.999970,3.392743,3.175385,1,1,0,nan,nan,nan,nan,41.296877,6.567588,42.193882,6.716592,edge estimates disagree,869.630421,-921.866457,1791.496878,
skew,closed_loop_initial_baseline,0,1,9,569,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.035771,-1,-3.141593,-0.105822,-0.073135,-56.257585,299374997.703021,299374997.703021,572.287800,569.601089,0.999964,0.999967,3.432022,3.270222,1,1,0,nan,nan,nan,nan,41.430989,6.589865,41.809571,6.652753,edge estimates disagree,675.278988,-529.511874,1204.790862,
skew,closed_loop_initial_baseline,0,1,10,570,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.054362,-1,-3.141593,-0.087230,-0.060286,-46.373712,299374997.703021,299374997.703021,566.584262,573.633925,0.999962,0.999967,3.468121,3.290934,1,1,0,nan,nan,nan,nan,41.253105,6.560316,41.816014,6.653823,edge estimates disagree,364.567233,-495.199648,859.766881,
