stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,1,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999841,3.653750,-0.001345,3.643578,400.789436,401.232069,1,41.145241,44.985882,6.542399,-49.882244,299000000.000000,22750000.000000,42.361427,45.930225,6.744423,-50.935146,299000000.000000,21125000.000000,43.532368,45.470673,6.938932,-53.771606,299000000.000000,21125000.000000,1,0.995121,39.782692,-20.069059,-3.642233,1.001063,0.001063,-0.073633,-56.640992
baseline,baseline,0,1,2,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998955,4.226250,-0.378287,4.238081,383.406524,384.174011,1,41.453972,43.614826,6.593683,-48.268211,299000000.000000,19500000.000000,41.060158,43.841583,6.528265,-51.299351,299000000.000000,21125000.000000,42.884541,43.871063,6.831319,-53.360874,299000000.000000,19500000.000000,1,0.995240,37.653046,-20.165615,-3.859794,1.001941,0.001941,-0.073633,-56.640992
baseline,baseline,0,1,3,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999750,11.870000,-6.240471,11.873436,389.267006,402.918781,1,41.881573,44.911266,6.664713,-51.969479,299000000.000000,26000000.000000,42.366592,45.888184,6.745281,-50.598969,299000000.000000,24375000.000000,44.293892,45.422264,7.065431,-54.960293,299000000.000000,24375000.000000,1,0.996560,35.959133,-20.838556,-5.632965,1.034754,0.034754,-0.073633,-56.640992
baseline,baseline,0,1,4,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999740,13.310000,-10.073160,13.308216,397.049236,398.315417,1,42.848877,46.059322,6.825395,-50.618279,299000000.000000,19500000.000000,41.756283,44.677208,6.643901,-52.437279,299000000.000000,19500000.000000,44.130280,45.431942,7.038253,-53.943916,299000000.000000,19500000.000000,1,0.995315,38.633118,-20.247715,-3.235055,1.002952,0.002952,-0.073633,-56.640992
baseline,baseline,0,1,5,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999797,10.801250,-6.092990,10.823409,396.517590,399.300003,1,41.309437,44.676525,6.569674,-50.423088,299000000.000000,27625000.000000,42.225060,46.552250,6.721771,-50.346760,299000000.000000,22750000.000000,43.351002,45.741817,6.908804,-53.753166,299000000.000000,27625000.000000,1,0.995743,37.106232,-20.604671,-4.730419,1.006766,0.006766,-0.073633,-56.640992
baseline,baseline,0,1,6,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998224,14.376250,-8.436697,14.364386,367.706827,380.902036,1,41.331287,43.888817,6.573304,-50.088425,299000000.000000,19500000.000000,41.888695,44.581947,6.665896,-50.718670,299000000.000000,27625000.000000,43.203056,43.911545,6.884229,-53.785015,299000000.000000,19500000.000000,1,0.996519,34.335629,-20.746647,-5.927689,1.035421,0.035421,-0.073633,-56.640992
baseline,baseline,0,1,7,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998984,5.686250,-0.151510,5.685106,374.385577,390.605561,1,41.698673,44.770393,6.634331,-49.040051,299000000.000000,24375000.000000,41.842827,44.191608,6.658277,-52.150982,299000000.000000,24375000.000000,43.556934,44.552662,6.943013,-52.795517,299000000.000000,24375000.000000,1,0.996194,37.489807,-20.175735,-5.533596,1.043214,0.043214,-0.073633,-56.640992
baseline,baseline,0,1,8,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998279,5.541250,0.268982,5.550376,368.604328,380.896772,1,41.788422,44.189243,6.649240,-49.970291,299000000.000000,26000000.000000,41.841923,44.485451,6.658127,-49.506096,299000000.000000,24375000.000000,43.199612,44.469425,6.883657,-51.370045,299000000.000000,26000000.000000,1,0.996540,33.990711,-20.848331,-5.819359,1.033239,0.033239,-0.073633,-56.640992
baseline,baseline,0,1,9,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999839,16.719999,-11.714863,16.722337,389.283969,404.917148,1,42.080284,44.382431,6.697722,-50.927902,299000000.000000,19500000.000000,40.741043,43.598949,6.475256,-48.474434,299000000.000000,21125000.000000,43.064827,44.074097,6.861267,-53.490444,299000000.000000,21125000.000000,1,0.996342,37.626652,-20.464039,-5.007473,1.039742,0.039742,-0.073633,-56.640992
baseline,baseline,0,1,10,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999881,18.957500,-14.821046,18.960761,401.823119,402.042798,1,42.284882,46.309227,6.731708,-50.983711,299000000.000000,21125000.000000,42.376305,46.486179,6.746895,-51.414749,299000000.000000,21125000.000000,44.061310,46.467789,7.026796,-53.484665,299000000.000000,21125000.000000,1,0.995138,39.813705,-20.074629,-4.139715,1.000114,0.000114,-0.073633,-56.640992
