stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,1,1,1,411,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.945754,-0.054246,0.998334,22.574804,0.628934,1,FIT_QUALITY,42.074295,6.696727,
gain,calibration,1,1,2,412,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.993447,-0.006553,0.999836,11.978463,0.551093,1,FIT_QUALITY,41.292686,6.566892,
gain,calibration,1,1,3,413,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.978158,-0.021842,0.999496,12.771531,0.584610,1,FIT_QUALITY,42.093510,6.699919,
gain,calibration,1,1,4,414,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.973664,-0.026336,0.999378,14.118508,0.416181,1,FIT_QUALITY,42.081333,6.697896,
gain,calibration,1,1,5,415,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.999774,-0.000226,0.999868,11.976463,0.540167,1,FIT_QUALITY,41.631851,6.623231,
gain,calibration,1,1,6,416,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.959819,-0.040181,0.998881,18.569984,0.510191,1,NONE,42.535851,6.773397,
gain,calibration,1,1,7,417,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.997844,-0.002156,0.999786,8.672351,0.395680,1,FIT_QUALITY,41.628071,6.622603,
gain,calibration,1,1,8,418,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.984126,-0.015874,0.999709,12.383422,0.460092,1,FIT_QUALITY,41.409115,6.586232,
gain,calibration,1,1,9,419,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.998352,-0.001648,0.999780,9.497786,0.510393,1,FIT_QUALITY,40.387436,6.416518,
gain,calibration,1,1,10,420,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.989109,-0.010891,0.999763,10.892435,0.500759,1,FIT_QUALITY,41.935272,6.673634,
gain,calibration,1,1,11,421,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.988874,-0.011126,0.999795,9.554741,0.586368,1,FIT_QUALITY,41.786377,6.648900,
gain,calibration,1,1,12,422,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.986482,-0.013518,0.999763,10.508200,0.438204,1,FIT_QUALITY,42.035702,6.690316,
gain,calibration,1,1,13,423,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.977577,-0.022423,0.999663,10.439946,0.491402,1,FIT_QUALITY,41.495693,6.600614,
gain,calibration,1,1,14,424,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.996099,-0.003901,0.999886,7.011278,0.501350,1,FIT_QUALITY,41.801022,6.651333,
gain,calibration,1,1,15,425,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.951237,-0.048763,0.998547,21.724817,0.687511,1,FIT_QUALITY,41.292942,6.566934,
gain,calibration,1,1,16,426,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.991173,-0.008827,0.999830,7.653020,0.320608,1,FIT_QUALITY,42.917828,6.836849,
gain,calibration,1,1,17,427,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.999001,-0.000999,0.999843,7.188697,0.420574,1,FIT_QUALITY,41.368408,6.579470,
gain,calibration,1,1,18,428,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.995473,-0.004527,0.999860,12.142140,0.197708,1,FIT_QUALITY,41.873428,6.663361,
gain,calibration,1,1,19,429,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.999714,-0.000286,0.999874,6.691477,0.481977,1,FIT_QUALITY,41.859352,6.661022,
gain,calibration,1,1,20,430,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,1.007476,0.007476,0.999878,6.421196,0.475026,1,FIT_QUALITY,42.430313,6.755866,
gain,calibration,1,1,21,431,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.931659,-0.068341,0.997729,25.607420,0.532296,1,FIT_QUALITY,41.631630,6.623195,
gain,calibration,1,1,22,432,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.978524,-0.021476,0.999477,12.901940,0.658512,1,FIT_QUALITY,42.081154,6.697866,
