stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,raw_baseline_global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,final_offset_correction_codes,final_gain_correction,active_polarity,final_delay_register,final_skew_samples,final_skew_ps,controller_iteration,analysis_iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_a_thd_db,raw_a_signal_hz,raw_a_worst_spur_hz,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,raw_b_thd_db,raw_b_signal_hz,raw_b_worst_spur_hz,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_a_thd_db,cal_a_signal_hz,cal_a_worst_spur_hz,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,cal_b_thd_db,cal_b_signal_hz,cal_b_worst_spur_hz,A_correlation,B_correlation,A_RMSE_codes,B_RMSE_codes,raw_ab_correlation,cal_ab_correlation,raw_ab_rmse_codes,cal_ab_rmse_codes,raw_ab_residual_dbc,cal_ab_residual_dbc,raw_offset_mismatch_codes,cal_offset_mismatch_codes,raw_gain_ratio_b_over_a,cal_gain_ratio_b_over_a,raw_gain_mismatch,cal_gain_mismatch,raw_skew_mismatch_ps,cal_skew_mismatch_ps,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,cal_parallel_avg_sndr_db,cal_parallel_avg_sfdr_db,cal_parallel_avg_enob,cal_parallel_avg_thd_db,cal_parallel_avg_signal_hz,cal_parallel_avg_worst_spur_hz,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,valid,rejection_reason
performance,performance,0,1,1,851,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,1,800,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.145241,44.985882,6.542399,-49.882244,299000000.000000,22750000.000000,42.361427,45.930225,6.744423,-50.935146,299000000.000000,21125000.000000,41.363106,44.886692,6.578589,-51.509548,299000000.000000,24375000.000000,41.809734,45.262508,6.652780,-49.121998,299000000.000000,26000000.000000,0.999888,0.999790,17.019949,9.784787,0.995121,0.999869,39.782692,19.009947,-20.069059,-26.674206,-3.642233,-4.119573,1.001063,1.000816,0.001063,0.000816,-56.640992,-6.859250,43.532368,45.470673,6.938932,-53.771606,299000000.000000,21125000.000000,43.230537,45.213497,6.888794,-52.503841,299000000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,2,852,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,2,1600,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.453972,43.614826,6.593683,-48.268211,299000000.000000,19500000.000000,41.060158,43.841583,6.528265,-51.299351,299000000.000000,21125000.000000,41.635944,43.452217,6.623911,-50.953114,299000000.000000,21125000.000000,42.199856,44.404510,6.717584,-50.422344,299000000.000000,21125000.000000,0.998384,0.998871,32.102085,23.122192,0.995240,0.999911,37.653046,15.767645,-20.165615,-27.902096,-3.859794,-7.182073,1.001941,1.005001,0.001941,0.005001,-56.640992,-6.859250,42.884541,43.871063,6.831319,-53.360874,299000000.000000,19500000.000000,43.385883,44.070812,6.914599,-53.422798,299000000.000000,21125000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,3,853,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,3,2400,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.881573,44.911266,6.664713,-51.969479,299000000.000000,26000000.000000,42.366592,45.888184,6.745281,-50.598969,299000000.000000,24375000.000000,41.075764,48.161659,6.530858,-49.267216,299000000.000000,32500000.000000,41.734219,44.896603,6.640236,-49.125591,299000000.000000,24375000.000000,0.998928,0.998452,29.154522,28.073309,0.996560,0.999900,35.959133,17.792528,-20.838556,-26.761486,-5.632965,-5.328617,1.034754,1.008525,0.034754,0.008525,-56.640992,-6.859250,44.293892,45.422264,7.065431,-54.960293,299000000.000000,24375000.000000,43.239853,45.824066,6.890341,-51.596180,299000000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,4,854,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,4,3200,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,42.848877,46.059322,6.825395,-50.618279,299000000.000000,19500000.000000,41.756283,44.677208,6.643901,-52.437279,299000000.000000,19500000.000000,41.348522,43.570637,6.576167,-50.513279,299000000.000000,19500000.000000,41.705723,44.029613,6.635502,-51.568420,299000000.000000,19500000.000000,0.999874,0.999888,21.479967,11.302307,0.995315,0.999888,38.633118,17.247562,-20.247715,-27.610676,-3.235055,-5.857196,1.002952,1.002248,0.002952,0.002248,-56.640992,-6.859250,44.130280,45.431942,7.038253,-53.943916,299000000.000000,19500000.000000,42.861855,44.098614,6.827551,-53.928974,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,5,855,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,5,4000,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.309437,44.676525,6.569674,-50.423088,299000000.000000,27625000.000000,42.225060,46.552250,6.721771,-50.346760,299000000.000000,22750000.000000,41.799931,43.724457,6.651152,-52.563000,299000000.000000,26000000.000000,41.901855,45.910793,6.668083,-49.373528,299000000.000000,26000000.000000,0.999106,0.999437,21.566160,16.327230,0.995743,0.999900,37.106232,18.062014,-20.604671,-26.865591,-4.730419,-5.186007,1.006766,1.009528,0.006766,0.009528,-56.640992,-6.859250,43.351002,45.741817,6.908804,-53.753166,299000000.000000,27625000.000000,43.638500,44.817432,6.956562,-53.296047,299000000.000000,26000000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,6,856,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,6,4800,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.331287,43.888817,6.573304,-50.088425,299000000.000000,19500000.000000,41.888695,44.581947,6.665896,-50.718670,299000000.000000,27625000.000000,41.544579,44.627003,6.608734,-50.300903,299000000.000000,24375000.000000,41.664810,45.512650,6.628706,-48.879810,299000000.000000,24375000.000000,0.999758,0.999861,25.241570,13.236834,0.996519,0.999861,34.335629,17.491907,-20.746647,-27.514172,-5.927689,-5.871118,1.035421,1.000476,0.035421,0.000476,-56.640992,-6.859250,43.203056,43.911545,6.884229,-53.785015,299000000.000000,19500000.000000,43.159153,45.139629,6.876936,-52.167759,299000000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,7,857,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,7,5600,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.698673,44.770393,6.634331,-49.040051,299000000.000000,24375000.000000,41.842827,44.191608,6.658277,-52.150982,299000000.000000,24375000.000000,41.096954,43.884651,6.534378,-50.997597,299000000.000000,19500000.000000,41.627640,43.895550,6.622532,-51.847862,299000000.000000,19500000.000000,0.999550,0.999802,19.481319,10.490954,0.996194,0.999835,37.489807,17.555012,-20.175735,-27.410055,-5.533596,-6.054954,1.043214,0.999188,0.043214,-0.000812,-56.640992,-6.859250,43.556934,44.552662,6.943013,-52.795517,299000000.000000,24375000.000000,43.047478,44.060661,6.858385,-54.192657,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,8,858,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,8,6400,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.788422,44.189243,6.649240,-49.970291,299000000.000000,26000000.000000,41.841923,44.485451,6.658127,-49.506096,299000000.000000,24375000.000000,41.611862,45.127762,6.619911,-50.073158,299000000.000000,22750000.000000,41.771843,44.486832,6.646486,-50.408100,299000000.000000,26000000.000000,0.999509,0.999798,17.068977,10.042722,0.996540,0.999859,33.990711,17.669235,-20.848331,-27.141705,-5.819359,-6.327379,1.033239,1.012034,0.033239,0.012034,-56.640992,-6.859250,43.199612,44.469425,6.883657,-51.370045,299000000.000000,26000000.000000,43.188484,44.842602,6.881808,-52.319469,299000000.000000,22750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,9,859,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,9,7200,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,42.080284,44.382431,6.697722,-50.927902,299000000.000000,19500000.000000,40.741043,43.598949,6.475256,-48.474434,299000000.000000,21125000.000000,41.488174,46.103596,6.599365,-50.328781,299000000.000000,19500000.000000,42.725090,44.806263,6.804832,-51.483257,299000000.000000,22750000.000000,0.998660,0.999162,32.714729,20.795164,0.996342,0.999884,37.626652,16.465136,-20.464039,-27.534279,-5.007473,-7.081257,1.039742,1.009879,0.039742,0.009879,-56.640992,-6.859250,43.064827,44.074097,6.861267,-53.490444,299000000.000000,21125000.000000,44.082512,45.570557,7.030318,-53.390759,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,10,860,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,10,8000,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,42.284882,46.309227,6.731708,-50.983711,299000000.000000,21125000.000000,42.376305,46.486179,6.746895,-51.414749,299000000.000000,21125000.000000,41.658669,47.490944,6.627686,-50.500687,299000000.000000,29250000.000000,41.540462,44.141403,6.608050,-52.177284,299000000.000000,21125000.000000,0.999902,0.999795,12.489895,10.556558,0.995138,0.999865,39.813705,18.427425,-20.074629,-26.795357,-4.139715,-5.360858,1.000114,1.011488,0.000114,0.011488,-56.640992,-6.859250,44.061310,46.467789,7.026796,-53.484665,299000000.000000,21125000.000000,43.294533,45.269909,6.899425,-54.083225,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,11,861,21,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,11,8800,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,42.200047,46.083771,6.717616,-51.388016,299000000.000000,24375000.000000,41.565960,45.208199,6.612286,-50.005116,299000000.000000,24375000.000000,42.405239,48.522945,6.751701,-50.482498,299000000.000000,27625000.000000,41.961948,45.195332,6.678065,-51.502033,299000000.000000,21125000.000000,0.999565,0.999824,30.524050,14.133595,0.995097,0.999846,39.782486,18.378002,-20.056110,-26.997252,-3.240040,-5.038022,1.000577,0.999075,0.000577,-0.000925,-56.640992,-6.859250,43.801086,45.792763,6.983570,-53.851082,299000000.000000,24375000.000000,44.117905,46.233128,7.036197,-53.578075,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,12,862,22,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,12,9600,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.836704,47.673508,6.657260,-50.030552,299000000.000000,34125000.000000,42.293755,47.623207,6.733182,-50.373253,299000000.000000,22750000.000000,41.915802,44.166748,6.670399,-52.769127,299000000.000000,19500000.000000,41.510906,44.144421,6.603141,-51.422546,299000000.000000,19500000.000000,0.999905,0.999841,19.598850,8.793672,0.996565,0.999916,34.717552,16.629339,-21.232643,-27.789675,-5.027602,-6.484256,1.022701,1.007786,0.022701,0.007786,-56.640992,-6.859250,43.876873,46.280724,6.996159,-53.007900,299000000.000000,22750000.000000,42.907146,44.287506,6.835074,-54.022778,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,13,863,23,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.013130,1.000000,32,-0.008917,-6.859250,0,13,10400,0,6,0,-10.822922,-10.822922,1.013130,1.013130,1.000000,nan,nan,-6.859250,41.527225,45.291286,6.605852,-51.208836,299000000.000000,26000000.000000,41.884258,45.561089,6.665160,-51.816021,299000000.000000,24375000.000000,41.146469,43.156967,6.542603,-48.840374,299000000.000000,19500000.000000,41.394375,43.519844,6.583784,-51.232597,299000000.000000,21125000.000000,0.999844,0.999728,20.713923,9.719027,0.994969,0.999858,39.736004,18.807938,-19.958569,-26.590227,-2.290370,-4.936814,0.999669,1.010914,-0.000331,0.010914,-56.640992,-6.859250,43.272060,45.497189,6.895691,-54.073826,299000000.000000,24375000.000000,42.810905,43.518848,6.819088,-52.608837,299000000.000000,19500000.000000,nan,nan,nan,nan,1,none
