stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status,sndr_db,enob_bits
gain,1,30,0,0.994195,-0.005805,1.000000,1.000000,0.000000,0.010000,1,2,0.999468,0.461679,WARNING,5,FIT_QUALITY,PASS,40.288525,6.400087,
gain,2,30,0,0.978289,-0.021711,1.000000,1.003329,0.003329,0.010000,0,2,0.999071,0.446831,WARNING,6,FIT_QUALITY,RUNNING,40.234562,6.391123,
gain,3,30,0,0.986970,-0.013030,1.003329,1.005316,0.001987,0.010000,0,2,0.999231,0.437250,WARNING,6,FIT_QUALITY,RUNNING,40.072819,6.364256,
gain,4,30,0,0.990274,-0.009726,1.005316,1.005316,0.000000,0.010000,1,2,0.999205,0.460255,WARNING,6,FIT_QUALITY,PASS,40.144802,6.376214,
gain,5,30,0,0.988751,-0.011249,1.005316,1.007031,0.001716,0.010000,0,2,0.999206,0.421870,WARNING,6,FIT_QUALITY,RUNNING,40.122066,6.372437,
gain,6,30,0,0.998992,-0.001008,1.007031,1.007031,0.000000,0.010000,1,2,0.999403,0.481582,WARNING,6,FIT_QUALITY,PASS,40.253162,6.394214,
gain,7,30,0,0.989275,-0.010725,1.007031,1.008669,0.001638,0.010000,0,2,0.999187,0.444788,WARNING,6,NONE,RUNNING,40.138603,6.375185,
gain,8,30,0,0.984476,-0.015524,1.008669,1.011055,0.002386,0.010000,0,2,0.998987,0.420585,WARNING,6,FIT_QUALITY,RUNNING,40.066700,6.363241,
gain,9,30,0,0.992712,-0.007288,1.011055,1.011055,0.000000,0.010000,1,2,0.999170,0.424146,WARNING,6,FIT_QUALITY,PASS,40.254879,6.394499,
gain,10,30,0,0.999488,-0.000512,1.011055,1.011055,0.000000,0.010000,2,2,0.999386,0.456139,WARNING,6,FIT_QUALITY,PASS,40.266247,6.396386,
