stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,1,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998578,-1.052500,3.809027,-1.055255,384.648367,368.831089,1,33.618275,32.532589,5.292072,-52.241665,199875000.000000,24375000.000000,33.536106,32.475040,5.278423,-50.244846,199875000.000000,24375000.000000,33.765583,32.484665,5.316542,-54.016697,199875000.000000,24375000.000000,1,0.985229,66.693359,-15.040851,-2.753772,0.958922,-0.041078,-0.193471,-148.823750
baseline,baseline,0,1,2,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999475,7.988750,-4.196208,7.986083,396.690737,377.818965,1,33.686333,32.896656,5.303378,-50.929382,199875000.000000,19500000.000000,33.368008,32.449162,5.250500,-49.068447,199875000.000000,19500000.000000,33.756348,32.643814,5.315008,-52.901283,199875000.000000,19500000.000000,1,0.979234,81.214172,-13.568701,-3.789874,0.952267,-0.047733,-0.193471,-148.823750
baseline,baseline,0,1,3,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998719,11.327500,-7.945567,11.327760,394.063829,377.754553,1,33.437916,33.061707,5.262112,-52.692585,199875000.000000,22750000.000000,33.363571,32.431374,5.249763,-51.045490,199875000.000000,22750000.000000,33.585392,32.726303,5.286610,-55.652153,199875000.000000,22750000.000000,1,0.984583,69.766563,-14.855904,-3.382193,0.958376,-0.041624,-0.193471,-148.823750
baseline,baseline,0,1,4,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998395,13.600000,-8.854785,13.596266,383.429427,365.093990,1,34.269974,32.940590,5.400328,-52.282581,199875000.000000,24375000.000000,33.246525,32.409359,5.230319,-51.963406,199875000.000000,24375000.000000,33.931271,32.644875,5.344065,-55.151764,199875000.000000,24375000.000000,1,0.978111,80.540520,-13.341743,-4.741481,0.951774,-0.048226,-0.193471,-148.823750
baseline,baseline,0,1,5,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998861,5.627500,-2.520889,5.626390,390.322549,372.932716,1,33.775791,32.787304,5.318238,-50.240662,199875000.000000,24375000.000000,33.596313,32.370049,5.288424,-52.230938,199875000.000000,24375000.000000,33.892414,32.557400,5.337611,-53.810703,199875000.000000,24375000.000000,1,0.982675,73.187355,-14.345762,-3.105501,0.955359,-0.044641,-0.193471,-148.823750
baseline,baseline,0,1,6,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998654,13.046250,-9.953778,13.057969,386.624389,371.264805,1,34.018661,33.126469,5.358582,-50.932449,199875000.000000,24375000.000000,33.578403,32.566891,5.285449,-50.732235,199875000.000000,26000000.000000,34.008965,32.767418,5.356971,-53.732197,199875000.000000,24375000.000000,1,0.985644,66.075615,-15.168397,-3.104191,0.959997,-0.040003,-0.193471,-148.823750
baseline,baseline,0,1,7,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998753,5.467500,-1.436622,5.472069,396.712053,379.979257,1,33.702057,33.203339,5.305989,-50.598549,199875000.000000,22750000.000000,33.428314,32.723728,5.260517,-51.873466,199875000.000000,22750000.000000,33.738216,32.935825,5.311996,-54.394642,199875000.000000,22750000.000000,1,0.984378,70.758537,-14.790347,-4.035446,0.957728,-0.042272,-0.193471,-148.823750
baseline,baseline,0,1,8,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.997977,11.363750,-9.516685,11.372884,386.709648,370.230814,1,33.240837,32.290340,5.229375,-52.667423,199875000.000000,19500000.000000,33.062000,32.182842,5.199668,-51.987488,199875000.000000,19500000.000000,33.306572,32.213848,5.240294,-53.923004,199875000.000000,19500000.000000,1,0.984147,69.374367,-14.735378,-1.856199,0.957225,-0.042775,-0.193471,-148.823750
baseline,baseline,0,1,9,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998620,0.192500,2.444768,0.185878,396.464661,377.159015,1,34.115784,32.771622,5.374715,-51.238255,199875000.000000,24375000.000000,33.438522,32.437038,5.262213,-50.740242,199875000.000000,24375000.000000,33.984665,32.565529,5.352935,-52.614597,199875000.000000,24375000.000000,1,0.978562,82.404297,-13.433615,-2.630646,0.951323,-0.048677,-0.193471,-148.823750
baseline,baseline,0,1,10,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998456,6.635000,-2.752534,6.633259,393.458845,374.000201,1,33.589600,32.657955,5.287309,-51.168797,199875000.000000,19500000.000000,33.121288,32.197651,5.209517,-49.016010,199875000.000000,19500000.000000,33.543503,32.392696,5.279652,-52.751213,199875000.000000,19500000.000000,1,0.975063,87.940399,-12.798766,-3.880725,0.950418,-0.049582,-0.193471,-148.823750
baseline,baseline,0,1,11,21,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998629,1.295000,3.094550,1.291547,390.836422,371.259412,1,33.594288,32.840958,5.288088,-52.406342,199875000.000000,22750000.000000,33.280033,32.596996,5.235886,-51.153908,199875000.000000,22750000.000000,33.612511,32.673340,5.291115,-55.074780,199875000.000000,22750000.000000,1,0.975819,86.134651,-12.918731,-4.386098,0.949934,-0.050066,-0.193471,-148.823750
baseline,baseline,0,1,12,22,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998895,12.440000,-8.541290,12.440100,394.300338,375.133163,1,33.436398,32.618973,5.261860,-50.875534,199875000.000000,19500000.000000,33.222916,32.500217,5.226398,-49.846352,199875000.000000,19500000.000000,33.545334,32.520432,5.279956,-53.710400,199875000.000000,19500000.000000,1,0.977765,83.424370,-13.276318,-3.898809,0.951089,-0.048911,-0.193471,-148.823750
baseline,baseline,0,1,13,23,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998722,4.727500,-1.901800,4.729769,393.091184,374.405521,1,33.170803,32.445393,5.217741,-51.435993,199875000.000000,19500000.000000,32.808247,32.121387,5.157516,-49.657104,199875000.000000,19500000.000000,33.142971,32.250397,5.213118,-54.222103,199875000.000000,19500000.000000,1,0.979764,79.461166,-13.680022,-2.827969,0.952400,-0.047600,-0.193471,-148.823750
baseline,baseline,0,1,14,24,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998716,7.060000,-3.217800,7.060564,395.905314,376.429639,1,34.100292,32.881897,5.372142,-52.251995,199875000.000000,24375000.000000,33.165668,32.197510,5.216888,-51.764793,199875000.000000,24375000.000000,33.827118,32.499279,5.326764,-54.914780,199875000.000000,24375000.000000,1,0.977280,84.655640,-13.184280,-3.842764,0.950671,-0.049329,-0.193471,-148.823750
baseline,baseline,0,1,15,25,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998668,10.222500,-5.741702,10.226535,388.741927,369.387276,1,33.753750,33.066471,5.314576,-51.224518,199875000.000000,22750000.000000,32.995571,31.973911,5.188633,-51.622162,199875000.000000,22750000.000000,33.574322,32.479511,5.284771,-53.753525,199875000.000000,22750000.000000,1,0.976339,84.796570,-13.007451,-4.484834,0.949951,-0.050049,-0.193471,-148.823750
baseline,baseline,0,1,16,26,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998723,18.693750,-13.872089,18.686512,396.901415,378.815768,1,33.211540,32.533318,5.224508,-50.613022,199875000.000000,22750000.000000,33.639660,33.071754,5.295625,-51.543308,199875000.000000,22750000.000000,33.606586,32.757977,5.290131,-53.352493,199875000.000000,22750000.000000,1,0.980710,78.411118,-13.880455,-4.814423,0.953854,-0.046146,-0.193471,-148.823750
baseline,baseline,0,1,17,27,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998470,2.101250,-0.217020,2.111233,388.147876,369.889608,1,33.896236,32.649956,5.338245,-51.224735,199875000.000000,24375000.000000,33.499722,32.144947,5.272379,-53.037403,199875000.000000,24375000.000000,33.865871,32.361103,5.333201,-54.299622,199875000.000000,24375000.000000,1,0.980680,76.711098,-13.878501,-1.894213,0.952945,-0.047055,-0.193471,-148.823750
baseline,baseline,0,1,18,28,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998990,12.293750,-8.864034,12.287963,395.806751,379.067212,1,33.715916,32.738148,5.308291,-52.990067,199875000.000000,19500000.000000,33.118908,32.272705,5.209121,-50.993526,199875000.000000,19500000.000000,33.563316,32.490303,5.282943,-55.093040,199875000.000000,19500000.000000,1,0.984121,71.108498,-14.724298,-3.423929,0.957445,-0.042555,-0.193471,-148.823750
baseline,baseline,0,1,19,29,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998707,2.036250,0.833089,2.041073,393.284426,373.678181,1,33.801128,33.054420,5.322447,-50.035477,199875000.000000,19500000.000000,33.084808,32.368759,5.203456,-50.258549,199875000.000000,19500000.000000,33.599915,32.674057,5.289022,-52.968498,199875000.000000,19500000.000000,1,0.975990,86.311905,-12.956235,-2.874162,0.950135,-0.049865,-0.193471,-148.823750
baseline,baseline,0,1,20,30,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998698,4.842500,-2.191470,4.842153,394.678948,376.979738,1,33.939251,33.087086,5.345391,-52.294785,199875000.000000,22750000.000000,33.683800,32.813637,5.302957,-49.633213,199875000.000000,22750000.000000,33.960480,32.919098,5.348917,-53.513779,199875000.000000,22750000.000000,1,0.982328,74.694664,-14.263986,-2.650683,0.955091,-0.044909,-0.193471,-148.823750
baseline,baseline,0,1,21,31,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998915,2.605000,1.070846,2.612950,398.641521,378.726109,1,34.186825,32.834530,5.386516,-52.101227,199875000.000000,24375000.000000,33.538681,32.607521,5.278851,-51.632839,199875000.000000,24375000.000000,34.044636,32.675900,5.362896,-54.450516,199875000.000000,24375000.000000,1,0.975201,88.873711,-12.819198,-3.683796,0.950023,-0.049977,-0.193471,-148.823750
baseline,baseline,0,1,22,32,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998461,7.977500,-3.588403,7.974355,378.807233,362.904859,1,33.158863,32.044674,5.215758,-53.402821,199875000.000000,19500000.000000,32.898579,31.935438,5.172521,-51.965286,199875000.000000,19500000.000000,33.167984,31.966042,5.217273,-56.590431,199875000.000000,19500000.000000,1,0.984270,67.807564,-14.759334,-4.385952,0.957832,-0.042168,-0.193471,-148.823750
baseline,baseline,0,1,23,33,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998703,1.500000,2.256488,1.499221,395.921668,379.633610,1,33.650810,32.862423,5.297477,-51.670376,199875000.000000,19500000.000000,33.192825,32.366562,5.221399,-50.127430,199875000.000000,19500000.000000,33.624050,32.589375,5.293032,-53.966122,199875000.000000,19500000.000000,1,0.985429,68.258865,-15.090283,-3.755709,0.958869,-0.041131,-0.193471,-148.823750
baseline,baseline,0,1,24,34,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998975,-0.495000,3.686597,-0.500638,397.422154,377.608810,1,34.119301,32.914104,5.375299,-51.780163,199875000.000000,24375000.000000,33.606346,32.775860,5.290091,-50.242252,199875000.000000,26000000.000000,34.054989,32.762756,5.364616,-52.556515,199875000.000000,24375000.000000,1,0.976531,86.289284,-13.049281,-3.185959,0.950185,-0.049815,-0.193471,-148.823750
baseline,baseline,0,1,25,35,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998771,9.915000,-8.678197,9.916517,400.526383,384.561772,1,33.696308,33.061523,5.305035,-53.301052,199875000.000000,19500000.000000,33.281441,32.558273,5.236120,-50.470997,199875000.000000,19500000.000000,33.693943,32.787868,5.304642,-55.158424,199875000.000000,19500000.000000,1,0.985575,68.546509,-15.157411,-1.238321,0.960047,-0.039953,-0.193471,-148.823750
baseline,baseline,0,1,26,36,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999272,4.303750,-1.833205,4.301942,388.572121,372.582748,1,33.399326,32.751114,5.255702,-49.326664,199875000.000000,19500000.000000,33.455482,32.534828,5.265030,-50.733791,199875000.000000,19500000.000000,33.651871,32.628529,5.297653,-53.033249,199875000.000000,19500000.000000,1,0.985207,67.419800,-15.034699,-2.468737,0.958798,-0.041202,-0.193471,-148.823750
baseline,baseline,0,1,27,37,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998421,7.141250,-1.883974,7.136869,383.769744,365.035714,1,33.713745,32.672993,5.307931,-53.150536,199875000.000000,22750000.000000,33.401001,32.642197,5.255980,-53.095528,199875000.000000,22750000.000000,33.696213,32.622887,5.305019,-56.444336,199875000.000000,22750000.000000,1,0.977518,81.723465,-13.221719,-5.252894,0.951014,-0.048986,-0.193471,-148.823750
baseline,baseline,0,1,28,38,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998810,15.091250,-11.374612,15.109579,386.369441,369.495741,1,33.369514,32.736980,5.250750,-51.502388,199875000.000000,19500000.000000,32.867111,32.162228,5.167294,-51.889339,199875000.000000,19500000.000000,33.296291,32.428074,5.238586,-54.884892,199875000.000000,19500000.000000,1,0.983178,71.417412,-14.468930,-3.734967,0.955942,-0.044058,-0.193471,-148.823750
baseline,baseline,0,1,29,39,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999004,12.353750,-6.322900,12.348156,397.842915,378.213974,1,33.952423,32.910679,5.347579,-50.516247,199875000.000000,24375000.000000,33.525604,32.526546,5.276679,-51.473442,199875000.000000,24375000.000000,33.896656,32.680767,5.338315,-53.315533,199875000.000000,24375000.000000,1,0.976044,87.362251,-12.950798,-6.025256,0.950275,-0.049725,-0.193471,-148.823750
baseline,baseline,0,1,30,40,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998652,5.691250,-2.247342,5.690772,394.797732,378.383323,1,33.331028,32.732887,5.244357,-52.460949,199875000.000000,19500000.000000,33.416382,32.498169,5.258535,-51.952068,199875000.000000,19500000.000000,33.551689,32.603313,5.281012,-55.527603,199875000.000000,19500000.000000,1,0.984242,70.638489,-14.765610,-3.443430,0.958330,-0.041670,-0.193471,-148.823750
