stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,raw_baseline_global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,final_offset_correction_codes,final_gain_correction,active_polarity,final_delay_register,final_skew_samples,final_skew_ps,controller_iteration,analysis_iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_a_thd_db,raw_a_signal_hz,raw_a_worst_spur_hz,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,raw_b_thd_db,raw_b_signal_hz,raw_b_worst_spur_hz,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_a_thd_db,cal_a_signal_hz,cal_a_worst_spur_hz,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,cal_b_thd_db,cal_b_signal_hz,cal_b_worst_spur_hz,A_correlation,B_correlation,A_RMSE_codes,B_RMSE_codes,raw_ab_correlation,cal_ab_correlation,raw_ab_rmse_codes,cal_ab_rmse_codes,raw_ab_residual_dbc,cal_ab_residual_dbc,raw_offset_mismatch_codes,cal_offset_mismatch_codes,raw_gain_ratio_b_over_a,cal_gain_ratio_b_over_a,raw_gain_mismatch,cal_gain_mismatch,raw_skew_mismatch_ps,cal_skew_mismatch_ps,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,cal_parallel_avg_sndr_db,cal_parallel_avg_sfdr_db,cal_parallel_avg_enob,cal_parallel_avg_thd_db,cal_parallel_avg_signal_hz,cal_parallel_avg_worst_spur_hz,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,valid,rejection_reason
performance,performance,0,1,1,611,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,1,800,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.618275,32.532589,5.292072,-52.241665,199875000.000000,24375000.000000,33.536106,32.475040,5.278423,-50.244846,199875000.000000,24375000.000000,33.426674,32.858322,5.260245,-52.172443,199875000.000000,19500000.000000,33.186943,32.313931,5.220422,-50.379807,199875000.000000,19500000.000000,0.998663,0.998665,31.638231,26.359100,0.985229,0.999943,66.693359,15.341736,-15.040851,-28.116091,-2.753772,-3.858803,0.958922,0.988547,-0.041078,-0.011453,-148.823750,0.672719,33.765583,32.484665,5.316542,-54.016697,199875000.000000,24375000.000000,33.551601,32.590034,5.280997,-54.188629,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,2,612,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,2,1600,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.686333,32.896656,5.303378,-50.929382,199875000.000000,19500000.000000,33.368008,32.449162,5.250500,-49.068447,199875000.000000,19500000.000000,33.805618,32.755539,5.323193,-49.203819,199875000.000000,24375000.000000,34.076210,32.975384,5.368142,-51.459782,199875000.000000,24375000.000000,0.998731,0.998696,34.097881,26.732368,0.979234,0.999945,81.214172,14.580622,-13.568701,-28.576115,-3.789874,-4.763760,0.952267,0.987919,-0.047733,-0.012081,-148.823750,0.672719,33.756348,32.643814,5.315008,-52.901283,199875000.000000,19500000.000000,34.210999,32.871822,5.390532,-52.749802,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,3,613,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,3,2400,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.437916,33.061707,5.262112,-52.692585,199875000.000000,22750000.000000,33.363571,32.431374,5.249763,-51.045490,199875000.000000,22750000.000000,33.248997,32.458534,5.230731,-50.683258,199875000.000000,19500000.000000,33.060261,32.585999,5.199379,-49.181988,199875000.000000,19500000.000000,0.998761,0.998750,36.380009,27.737881,0.984583,0.999946,69.766563,14.250217,-14.855904,-28.788235,-3.382193,-5.074365,0.958376,0.988264,-0.041624,-0.011736,-148.823750,0.672719,33.585392,32.726303,5.286610,-55.652153,199875000.000000,22750000.000000,33.405903,32.535072,5.256794,-53.160427,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,4,614,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,4,3200,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,34.269974,32.940590,5.400328,-52.282581,199875000.000000,24375000.000000,33.246525,32.409359,5.230319,-51.963406,199875000.000000,24375000.000000,33.529411,32.904953,5.277311,-51.409588,199875000.000000,22750000.000000,33.328621,32.599854,5.243957,-51.672680,199875000.000000,22750000.000000,0.998461,0.998459,27.576683,22.276567,0.978111,0.999956,80.540520,14.947785,-13.341743,-28.128767,-4.741481,-4.151189,0.951774,0.988055,-0.048226,-0.011945,-148.823750,0.672719,33.931271,32.644875,5.344065,-55.151764,199875000.000000,24375000.000000,33.650951,32.760017,5.297500,-56.443241,199875000.000000,22750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,5,615,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,5,4000,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.775791,32.787304,5.318238,-50.240662,199875000.000000,24375000.000000,33.596313,32.370049,5.288424,-52.230938,199875000.000000,24375000.000000,33.737965,32.654747,5.311954,-51.452419,199875000.000000,24375000.000000,33.704933,32.437431,5.306467,-52.213810,199875000.000000,24375000.000000,0.998706,0.998757,22.311451,19.809626,0.982675,0.999950,73.187355,14.515586,-14.345762,-28.294935,-3.105501,-4.720771,0.955359,0.987597,-0.044641,-0.012403,-148.823750,0.672719,33.892414,32.557400,5.337611,-53.810703,199875000.000000,24375000.000000,33.932320,32.549175,5.344239,-54.664963,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,6,616,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,6,4800,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,34.018661,33.126469,5.358582,-50.932449,199875000.000000,24375000.000000,33.578403,32.566891,5.285449,-50.732235,199875000.000000,26000000.000000,33.299942,32.416931,5.239193,-51.726757,199875000.000000,19500000.000000,33.090839,31.895658,5.204458,-52.130093,199875000.000000,19500000.000000,0.998497,0.998453,23.745275,20.852976,0.985644,0.999956,66.075615,15.442487,-15.168397,-27.659571,-3.104191,-3.635431,0.959997,0.987488,-0.040003,-0.012512,-148.823750,0.672719,34.008965,32.767418,5.356971,-53.732197,199875000.000000,24375000.000000,33.350136,32.162365,5.247531,-54.009136,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,7,617,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,7,5600,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.702057,33.203339,5.305989,-50.598549,199875000.000000,22750000.000000,33.428314,32.723728,5.260517,-51.873466,199875000.000000,22750000.000000,33.410400,32.585381,5.257542,-52.273758,199875000.000000,22750000.000000,33.273888,32.697071,5.234865,-53.474018,199875000.000000,22750000.000000,0.998480,0.998528,28.593868,20.875021,0.984378,0.999956,70.758537,14.846889,-14.790347,-28.015184,-4.035446,-4.164609,0.957728,0.988395,-0.042272,-0.011605,-148.823750,0.672719,33.738216,32.935825,5.311996,-54.394642,199875000.000000,22750000.000000,33.530392,32.655937,5.277473,-55.435310,199875000.000000,22750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,8,618,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,8,6400,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.240837,32.290340,5.229375,-52.667423,199875000.000000,19500000.000000,33.062000,32.182842,5.199668,-51.987488,199875000.000000,19500000.000000,33.356819,32.511723,5.248641,-52.801182,199875000.000000,19500000.000000,32.927204,32.130852,5.177277,-51.299053,199875000.000000,19500000.000000,0.998612,0.998614,33.260502,25.402395,0.984147,0.999946,69.374367,14.791444,-14.735378,-28.389994,-1.856199,-4.554663,0.957225,0.987485,-0.042775,-0.012515,-148.823750,0.672719,33.306572,32.213848,5.240294,-53.923004,199875000.000000,19500000.000000,33.355240,32.326874,5.248379,-55.090439,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,9,619,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,9,7200,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,34.115784,32.771622,5.374715,-51.238255,199875000.000000,24375000.000000,33.438522,32.437038,5.262213,-50.740242,199875000.000000,24375000.000000,33.833878,33.139233,5.327887,-51.149635,199875000.000000,22750000.000000,33.261909,32.775131,5.232875,-49.292290,199875000.000000,22750000.000000,0.998603,0.998579,35.677982,27.916697,0.978562,0.999948,82.404297,14.791713,-13.433615,-28.458864,-2.630646,-4.391413,0.951323,0.988745,-0.048677,-0.011255,-148.823750,0.672719,33.984665,32.565529,5.352935,-52.614597,199875000.000000,24375000.000000,33.767632,32.965351,5.316883,-52.484840,199875000.000000,22750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,10,620,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,10,8000,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.589600,32.657955,5.287309,-51.168797,199875000.000000,19500000.000000,33.121288,32.197651,5.209517,-49.016010,199875000.000000,19500000.000000,33.545555,32.812336,5.279993,-50.461407,199875000.000000,19500000.000000,33.193020,32.563198,5.221432,-51.858772,199875000.000000,21125000.000000,0.998661,0.998699,35.773205,27.145926,0.975063,0.999944,87.940399,14.309023,-12.798766,-28.728788,-3.880725,-4.996321,0.950418,0.988428,-0.049582,-0.011572,-148.823750,0.672719,33.543503,32.392696,5.279652,-52.751213,199875000.000000,19500000.000000,33.615925,32.680344,5.291682,-54.158710,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
