stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,1,1,1,531,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.984326,-0.015674,0.998429,21.490042,0.388587,1,FIT_QUALITY,33.762959,5.316106,
gain,calibration,1,1,2,532,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009885,0.009885,0.999062,16.623222,0.485983,1,FIT_QUALITY,33.901154,5.339062,
gain,calibration,1,1,3,533,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011739,0.011739,0.998851,18.378445,0.432578,1,FIT_QUALITY,33.337955,5.245508,
gain,calibration,1,1,4,534,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009144,0.009144,0.998700,20.989122,0.436952,1,FIT_QUALITY,33.843849,5.329543,
gain,calibration,1,1,5,535,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011656,0.011656,0.998758,19.285530,0.471967,1,FIT_QUALITY,32.982655,5.186488,
gain,calibration,1,1,6,536,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.991761,-0.008239,0.998825,18.331787,0.415911,1,FIT_QUALITY,32.982185,5.186409,
gain,calibration,1,1,7,537,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.997779,-0.002221,0.998752,19.274540,0.469531,1,FIT_QUALITY,33.804428,5.322995,
gain,calibration,1,1,8,538,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009183,0.009183,0.998649,19.927971,0.441563,1,FIT_QUALITY,33.297367,5.238765,
gain,calibration,1,1,9,539,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.001971,0.001971,0.998711,19.701157,0.439390,1,FIT_QUALITY,33.330135,5.244208,
gain,calibration,1,1,10,540,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.981251,-0.018749,0.998850,17.902355,0.473654,1,FIT_QUALITY,33.722164,5.309330,
gain,calibration,1,1,11,541,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.981945,-0.018055,0.998723,18.816999,0.483549,1,FIT_QUALITY,33.877293,5.335099,
gain,calibration,1,1,12,542,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009884,0.009884,0.998700,19.512989,0.456791,1,FIT_QUALITY,33.155972,5.215278,
gain,calibration,1,1,13,543,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009561,0.009561,0.998753,19.176254,0.469928,1,FIT_QUALITY,33.418095,5.258820,
gain,calibration,1,1,14,544,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.010700,0.010700,0.998573,21.260359,0.437277,1,FIT_QUALITY,32.958305,5.182443,
gain,calibration,1,1,15,545,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.012463,0.012463,0.998848,18.463009,0.475329,1,FIT_QUALITY,33.357082,5.248685,
gain,calibration,1,1,16,546,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.980785,-0.019215,0.998617,21.634785,0.448800,1,FIT_QUALITY,33.104332,5.206700,
gain,calibration,1,1,17,547,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.013857,0.013857,0.998687,20.734463,0.462561,1,FIT_QUALITY,33.933292,5.344401,
gain,calibration,1,1,18,548,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.980374,-0.019626,0.998751,19.432558,0.423084,1,FIT_QUALITY,34.074947,5.367932,
gain,calibration,1,1,19,549,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008773,0.008773,0.998614,21.097996,0.456258,1,FIT_QUALITY,33.333351,5.244743,
gain,calibration,1,1,20,550,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.997680,-0.002320,0.998703,22.333590,0.419881,1,FIT_QUALITY,33.894985,5.338037,
gain,calibration,1,1,21,551,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011108,0.011108,0.998778,19.400530,0.448095,1,FIT_QUALITY,33.561729,5.282679,
gain,calibration,1,1,22,552,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.013373,0.013373,0.998749,19.239578,0.435327,1,FIT_QUALITY,33.855194,5.331428,
gain,calibration,1,1,23,553,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.010604,0.010604,0.998261,22.806433,0.442956,1,FIT_QUALITY,33.295097,5.238388,
gain,calibration,1,1,24,554,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.012997,0.012997,0.998733,19.967007,0.467138,1,FIT_QUALITY,33.258556,5.232318,
gain,calibration,1,1,25,555,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.983151,-0.016849,0.998678,20.641886,0.476366,1,FIT_QUALITY,33.222569,5.226340,
gain,calibration,1,1,26,556,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.983554,-0.016446,0.998626,19.646870,0.494063,1,FIT_QUALITY,33.166386,5.217008,
gain,calibration,1,1,27,557,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.010094,0.010094,0.999017,21.416586,0.489371,1,FIT_QUALITY,34.135258,5.377950,
gain,calibration,1,1,28,558,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.007213,0.007213,0.998872,19.107214,0.462382,1,FIT_QUALITY,33.558449,5.282135,
gain,calibration,1,1,29,559,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011466,0.011466,0.999177,17.338554,0.439187,1,FIT_QUALITY,33.291893,5.237856,
gain,calibration,1,1,30,560,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.007453,0.007453,0.998607,20.272783,0.481504,1,FIT_QUALITY,33.991249,5.354028,
gain,calibration,2,2,1,561,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008580,0.008580,0.998630,20.010889,0.496183,1,FIT_QUALITY,33.806831,5.323394,
gain,calibration,2,2,2,562,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.014767,0.014767,0.998755,20.678879,0.449042,1,FIT_QUALITY,33.603477,5.289614,
gain,calibration,2,2,3,563,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008308,0.008308,0.998668,21.787071,0.414433,1,FIT_QUALITY,33.951210,5.347377,
gain,calibration,2,2,4,564,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.013796,0.013796,0.998604,20.346340,0.435309,1,FIT_QUALITY,33.353138,5.248030,
gain,calibration,2,2,5,565,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.003318,0.003318,0.998312,23.080217,0.418459,1,FIT_QUALITY,33.827976,5.326907,
gain,calibration,2,2,6,566,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008817,0.008817,0.998763,20.064919,0.458437,1,FIT_QUALITY,33.514610,5.274852,
gain,calibration,2,2,7,567,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009654,0.009654,0.998739,19.501799,0.459701,1,FIT_QUALITY,33.642597,5.296113,
gain,calibration,2,2,8,568,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008898,0.008898,0.998737,19.804090,0.426624,1,FIT_QUALITY,33.865005,5.333058,
gain,calibration,2,2,9,569,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.990727,-0.009273,0.998712,19.091534,0.521995,1,FIT_QUALITY,33.296410,5.238606,
gain,calibration,2,2,10,570,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011717,0.011717,0.998623,21.029449,0.448045,1,FIT_QUALITY,33.879597,5.335482,
gain,calibration,2,2,11,571,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008384,0.008384,0.998710,20.487066,0.452875,1,FIT_QUALITY,33.484280,5.269814,
gain,calibration,2,2,12,572,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.991575,-0.008425,0.999231,14.736525,0.448485,1,FIT_QUALITY,33.234047,5.228247,
