stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,1,41,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,7.738082,7.734854,0.998798,18.592531,nan,1.000000,33.254951,5.231719,
offset,calibration,1,1,2,42,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,9.686832,9.686923,0.998790,18.875732,nan,1.000000,34.220261,5.392070,
offset,calibration,1,1,3,43,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,17.813082,17.807848,0.998816,18.321621,nan,1.000000,33.633476,5.294597,
offset,calibration,1,1,4,44,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,5.108082,5.107564,0.998631,20.037260,nan,1.000000,33.452579,5.264548,
offset,calibration,1,1,5,45,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,8.028082,8.019820,0.998583,19.837263,nan,1.000000,33.972359,5.350891,
offset,calibration,1,1,6,46,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,7.860582,7.851999,0.998695,19.010744,nan,1.000000,32.647926,5.130885,
offset,calibration,1,1,7,47,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,11.736833,11.737258,0.998731,19.354330,nan,1.000000,33.950359,5.347236,
offset,calibration,1,1,8,48,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,3.238082,3.229212,0.998691,19.023540,nan,1.000000,33.613129,5.291217,
offset,calibration,1,1,9,49,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,9.553082,9.552190,0.998807,18.676136,nan,1.000000,33.093044,5.204824,
offset,calibration,1,1,10,50,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,10.429333,10.428581,0.998784,18.870552,nan,1.000000,33.378487,5.252240,
offset,calibration,1,1,11,51,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,7.340582,7.341446,0.998700,19.617878,nan,1.000000,33.317902,5.242177,
offset,calibration,1,1,12,52,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,10.475582,10.474592,0.998749,19.122318,nan,1.000000,33.142029,5.212962,
offset,calibration,1,1,13,53,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,4.758082,4.749146,0.998641,19.375151,nan,1.000000,33.060863,5.199479,
offset,calibration,1,1,14,54,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,5.854332,5.853785,0.998752,19.131525,nan,1.000000,33.657623,5.298608,
offset,calibration,1,1,15,55,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,6.486832,6.479548,0.998652,19.414537,nan,1.000000,33.186527,5.220353,
offset,calibration,1,1,16,56,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,12.139333,12.138663,0.998769,18.985971,nan,1.000000,33.330734,5.244308,
offset,calibration,1,1,17,57,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,12.769332,12.768449,0.998686,19.608521,nan,1.000000,33.581379,5.285944,
offset,calibration,1,1,18,58,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,6.911832,6.910014,0.998660,19.736956,nan,1.000000,33.528137,5.277099,
offset,calibration,1,1,19,59,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,6.658082,6.658252,0.998669,19.805225,nan,1.000000,33.294636,5.238312,
offset,calibration,1,1,20,60,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,5.008082,5.007569,0.998805,18.721018,nan,1.000000,33.803059,5.322768,
offset,calibration,1,1,21,61,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,14.711832,14.704767,0.998565,20.044825,nan,1.000000,33.123444,5.209874,
offset,calibration,1,1,22,62,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,6.283082,6.280434,0.998774,18.822096,nan,1.000000,33.263733,5.233178,
offset,calibration,1,1,23,63,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,-2.006918,-2.007200,0.998712,19.447241,nan,1.000000,33.329903,5.244170,
offset,calibration,1,1,24,64,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,8.755583,8.745929,0.998423,20.823730,nan,1.000000,33.233250,5.228115,
offset,calibration,1,1,25,65,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,5.505582,5.500144,0.998752,18.799780,nan,1.000000,33.603703,5.289651,
offset,calibration,1,1,26,66,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,10.434332,10.433753,0.998702,19.503405,nan,1.000000,33.715443,5.308213,
offset,calibration,1,1,27,67,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,15.993082,15.987418,0.999101,15.944698,nan,1.000000,33.563240,5.282930,
offset,calibration,1,1,28,68,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,5.441833,5.441235,0.998631,20.033333,nan,1.000000,33.751102,5.314137,
offset,calibration,1,1,29,69,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,7.461833,7.460826,0.998296,22.322655,nan,1.000000,32.982719,5.186498,
offset,calibration,1,1,30,70,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,10.016832,10.013339,0.998803,18.541796,nan,1.000000,33.122154,5.209660,
offset,calibration,2,2,1,71,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,2.443082,2.434443,0.998701,18.962486,8.406374,1.000000,33.286568,5.236971,
offset,calibration,2,2,2,72,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,3.779332,3.770346,0.998517,20.238688,8.406374,1.000000,33.105251,5.206852,
offset,calibration,2,2,3,73,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,6.998082,6.997259,0.998711,19.425343,8.406374,1.000000,33.804893,5.323072,
offset,calibration,2,2,4,74,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,0.708082,0.708208,0.998518,20.899782,8.406374,1.000000,33.104538,5.206734,
offset,calibration,2,2,5,75,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,7.710582,7.711810,0.998597,20.412615,8.406374,1.000000,33.554188,5.281426,
offset,calibration,2,2,6,76,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,15.215582,15.216213,0.998710,19.526611,8.406374,1.000000,33.477669,5.268716,
offset,calibration,2,2,7,77,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,8.899332,8.890313,0.998529,20.154926,8.406374,1.000000,34.024506,5.359553,
offset,calibration,2,2,8,78,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,-4.588168,-4.588525,0.998741,19.223042,8.406374,1.000000,33.642155,5.296039,
offset,calibration,2,2,9,79,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,4.318082,4.318388,0.998720,19.427853,8.406374,1.000000,33.040348,5.196071,
offset,calibration,2,2,10,80,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,5.865582,5.858658,0.998673,19.284317,8.406374,1.000000,33.122246,5.209675,
offset,calibration,2,2,11,81,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,7.606833,7.606559,0.998807,18.716505,8.406374,1.000000,33.846958,5.330060,
offset,calibration,2,2,12,82,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,4.910583,4.911125,0.998400,21.743837,8.406374,1.000000,33.823448,5.326155,
offset,calibration,2,2,13,83,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,7.506832,7.498218,0.998694,19.020830,8.406374,1.000000,32.948242,5.180771,
offset,calibration,2,2,14,84,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,6.489332,6.489132,0.998571,20.494087,8.406374,1.000000,33.362595,5.249600,
offset,calibration,2,2,15,85,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,5.528082,5.522555,0.998751,18.806362,8.406374,1.000000,33.407143,5.257000,
offset,calibration,2,2,16,86,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,4.698082,4.689199,0.998693,19.004105,8.406374,1.000000,33.572105,5.284403,
offset,calibration,2,2,17,87,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,6.278082,6.275061,0.998641,19.786661,8.406374,1.000000,33.426098,5.260149,
offset,calibration,2,2,18,88,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,11.554333,11.554523,0.998696,19.605822,8.406374,1.000000,33.125458,5.210209,
offset,calibration,2,2,19,89,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,3.594332,3.593939,0.998409,21.612310,8.406374,1.000000,33.968105,5.350184,
offset,calibration,2,2,20,90,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,10.258082,10.255754,0.998778,18.810131,8.406374,1.000000,33.575428,5.284955,
offset,calibration,2,2,21,91,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,6.009332,6.000221,0.998604,19.629976,8.406374,1.000000,33.285648,5.236819,
offset,calibration,2,2,22,92,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,2.948082,2.943538,0.998726,19.060650,8.406374,1.000000,33.260174,5.232587,
offset,calibration,2,2,23,93,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,5.485582,5.483103,0.998845,18.279810,8.406374,1.000000,33.779442,5.318844,
offset,calibration,2,2,24,94,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,-0.316918,-0.315837,0.998718,19.497906,8.406374,1.000000,33.620747,5.292483,
offset,calibration,2,2,25,95,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,1.698082,1.698820,0.998647,20.005640,8.406374,1.000000,33.415573,5.258401,
offset,calibration,2,2,26,96,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,15.731833,15.724622,0.998854,17.903526,8.406374,1.000000,33.800591,5.322358,
offset,calibration,2,2,27,97,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,4.768082,4.758941,0.998806,18.147936,8.406374,1.000000,33.489025,5.270602,
offset,calibration,2,2,28,98,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,7.953083,7.951565,0.999066,16.487373,8.406374,1.000000,33.187492,5.220514,
offset,calibration,2,2,29,99,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,7.359333,7.359871,0.998765,19.097841,8.406374,1.000000,33.392033,5.254490,
offset,calibration,2,2,30,100,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,10.349333,10.350054,0.998759,19.162334,8.406374,1.000000,33.831314,5.327461,
offset,calibration,3,3,1,101,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,0.316832,0.316723,0.998776,18.972490,7.467291,1.000000,33.958683,5.348619,
offset,calibration,3,3,2,102,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,4.756832,4.756254,0.998590,20.334055,7.467291,1.000000,33.263958,5.233216,
offset,calibration,3,3,3,103,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,6.559332,6.551459,0.998658,19.331913,7.467291,1.000000,33.005566,5.190293,
offset,calibration,3,3,4,104,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-2.640668,-2.644151,0.998759,18.879564,7.467291,1.000000,33.355877,5.248485,
offset,calibration,3,3,5,105,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.903082,7.903073,0.998682,19.695356,7.467291,1.000000,34.245869,5.396324,
offset,calibration,3,3,6,106,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-1.555668,-1.562083,0.998642,19.546938,7.467291,1.000000,33.082024,5.202994,
offset,calibration,3,3,7,107,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-4.955667,-4.961154,0.998515,20.512140,7.467291,1.000000,33.551559,5.280990,
offset,calibration,3,3,8,108,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-2.413168,-2.422776,0.998813,18.066851,7.467291,1.000000,33.219456,5.225823,
offset,calibration,3,3,9,109,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,5.409332,5.408939,0.998627,20.072855,7.467291,1.000000,33.936550,5.344942,
offset,calibration,3,3,10,110,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-3.150668,-3.156271,0.998555,20.220266,7.467291,1.000000,33.348133,5.247198,
offset,calibration,3,3,11,111,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,8.579332,8.578858,0.998748,19.160559,7.467291,1.000000,33.471226,5.267645,
offset,calibration,3,3,12,112,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,6.321832,6.317618,0.998729,19.053595,7.467291,1.000000,33.523937,5.276402,
offset,calibration,3,3,13,113,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,2.726832,2.726228,0.998931,17.695417,7.467291,1.000000,33.895538,5.338130,
offset,calibration,3,3,14,114,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,4.269332,4.269816,0.998786,18.936436,7.467291,1.000000,33.824806,5.326380,
offset,calibration,3,3,15,115,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.755582,7.754801,0.998867,18.205870,7.467291,1.000000,34.129520,5.376997,
offset,calibration,3,3,16,116,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,2.529332,2.519421,0.998589,19.679928,7.467291,1.000000,32.981739,5.186336,
offset,calibration,3,3,17,117,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,5.850582,5.841852,0.998619,19.551605,7.467291,1.000000,33.363098,5.249684,
offset,calibration,3,3,18,118,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-1.553168,-1.560126,0.998594,19.850855,7.467291,1.000000,32.849255,5.164328,
offset,calibration,3,3,19,119,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.846832,7.847513,0.998837,18.539972,7.467291,1.000000,33.039383,5.195911,
offset,calibration,3,3,20,120,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,5.151833,5.143799,0.998662,19.291265,7.467291,1.000000,33.204090,5.223271,
offset,calibration,3,3,21,121,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,4.411832,4.404489,0.998794,18.358212,7.467291,1.000000,32.827404,5.160698,
offset,calibration,3,3,22,122,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,9.971832,9.962336,0.998672,19.118734,7.467291,1.000000,32.977554,5.185640,
offset,calibration,3,3,23,123,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,0.749332,0.739444,0.998691,18.955093,7.467291,1.000000,32.589489,5.121178,
offset,calibration,3,3,24,124,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,1.121832,1.122579,0.998809,18.766975,7.467291,1.000000,34.247540,5.396602,
offset,calibration,3,3,25,125,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,14.198082,14.197181,0.998825,18.538960,7.467291,1.000000,33.620308,5.292410,
