stage,iteration,accepted_frames,rejected_frames,raw_batch_residual,filtered_batch_residual,correction_before,correction_after,correction_delta,residual_std,residual_min,residual_max,tolerance,pass_count,required_passes,status,sndr_db,enob_bits
offset,1,30,0,8.406374,8.406374,0.000000,-1.500000,-1.500000,3.911615,-2.006918,17.813082,1.000000,0,2,RUNNING,33.426933,5.260289,
offset,2,30,0,6.058666,7.467291,-1.500000,-3.000000,-1.500000,4.121216,-4.588168,15.731833,1.000000,0,2,RUNNING,33.475998,5.268439,
offset,3,30,0,3.593916,5.917941,-3.000000,-4.500000,-1.500000,4.469405,-4.955667,14.198082,1.000000,0,2,RUNNING,33.408016,5.257147,
offset,4,30,0,4.208124,5.234015,-4.500000,-6.000000,-1.500000,4.591840,-6.029418,14.613082,1.000000,0,2,RUNNING,33.445965,5.263449,
offset,5,30,0,3.139791,4.396325,-6.000000,-7.500000,-1.500000,5.724447,-11.046918,12.084332,1.000000,0,2,RUNNING,33.448841,5.263926,
offset,6,30,0,-0.161626,2.573145,-7.500000,-8.400600,-0.900600,4.835650,-11.891917,10.028082,1.000000,0,2,RUNNING,33.483585,5.269698,
offset,7,30,0,1.540541,2.160103,-8.400600,-9.156636,-0.756036,5.016193,-9.888167,10.336832,1.000000,0,2,RUNNING,33.458363,5.265509,
offset,8,30,0,0.222999,1.385262,-9.156636,-9.641478,-0.484841,5.650739,-15.190668,10.511832,1.000000,0,2,RUNNING,33.490562,5.270857,
offset,9,30,0,-3.276084,-0.479277,-9.641478,-9.473731,0.167747,4.142650,-10.571918,5.829332,1.000000,0,2,RUNNING,33.484959,5.269926,
offset,10,30,0,-1.427126,-0.858416,-9.473731,-9.173285,0.300446,6.052352,-15.036918,9.843082,1.000000,0,2,RUNNING,33.592018,5.287711,
offset,11,30,0,-0.124584,-0.564884,-9.173285,-9.173285,0.000000,4.217346,-8.220668,7.458082,1.000000,1,2,PASS,33.457115,5.265301,
offset,12,30,0,-3.249501,-1.638730,-9.173285,-8.599730,0.573556,4.883481,-13.208168,8.593082,1.000000,0,2,RUNNING,33.543934,5.279724,
offset,13,30,0,-2.209793,-1.867155,-8.599730,-7.946225,0.653504,4.409102,-11.369417,7.656832,1.000000,0,2,RUNNING,33.439808,5.262427,
offset,14,30,0,1.136082,-0.665860,-7.946225,-7.946225,0.000000,5.251764,-8.911918,11.458082,1.000000,1,2,PASS,33.385292,5.253370,
offset,15,30,0,-0.088959,-0.435100,-7.946225,-7.946225,0.000000,5.364017,-11.394418,10.645582,1.000000,2,2,PASS,33.430397,5.260863,
