stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,621,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.924428,-1,-3.141593,-0.217165,-0.224659,-172.814536,199999934.179871,199999934.179871,564.348411,536.180490,0.999654,0.999623,10.497387,10.407130,1,1,0,nan,nan,nan,nan,31.599022,4.956648,31.229300,4.895233,edge estimates disagree,-5.474541,-85.228728,79.754187,
skew,closed_loop_initial_baseline,0,1,2,622,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.974942,-1,-3.141593,-0.166651,-0.172402,-132.616556,199999934.179871,199999934.179871,564.562090,542.487651,0.999621,0.999595,10.997576,10.920816,1,1,0,nan,nan,nan,nan,31.197995,4.890032,30.912395,4.842591,edge estimates disagree,11.068550,-208.956717,220.025268,
skew,closed_loop_initial_baseline,0,1,3,623,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.986352,-1,-3.141593,-0.155241,-0.160598,-123.536843,199999934.179871,199999934.179871,564.311560,544.082500,0.999677,0.999640,10.154079,10.322804,1,1,0,nan,nan,nan,nan,31.887268,5.004530,31.427042,4.928080,edge estimates disagree,100.602574,-306.900088,407.502662,
skew,closed_loop_initial_baseline,0,1,4,624,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.929483,-1,-3.141593,-0.212109,-0.219429,-168.791355,199999934.179871,199999934.179871,564.622420,536.789769,0.999655,0.999613,10.494003,10.563273,1,1,0,nan,nan,nan,nan,31.606039,4.957814,31.109815,4.875385,edge estimates disagree,-220.708037,-115.655038,105.052999,
skew,closed_loop_initial_baseline,0,1,5,625,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.937614,-1,-3.141593,-0.203979,-0.211018,-162.321470,199999934.179871,199999934.179871,564.720951,537.663649,0.999618,0.999566,11.037723,11.211587,1,1,0,nan,nan,nan,nan,31.168788,4.885181,30.606571,4.791789,edge estimates disagree,-63.621420,80.242865,143.864285,
skew,closed_loop_initial_baseline,0,1,6,626,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.982933,-1,-3.141593,-0.158660,-0.164135,-126.257384,199999934.179871,199999934.179871,564.420460,543.295712,0.999622,0.999594,10.981508,10.951223,1,1,0,nan,nan,nan,nan,31.208515,4.891780,30.901173,4.840726,edge estimates disagree,-262.571103,-2.548283,260.022820,
skew,closed_loop_initial_baseline,0,1,7,627,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.984851,-1,-3.141593,-0.156742,-0.162151,-124.731420,199999934.179871,199999934.179871,564.596468,543.739307,0.999657,0.999646,10.452982,10.232878,1,1,0,nan,nan,nan,nan,31.639659,4.963398,31.497559,4.939794,skew outside supported linear range,-300.835494,-366.524979,65.689486,
skew,closed_loop_initial_baseline,0,1,8,628,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.925136,-1,-3.141593,-0.216457,-0.223926,-172.251139,199999934.179871,199999934.179871,564.180971,536.563222,0.999627,0.999580,10.908041,11.007058,1,1,0,nan,nan,nan,nan,31.263133,4.900853,30.748693,4.815398,skew outside supported linear range,-461.994002,-231.324168,230.669833,
skew,closed_loop_initial_baseline,0,1,9,629,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.985679,-1,-3.141593,-0.155914,-0.161294,-124.072332,199999934.179871,199999934.179871,564.226880,543.833606,0.999640,0.999622,10.705828,10.571539,1,1,0,nan,nan,nan,nan,31.426370,4.927968,31.216257,4.893066,edge estimates disagree,-160.803302,-12.224057,148.579245,
skew,closed_loop_initial_baseline,0,1,10,630,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.924909,-1,-3.141593,-0.216684,-0.224161,-172.431683,199999934.179871,199999934.179871,564.325888,536.343155,0.999663,0.999627,10.351800,10.354601,1,1,0,nan,nan,nan,nan,31.719982,4.976741,31.275888,4.902971,skew outside supported linear range,-150.549963,-303.447648,152.897685,
skew,actuator_characterization_baseline,0,2,1,631,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.925724,-1,-3.141593,-0.215869,-0.223318,-171.783185,199999934.179871,199999934.179871,564.377559,536.186247,0.999665,0.999627,10.331277,10.356350,1,1,0,nan,nan,nan,nan,31.738015,4.979737,31.271879,4.902305,skew outside supported linear range,-473.913591,-144.880036,329.033555,
skew,actuator_characterization_baseline,0,2,2,632,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.984886,-1,-3.141593,-0.156707,-0.162114,-124.703289,199999934.179871,199999934.179871,564.681344,543.678670,0.999579,0.999528,11.598576,11.816650,1,1,0,nan,nan,nan,nan,30.737675,4.813567,30.246659,4.732003,edge estimates disagree,-116.074820,-71.960602,44.114218,
skew,actuator_characterization_baseline,0,2,3,633,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.985528,-1,-3.141593,-0.156065,-0.161450,-124.192317,199999934.179871,199999934.179871,564.441869,543.697158,0.999671,0.999629,10.234995,10.480194,1,1,0,nan,nan,nan,nan,31.820332,4.993411,31.289455,4.905225,edge estimates disagree,-38.696121,-260.429857,221.733737,
skew,actuator_characterization_baseline,0,2,4,634,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.978881,-1,-3.141593,-0.162712,-0.168326,-129.481806,199999934.179871,199999934.179871,564.739120,543.192537,0.999611,0.999579,11.148347,11.152553,1,1,0,nan,nan,nan,nan,31.082448,4.870839,30.741290,4.814168,skew outside supported linear range,-42.869693,-360.799079,317.929386,
skew,actuator_characterization_baseline,0,2,5,635,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.962613,-1,-3.141593,-0.178980,-0.185156,-142.427736,199999934.179871,199999934.179871,565.045984,541.012330,0.999650,0.999617,10.566062,10.585447,1,1,0,nan,nan,nan,nan,31.553113,4.949022,31.159659,4.883664,edge estimates disagree,22.348351,-273.596038,295.944389,
skew,actuator_characterization_baseline,0,2,6,636,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.980065,-1,-3.141593,-0.161528,-0.167102,-128.539707,199999934.179871,199999934.179871,564.474490,543.156990,0.999663,0.999640,10.364454,10.311542,1,1,0,nan,nan,nan,nan,31.711658,4.975358,31.421735,4.927199,corrected tone and dither skew estimates disagree,-180.117914,-200.377135,20.259221,
skew,actuator_characterization_baseline,0,2,7,637,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.970166,-1,-3.141593,-0.171427,-0.177342,-136.417247,199999934.179871,199999934.179871,565.240046,542.131180,0.999645,0.999610,10.660162,10.704791,1,1,0,nan,nan,nan,nan,31.479082,4.936725,31.080224,4.870469,skew outside supported linear range,44.598682,-435.804067,480.402749,
skew,actuator_characterization_baseline,0,2,8,638,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.958705,-1,-3.141593,-0.182887,-0.189198,-145.537111,199999934.179871,199999934.179871,564.856882,540.539684,0.999630,0.999597,10.876902,10.850138,1,1,0,nan,nan,nan,nan,31.298364,4.906705,30.937547,4.846769,edge estimates disagree,-3.450545,-255.767484,252.316939,
skew,actuator_characterization_baseline,0,2,9,639,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.954111,-1,-3.141593,-0.187482,-0.193951,-149.193361,199999934.179871,199999934.179871,565.071890,539.966954,0.999642,0.999644,10.697936,10.184045,1,1,0,nan,nan,nan,nan,31.445775,4.931192,31.478637,4.936651,skew outside supported linear range,-168.308874,-224.557703,56.248829,
skew,actuator_characterization_baseline,0,2,10,640,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.985594,-1,-3.141593,-0.155998,-0.161381,-124.139540,199999934.179871,199999934.179871,564.634003,543.776761,0.999626,0.999596,10.915984,10.934879,1,1,0,nan,nan,nan,nan,31.263782,4.900961,30.921834,4.844158,edge estimates disagree,-128.505111,150.745434,279.250545,
skew,actuator_characterization_after,0,3,1,641,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.942264,-1,-3.141593,-0.199328,-0.206207,-158.620393,199999934.179871,199999934.179871,563.556232,536.984901,0.999621,0.999593,10.974398,10.835817,1,1,0,nan,nan,nan,nan,31.200831,4.890504,30.891708,4.839154,skew outside supported linear range,-568.083071,-265.777789,302.305282,
skew,actuator_characterization_after,0,3,2,642,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.941366,-1,-3.141593,-0.200227,-0.207136,-159.335550,199999934.179871,199999934.179871,563.528376,536.827358,0.999671,0.999625,10.224573,10.391488,1,1,0,nan,nan,nan,nan,31.815112,4.992544,31.252838,4.899142,edge estimates disagree,-48.125635,-167.723144,119.597509,
