stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-3.000000,-0.015993,-3.015993,0.998858,199606299.212598,199606299.212598,0.000000,18.021723,0.998895,1,0.560727,-42.595905,2.000000,0,33.901089,5.339052,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-1.000000,-0.004205,-1.004205,0.998701,199606299.212598,199606299.212598,0.000000,19.193844,0.998753,1,0.629744,191.011662,2.000000,0,32.923622,5.176682,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-7.000000,-0.009992,-7.009992,0.998844,199606299.212598,199606299.212598,0.000000,18.742678,0.998806,1,0.621051,115.984331,2.000000,1,34.301033,5.405488,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,2.000000,0.066063,2.066063,0.998599,199606299.212598,199606299.212598,0.000000,19.489491,0.998619,1,0.634368,31.253062,2.000000,0,33.446663,5.263565,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,0.000000,0.039217,0.039217,0.998347,199606299.212598,199606299.212598,0.000000,21.614651,0.998347,1,0.705091,360.808265,2.000000,0,33.504982,5.273253,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,1.000000,0.063766,1.063766,0.999070,199606299.212598,199606299.212598,0.000000,15.729949,0.999103,1,0.624922,400.984756,2.000000,0,32.984581,5.186808,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,2.000000,0.024097,2.024097,0.998743,199606299.212598,199606299.212598,0.000000,18.929232,0.998756,1,0.637983,-105.202946,2.000000,0,33.945660,5.346456,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,1.000000,-0.023548,0.976452,0.998647,199606299.212598,199606299.212598,0.000000,19.948410,0.998640,1,0.597975,147.454897,2.000000,0,32.969830,5.184357,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-3.000000,-0.018190,-3.018190,0.998535,199606299.212598,199606299.212598,0.000000,20.211946,0.998608,1,0.582979,321.405427,2.000000,0,32.750107,5.147858,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,4.000000,0.053496,4.053496,0.998672,199606299.212598,199606299.212598,0.000000,19.103962,0.998689,1,0.596281,-44.763444,2.000000,0,32.782692,5.153271,
