stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,raw_baseline_global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,final_offset_correction_codes,final_gain_correction,active_polarity,final_delay_register,final_skew_samples,final_skew_ps,controller_iteration,analysis_iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_a_thd_db,raw_a_signal_hz,raw_a_worst_spur_hz,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,raw_b_thd_db,raw_b_signal_hz,raw_b_worst_spur_hz,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_a_thd_db,cal_a_signal_hz,cal_a_worst_spur_hz,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,cal_b_thd_db,cal_b_signal_hz,cal_b_worst_spur_hz,A_correlation,B_correlation,A_RMSE_codes,B_RMSE_codes,raw_ab_correlation,cal_ab_correlation,raw_ab_rmse_codes,cal_ab_rmse_codes,raw_ab_residual_dbc,cal_ab_residual_dbc,raw_offset_mismatch_codes,cal_offset_mismatch_codes,raw_gain_ratio_b_over_a,cal_gain_ratio_b_over_a,raw_gain_mismatch,cal_gain_mismatch,raw_skew_mismatch_ps,cal_skew_mismatch_ps,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,cal_parallel_avg_sndr_db,cal_parallel_avg_sfdr_db,cal_parallel_avg_enob,cal_parallel_avg_thd_db,cal_parallel_avg_signal_hz,cal_parallel_avg_worst_spur_hz,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,valid,rejection_reason
performance,performance,0,1,1,891,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,1,800,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.067825,32.392612,5.200635,-51.957718,199875000.000000,19500000.000000,32.305218,31.453548,5.073956,-52.731716,199875000.000000,19500000.000000,33.386002,32.419640,5.253489,-51.400585,199875000.000000,19500000.000000,33.230190,32.172447,5.227606,-53.753601,199875000.000000,19500000.000000,-0.998510,0.998436,746.099426,23.465698,-0.968267,-0.999957,725.382935,757.303406,5.949213,6.021036,-8.890779,-9.589020,0.952032,0.987640,-0.047968,-0.012360,-171.470372,1.145908,28.464209,36.553429,4.435915,-37.551346,199875000.000000,240500000.000000,3.259096,14.611202,0.249019,-11.454536,199875000.000000,130000000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,2,892,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,2,1600,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.641560,32.525776,5.295940,-50.967556,199875000.000000,24375000.000000,33.676365,32.488461,5.301722,-50.751011,199875000.000000,24375000.000000,33.250916,32.424793,5.231049,-51.591335,199875000.000000,19500000.000000,33.212524,32.274734,5.224672,-51.504326,199875000.000000,19500000.000000,-0.998636,0.998576,747.170532,23.056135,-0.971147,-0.999948,739.316589,759.188354,5.954918,6.021380,-6.323872,-11.936050,0.949345,0.987206,-0.050655,-0.012794,-171.470372,1.145908,27.465050,37.959614,4.269942,-35.661251,199875000.000000,141375000.000000,2.204292,12.038575,0.073803,-10.442233,199875000.000000,22750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,3,893,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,3,2400,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.744904,32.920582,5.313107,-51.215157,199875000.000000,19500000.000000,32.944942,32.321892,5.180223,-50.548607,199875000.000000,21125000.000000,33.947830,32.826797,5.346816,-52.169701,199875000.000000,24375000.000000,33.742290,32.545681,5.312673,-51.495228,199875000.000000,24375000.000000,-0.998599,0.998529,748.204407,24.501890,-0.971684,-0.999952,742.052917,761.555664,5.958916,6.020475,-19.978687,-4.345619,0.949203,0.987920,-0.050797,-0.012080,-171.470372,1.145908,29.051449,40.790401,4.533463,-35.926090,199875000.000000,170625000.000000,3.140495,13.294685,0.229318,-11.493848,199875000.000000,121875000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,4,894,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,4,3200,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.924522,33.176620,5.342944,-53.802452,199875000.000000,24375000.000000,33.573719,32.283539,5.284671,-51.200565,199875000.000000,24375000.000000,33.759922,32.816593,5.315602,-51.055355,199875000.000000,24375000.000000,33.407730,32.549091,5.257098,-50.064537,199875000.000000,24375000.000000,-0.998652,0.998646,749.833069,26.555580,-0.973181,-0.999948,747.154541,764.621765,5.959077,6.028989,2.666517,-34.176273,0.948865,0.987083,-0.051135,-0.012917,-171.470372,1.145908,28.626766,37.967491,4.462918,-36.840244,199875000.000000,91000000.000000,3.837038,14.443423,0.345023,-10.895731,199875000.000000,52000000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,5,895,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,5,4000,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.465950,32.727043,5.266769,-51.202610,199875000.000000,19500000.000000,32.887890,32.057690,5.170746,-51.730877,199875000.000000,21125000.000000,33.608486,32.590775,5.290446,-52.628689,199875000.000000,19500000.000000,33.696411,32.821625,5.305052,-50.811783,199875000.000000,19500000.000000,-0.999168,0.999145,746.863831,19.195942,-0.971517,-0.999956,741.411926,758.474976,5.960624,6.021061,-25.819815,-9.836999,0.948816,0.987392,-0.051184,-0.012608,-171.470372,1.145908,28.164667,40.277889,4.386158,-36.051361,199875000.000000,113750000.000000,2.953772,12.906104,0.198301,-10.487519,199875000.000000,113750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,6,896,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,6,4800,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.520317,32.687469,5.275800,-51.719372,199875000.000000,22750000.000000,33.454075,32.365479,5.264796,-53.624790,199875000.000000,24375000.000000,33.478966,32.361298,5.268931,-51.242191,199875000.000000,19500000.000000,33.238426,32.188095,5.228974,-53.768467,199875000.000000,19500000.000000,-0.998662,0.998611,745.901855,22.222227,-0.968711,-0.999957,728.019104,756.732666,5.951162,6.021336,-14.248133,-11.515760,0.951655,0.987335,-0.048345,-0.012665,-171.470372,1.145908,28.770943,39.637947,4.486867,-37.440266,199875000.000000,58500000.000000,3.100775,12.538313,0.222720,-11.356179,199875000.000000,39000000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,7,897,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,7,5600,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.718437,32.767216,5.308711,-53.278862,199875000.000000,24375000.000000,33.603310,32.507671,5.289586,-50.447426,199875000.000000,24375000.000000,33.425598,32.726753,5.260066,-51.180065,199875000.000000,19500000.000000,33.472595,32.653641,5.267873,-52.270626,199875000.000000,19500000.000000,-0.998630,0.998623,748.164001,23.991594,-0.975558,-0.999948,754.835571,761.156433,5.964404,6.020313,2.628508,-1.233856,0.949765,0.987037,-0.050235,-0.012963,-171.470372,1.145908,28.560312,40.666500,4.451879,-35.342426,199875000.000000,372125000.000000,2.690632,14.512773,0.154590,-11.596888,199875000.000000,277875000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,8,898,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,8,6400,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.846359,32.603748,5.329960,-49.134033,199875000.000000,24375000.000000,33.635883,32.616478,5.294997,-50.863621,199875000.000000,24375000.000000,33.993065,32.711575,5.354330,-52.571037,199875000.000000,24375000.000000,33.898228,32.829235,5.338576,-50.926628,199875000.000000,24375000.000000,-0.998594,0.998590,746.296753,23.155514,-0.975011,-0.999955,753.735657,757.620178,5.973275,6.024147,-36.323193,-22.456856,0.949995,0.987442,-0.050005,-0.012558,-171.470372,1.145908,27.502153,38.399998,4.276105,-33.945198,199875000.000000,131625000.000000,3.966072,14.782136,0.366457,-12.638947,199875000.000000,165750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,9,899,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,9,7200,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.608730,32.480846,5.290487,-51.023975,199875000.000000,19500000.000000,32.888206,31.945553,5.170798,-51.791641,199875000.000000,19500000.000000,33.697979,32.781319,5.305312,-49.269199,199875000.000000,24375000.000000,33.933861,32.792645,5.344495,-52.844776,199875000.000000,24375000.000000,-0.998773,0.998771,751.875183,24.898359,-0.973211,-0.999942,746.923218,768.378967,5.959129,6.020482,0.439312,-5.215030,0.949216,0.986823,-0.050784,-0.013177,-171.470372,1.145908,27.967295,41.317070,4.353371,-35.866966,199875000.000000,650000000.000000,1.881429,13.421941,0.020171,-10.233220,199875000.000000,30875000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,10,900,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.185654,0.994534,1.000000,35,0.001490,1.145908,0,10,8000,0,6,1,-9.185654,-9.185654,0.994534,0.994534,1.000000,nan,nan,1.145908,33.176788,32.197239,5.218736,-51.387280,199875000.000000,19500000.000000,32.865509,32.022888,5.167028,-51.274448,199875000.000000,19500000.000000,34.094303,32.878647,5.371147,-51.265232,199875000.000000,24375000.000000,33.800735,32.415657,5.322381,-51.961773,199875000.000000,24375000.000000,-0.998623,0.998585,748.297791,23.939535,-0.972713,-0.999951,745.653320,761.454590,5.958149,6.020590,-2.644257,-6.080611,0.949750,0.987225,-0.050250,-0.012775,-171.470372,1.145908,27.892614,40.234173,4.340966,-35.257156,199875000.000000,175500000.000000,3.124422,13.603575,0.226648,-10.559402,199875000.000000,238875000.000000,nan,nan,nan,nan,1,none
