stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,1,11,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998693,-10.478750,-10.476237,16.205609,384.905364,365.408208,1,34.006233,32.831512,5.356517,-52.761173,199875000.000000,24375000.000000,33.457157,32.525738,5.265308,-52.592247,199875000.000000,24375000.000000,33.912788,32.633873,5.340995,-54.531818,199875000.000000,24375000.000000,1,0.973225,89.122620,-12.481684,5.729373,0.948763,-0.051237,-0.196829,-151.406977
baseline,baseline,0,1,2,12,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998619,-7.010000,-7.010700,10.796002,390.432315,373.359890,1,33.016064,32.318096,5.192037,-51.222954,199875000.000000,19500000.000000,32.896923,32.026241,5.172246,-51.954834,199875000.000000,19500000.000000,33.129131,32.147141,5.210819,-54.568382,199875000.000000,19500000.000000,1,0.982769,73.004814,-14.371577,3.785302,0.956027,-0.043973,-0.196829,-151.406977
baseline,baseline,0,1,3,13,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998498,1.532500,1.522728,3.287297,383.533221,363.933181,1,33.293018,32.440765,5.238043,-49.711693,199875000.000000,19500000.000000,33.102650,32.289989,5.206420,-50.591431,199875000.000000,22750000.000000,33.392277,32.242699,5.254531,-52.729874,199875000.000000,21125000.000000,1,0.972369,90.116280,-12.357950,4.810024,0.948865,-0.051135,-0.196829,-151.406977
baseline,baseline,0,1,4,14,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998627,-5.138750,-5.132095,11.033447,388.659908,369.722445,1,33.663086,32.566746,5.299516,-52.171631,199875000.000000,22750000.000000,33.132362,32.432751,5.211356,-49.957733,199875000.000000,22750000.000000,33.568031,32.465569,5.283726,-54.367043,199875000.000000,22750000.000000,1,0.978172,81.658997,-13.337556,5.901351,0.950934,-0.049066,-0.196829,-151.406977
baseline,baseline,0,1,5,15,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998613,-11.337500,-11.316839,15.592545,389.363267,370.686789,1,33.165459,32.076241,5.216854,-53.184242,199875000.000000,19500000.000000,32.973225,32.095116,5.184921,-51.721924,199875000.000000,21125000.000000,33.213070,32.086037,5.224762,-55.117737,199875000.000000,21125000.000000,1,0.979077,80.031876,-13.528024,4.275706,0.951593,-0.048407,-0.196829,-151.406977
baseline,baseline,0,1,6,16,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998691,-0.460000,-0.458918,5.687855,389.454291,370.958026,1,33.212944,32.634125,5.224741,-51.122025,199875000.000000,22750000.000000,33.454971,32.281921,5.264946,-52.617584,199875000.000000,22750000.000000,33.512825,32.433437,5.274556,-54.897095,199875000.000000,22750000.000000,1,0.979627,79.100761,-13.638849,5.228937,0.952396,-0.047604,-0.196829,-151.406977
baseline,baseline,0,1,7,17,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998536,-9.121250,-9.125732,13.921695,389.106052,370.573053,1,33.492069,32.739719,5.271108,-50.515488,199875000.000000,22750000.000000,33.343410,32.699039,5.246414,-51.541405,199875000.000000,22750000.000000,33.614037,32.690372,5.291368,-54.377575,199875000.000000,22750000.000000,1,0.979066,80.020882,-13.526351,4.795963,0.951960,-0.048040,-0.196829,-151.406977
baseline,baseline,0,1,8,18,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998673,-1.568750,-1.572278,6.517531,386.546780,366.984617,1,33.419449,32.666595,5.259045,-53.156670,199875000.000000,19500000.000000,32.951000,32.351761,5.181229,-52.347897,199875000.000000,19500000.000000,33.318542,32.469276,5.242283,-56.058640,199875000.000000,19500000.000000,1,0.975256,86.188438,-12.814686,4.945253,0.949251,-0.050749,-0.196829,-151.406977
baseline,baseline,0,1,9,19,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998555,-10.005000,-10.006473,16.516429,388.589707,369.647097,1,32.622181,32.169472,5.126608,-49.610729,199875000.000000,19500000.000000,32.737251,31.950872,5.145723,-50.012402,199875000.000000,19500000.000000,32.864204,32.021633,5.166811,-53.335926,199875000.000000,19500000.000000,1,0.977987,82.012001,-13.295025,6.509955,0.950618,-0.049382,-0.196829,-151.406977
baseline,baseline,0,1,10,20,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998570,-4.092500,-4.106199,9.333377,389.413008,371.145072,1,33.867214,32.679863,5.333425,-51.571228,199875000.000000,24375000.000000,33.478565,32.545479,5.268865,-52.298553,199875000.000000,24375000.000000,33.856461,32.575176,5.331638,-54.723495,199875000.000000,24375000.000000,1,0.979986,78.405815,-13.716026,5.227178,0.952840,-0.047160,-0.196829,-151.406977
