stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason
gain,calibration,1,1,1,291,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.993840,-0.006160,0.998746,19.473307,0.460360,1,FIT_QUALITY
gain,calibration,1,1,2,292,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.990057,-0.009943,0.998740,19.634932,nan,0,POLARITY_IMBALANCE
gain,calibration,1,1,3,293,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.003393,0.003393,0.998670,21.365150,0.443052,1,FIT_QUALITY
gain,calibration,1,1,4,294,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.992571,-0.007429,0.998590,20.523352,0.435112,1,FIT_QUALITY
gain,calibration,1,1,5,295,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004931,0.004931,0.998886,18.598034,0.399665,1,FIT_QUALITY
gain,calibration,1,1,6,296,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.990396,-0.009604,0.998693,21.957527,0.468589,1,FIT_QUALITY
gain,calibration,1,1,7,297,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004087,0.004087,0.998554,21.512255,0.457579,1,FIT_QUALITY
gain,calibration,1,1,8,298,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004415,0.004415,0.998435,23.349955,0.426016,1,FIT_QUALITY
gain,calibration,1,1,9,299,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.003488,0.003488,0.998961,20.177210,0.421216,1,FIT_QUALITY
gain,calibration,1,1,10,300,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.005130,0.005130,0.998743,20.803541,0.491251,1,FIT_QUALITY
gain,calibration,1,1,11,301,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.005251,0.005251,0.998691,21.148209,0.482195,1,NONE
gain,calibration,1,1,12,302,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.997892,-0.002108,0.998645,22.670471,0.420202,1,FIT_QUALITY
gain,calibration,1,1,13,303,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.003577,0.003577,0.998814,19.484537,0.432513,1,FIT_QUALITY
gain,calibration,1,1,14,304,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.003494,0.003494,0.998550,21.200521,0.454605,1,FIT_QUALITY
gain,calibration,1,1,15,305,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004949,0.004949,0.998703,20.138906,0.427984,1,FIT_QUALITY
gain,calibration,1,1,16,306,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.994364,-0.005636,0.998640,20.943523,0.454477,1,FIT_QUALITY
gain,calibration,1,1,17,307,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.002730,0.002730,0.998633,20.470917,0.449424,1,FIT_QUALITY
gain,calibration,1,1,18,308,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004878,0.004878,0.998575,21.405083,0.468858,1,FIT_QUALITY
gain,calibration,1,1,19,309,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.998108,-0.001892,0.998620,20.986521,0.457368,1,FIT_QUALITY
gain,calibration,1,1,20,310,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004686,0.004686,0.998999,17.487900,0.438543,1,FIT_QUALITY
gain,calibration,1,1,21,311,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004023,0.004023,0.998742,19.650476,0.472631,1,FIT_QUALITY
gain,calibration,1,1,22,312,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.987975,-0.012025,0.998510,21.276852,0.399834,1,FIT_QUALITY
gain,calibration,1,1,23,313,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004606,0.004606,0.998718,20.940395,0.424449,1,FIT_QUALITY
gain,calibration,1,1,24,314,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.002442,0.002442,0.998692,20.443918,0.477282,1,FIT_QUALITY
gain,calibration,1,1,25,315,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.995550,-0.004450,0.998306,22.859070,0.460389,1,FIT_QUALITY
gain,calibration,1,1,26,316,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004934,0.004934,0.998768,19.516842,0.479866,1,FIT_QUALITY
gain,calibration,1,1,27,317,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.990068,-0.009932,0.998544,21.664017,0.420582,1,FIT_QUALITY
gain,calibration,1,1,28,318,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.002018,0.002018,0.998624,21.321459,0.454173,1,FIT_QUALITY
gain,calibration,1,1,29,319,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.997433,-0.002567,0.998886,19.492378,0.397007,1,FIT_QUALITY
gain,calibration,1,1,30,320,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004538,0.004538,0.998736,20.164059,0.446072,1,FIT_QUALITY
gain,calibration,2,2,1,321,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.987686,-0.012314,0.998401,21.951595,0.442324,1,NONE
gain,calibration,2,2,2,322,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.990995,-0.009005,0.998738,19.586033,0.412169,1,FIT_QUALITY
gain,calibration,2,2,3,323,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.996521,-0.003479,0.998493,22.065523,0.462771,1,FIT_QUALITY
gain,calibration,2,2,4,324,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.000578,0.000578,0.998622,21.204397,0.468229,1,FIT_QUALITY
gain,calibration,2,2,5,325,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004313,0.004313,0.998631,21.725809,0.464170,1,FIT_QUALITY
gain,calibration,2,2,6,326,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004961,0.004961,0.998766,19.497892,0.436677,1,FIT_QUALITY
gain,calibration,2,2,7,327,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004590,0.004590,0.998774,20.484762,0.443127,1,FIT_QUALITY
gain,calibration,2,2,8,328,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.004280,0.004280,0.998549,22.515348,0.407810,1,FIT_QUALITY
gain,calibration,2,2,9,329,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,1.005051,0.005051,0.998765,21.401123,0.426682,1,FIT_QUALITY
gain,calibration,2,2,10,330,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,5.223837,1.000000,nan,1.000000,0.988435,-0.011565,0.998750,20.694248,0.425008,1,FIT_QUALITY
