stage,iteration,accepted_frames,rejected_frames,raw_batch_residual,filtered_batch_residual,correction_before,correction_after,correction_delta,residual_std,residual_min,residual_max,tolerance,pass_count,required_passes,status
offset,1,30,0,8.366959,8.366959,0.000000,-1.500000,-1.500000,4.168173,0.641709,17.774208,1.000000,0,2,RUNNING
offset,2,30,0,7.168792,7.887692,-1.500000,-3.000000,-1.500000,4.752408,-2.840791,18.037958,1.000000,0,2,RUNNING
offset,3,30,0,3.635834,6.186949,-3.000000,-4.500000,-1.500000,4.869319,-6.342041,12.974209,1.000000,0,2,RUNNING
offset,4,30,0,3.981292,5.304686,-4.500000,-6.000000,-1.500000,5.032810,-3.728291,14.154209,1.000000,0,2,RUNNING
offset,5,30,0,2.905917,4.345179,-6.000000,-7.500000,-1.500000,5.676720,-7.592041,11.707959,1.000000,0,2,RUNNING
offset,6,30,0,-0.541583,2.390474,-7.500000,-8.336666,-0.836666,4.736133,-10.055791,9.860459,1.000000,0,2,RUNNING
offset,7,30,0,1.930501,2.206485,-8.336666,-9.108935,-0.772269,5.619864,-9.605791,13.221709,1.000000,0,2,RUNNING
offset,8,30,0,-1.014125,0.918241,-9.108935,-9.430320,-0.321384,4.462774,-8.165792,8.097959,1.000000,0,2,RUNNING
offset,9,30,0,-0.519999,0.342945,-9.430320,-9.430320,0.000000,4.603514,-9.638291,10.734209,1.000000,1,2,PASS
offset,10,30,0,-1.726249,-0.484733,-9.430320,-9.430320,0.000000,4.551816,-10.067041,6.490459,1.000000,2,2,PASS
