stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,original_capture_phase,original_iteration,label_source
skew,closed_loop_initial_baseline,0,1,1,531,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.049046,-1,-3.141593,-0.092547,-0.09604,-73.877268,199375017.6145,199375017.6145,530.677959,523.773705,0.999761,0.999748,8.202296,8.302882,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,2,532,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.039939,-1,-3.141593,-0.101653,-0.105491,-81.146827,199375017.6145,199375017.6145,531.691743,522.539654,0.999752,0.999735,8.373571,8.513461,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,3,533,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.088917,-1,-3.141593,-0.052676,-0.054664,-42.049558,199375017.6145,199375017.6145,521.736385,528.548787,0.999741,0.999742,8.399216,8.499922,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,4,534,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.040511,-1,-3.141593,-0.101082,-0.104898,-80.690496,199375017.6145,199375017.6145,531.975773,522.641983,0.999723,0.999728,8.851629,8.618941,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,5,535,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.053239,-1,-3.141593,-0.088353,-0.091689,-70.529633,199375017.6145,199375017.6145,530.059912,524.149877,0.999757,0.999749,8.261833,8.30643,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,6,536,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.079511,-1,-3.141593,-0.062082,-0.064425,-49.557985,199375017.6145,199375017.6145,525.116925,527.215376,0.999758,0.999764,8.171321,8.098076,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,7,537,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.081387,-1,-3.141593,-0.060206,-0.062478,-48.060369,199375017.6145,199375017.6145,524.290604,527.373642,0.999767,0.999763,8.002444,8.117348,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,8,538,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.081568,-1,-3.141593,-0.060025,-0.062291,-47.915935,199375017.6145,199375017.6145,524.419368,527.630076,0.999753,0.999755,8.240284,8.264519,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,9,539,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.08786,-1,-3.141593,-0.053733,-0.055761,-42.893256,199375017.6145,199375017.6145,522.129884,528.624473,0.99975,0.999749,8.255817,8.3798,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
skew,closed_loop_initial_baseline,0,1,10,540,1,none,1300000000.0,2600000000.0,1.0,1,1,24,4.735985,1.00494,1.0,1,none,3.051861,-1,-3.141593,-0.089731,-0.093119,-71.629786,199375017.6145,199375017.6145,530.247269,524.048073,0.999761,0.999752,8.200952,8.26548,1,1,0,,,,,closed_loop_initial_baseline,0,firmware
