stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status
gain,1,30,0,1.017915,0.017915,1.000000,0.997360,-0.002640,0.010000,0,2,0.999038,0.403953,WARNING,6,NONE,RUNNING
gain,2,30,0,1.015926,0.015926,0.997360,0.995015,-0.002345,0.010000,0,2,0.998985,0.400924,WARNING,6,FIT_QUALITY,RUNNING
gain,3,30,0,1.015209,0.015209,0.995015,0.992779,-0.002236,0.010000,0,2,0.999004,0.390736,WARNING,6,NONE,RUNNING
gain,4,30,0,1.006136,0.006136,0.992779,0.991871,-0.000908,0.010000,0,2,0.999011,0.405571,WARNING,6,NONE,RUNNING
gain,5,30,0,1.006885,0.006885,0.991871,0.990853,-0.001017,0.010000,0,2,0.999020,0.402144,WARNING,6,NONE,RUNNING
gain,6,30,0,1.010619,0.010619,0.990853,0.989291,-0.001562,0.010000,0,2,0.999036,0.388216,WARNING,6,FIT_QUALITY,RUNNING
gain,7,30,0,1.010220,0.010220,0.989291,0.987790,-0.001501,0.010000,0,2,0.999010,0.402816,WARNING,6,FIT_QUALITY,RUNNING
gain,8,30,0,1.001944,0.001944,0.987790,0.987503,-0.000288,0.010000,0,2,0.999023,0.395619,WARNING,5,FIT_QUALITY,RUNNING
gain,9,30,0,1.006965,0.006965,0.987503,0.987503,0.000000,0.010000,1,2,0.999009,0.405131,WARNING,6,FIT_QUALITY,PASS
gain,10,30,0,1.009086,0.009086,0.987503,0.987503,0.000000,0.010000,2,2,0.999021,0.383471,WARNING,6,NONE,PASS
