stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,771,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.087436,-1,-3.141593,-0.054157,-0.056201,-43.231684,199375017.614500,199375017.614500,516.110797,529.239374,0.999753,0.999767,8.121794,8.085923,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,2,772,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.085953,-1,-3.141593,-0.055640,-0.057740,-44.415678,199375017.614500,199375017.614500,522.038158,527.917778,0.999747,0.999740,8.310391,8.520335,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,3,773,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.090362,-1,-3.141593,-0.051231,-0.053165,-40.896229,199375017.614500,199375017.614500,517.809990,528.958166,0.999767,0.999755,7.914776,8.281654,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,4,774,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.086366,-1,-3.141593,-0.055227,-0.057311,-44.085656,199375017.614500,199375017.614500,515.740689,529.292839,0.999753,0.999758,8.103130,8.234213,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,5,775,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.080354,-1,-3.141593,-0.061238,-0.063550,-48.884603,199375017.614500,199375017.614500,524.405424,527.286633,0.999772,0.999767,7.909909,8.047365,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,6,776,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.086045,-1,-3.141593,-0.055547,-0.057644,-44.341672,199375017.614500,199375017.614500,522.155327,527.964569,0.999761,0.999777,8.076626,7.888553,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,7,777,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.087992,-1,-3.141593,-0.053600,-0.055624,-42.787558,199375017.614500,199375017.614500,516.229756,529.316424,0.999766,0.999759,7.896001,8.216492,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,8,778,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.089452,-1,-3.141593,-0.052140,-0.054108,-41.621914,199375017.614500,199375017.614500,520.123294,528.841836,0.999672,0.999672,9.432180,9.582612,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,9,779,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.085679,-1,-3.141593,-0.055914,-0.058024,-44.634174,199375017.614500,199375017.614500,522.732345,528.149091,0.999692,0.999689,9.176002,9.325726,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,10,780,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.090198,-1,-3.141593,-0.051394,-0.053334,-41.026475,199375017.614500,199375017.614500,519.394652,528.845376,0.999744,0.999746,8.310732,8.437482,1,1,0,nan,nan,nan,nan
skew,actuator_characterization_baseline,0,2,1,781,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.079383,-1,-3.141593,-0.062209,-0.064558,-49.659708,199375017.614500,199375017.614500,524.505182,527.218838,0.999769,0.999768,7.967396,8.029762,1,1,0,nan,nan,nan,nan
skew,actuator_characterization_baseline,0,2,2,782,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.777929,0.987503,1.000000,1,none,3.085486,-1,-3.141593,-0.056107,-0.058225,-44.788454,199375017.614500,199375017.614500,515.650339,529.288215,0.999761,0.999766,7.982560,8.097473,1,1,0,nan,nan,nan,nan
