stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-1.000000,-0.029852,-1.029852,0.998675,199606299.212598,199606299.212598,0.000000,20.071325,0.998600,1,0.434510,-60.741488,2.000000,1,37.352531,5.912381,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-7.000000,0.169237,-6.830762,0.998808,199606299.212598,199606299.212598,0.000000,18.206402,0.998736,1,-0.402829,-310.725384,2.000000,0,38.617962,6.122585,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-7.000000,0.008233,-6.991766,0.998470,199606299.212598,199606299.212598,0.000000,21.365297,0.998444,1,-0.480002,-1.310753,2.000000,0,38.043697,6.027193,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-5.000000,0.092333,-4.907667,0.998455,199606299.212598,199606299.212598,0.000000,20.653944,0.998463,1,-0.459387,-72.556397,2.000000,0,40.485577,6.432820,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,6.000000,-0.036252,5.963748,0.998421,199606299.212598,199606299.212598,0.000000,22.335838,0.998279,1,0.518217,-89.626385,2.000000,0,37.865273,5.997554,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-4.000000,-0.012258,-4.012258,0.998310,199606299.212598,199606299.212598,0.000000,22.171211,0.998340,1,0.474567,-36.746192,2.000000,0,39.798878,6.318751,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,2.000000,-0.045097,1.954903,0.998240,199606299.212598,199606299.212598,0.000000,22.177729,0.998285,1,0.489229,-50.916114,2.000000,0,38.515259,6.105525,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,6.000000,-0.169379,5.830621,0.998297,199606299.212598,199606299.212598,0.000000,22.008863,0.998135,1,0.650060,-97.870261,2.000000,0,37.675640,5.966053,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-7.000000,0.050512,-6.949488,0.998597,199606299.212598,199606299.212598,0.000000,20.903772,0.998470,1,0.652989,-53.306454,2.000000,0,39.402256,6.252867,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,9.000000,-0.090404,8.909595,0.998873,199606299.212598,199606299.212598,0.000000,19.332666,0.998652,1,-0.460947,95.675005,2.000000,0,39.447598,6.260398,
