stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,1,1,1,411,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.925750,-0.074250,0.998265,22.309189,0.457932,1,FIT_QUALITY,41.438797,6.591163,
gain,calibration,1,1,2,412,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.999807,-0.000193,0.999830,7.635031,0.686856,1,FIT_QUALITY,41.575386,6.613852,
gain,calibration,1,1,3,413,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.987926,-0.012074,0.999778,12.420493,0.552681,1,FIT_QUALITY,42.273991,6.729899,
gain,calibration,1,1,4,414,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.993529,-0.006471,0.999839,10.995854,0.622979,1,FIT_QUALITY,41.727798,6.639170,
gain,calibration,1,1,5,415,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.954972,-0.045028,0.999247,16.063448,0.608863,1,FIT_QUALITY,41.199116,6.551348,
gain,calibration,1,1,6,416,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.988314,-0.011686,0.999645,15.308206,0.502912,1,FIT_QUALITY,42.336449,6.740274,
gain,calibration,1,1,7,417,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.967926,-0.032074,0.999607,11.646120,0.543807,1,FIT_QUALITY,41.190723,6.549954,
gain,calibration,1,1,8,418,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.939765,-0.060235,0.998168,23.290094,0.650706,1,FIT_QUALITY,40.674149,6.464145,
gain,calibration,1,1,9,419,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.960285,-0.039715,0.999444,14.426711,0.583868,1,FIT_QUALITY,41.466702,6.595798,
gain,calibration,1,1,10,420,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,5.536766,1.000000,nan,1.000000,0.973116,-0.026884,0.999661,11.383441,0.480510,1,FIT_QUALITY,41.323307,6.571978,
