stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status,sndr_db,enob_bits
gain,1,30,0,0.972871,-0.027129,1.000000,1.006971,0.006971,0.010000,0,2,0.999359,0.527407,WARNING,6,FIT_QUALITY,RUNNING,41.662056,6.628249,
gain,2,30,0,0.981894,-0.018106,1.006971,1.011614,0.004642,0.010000,0,2,0.999470,0.527454,WARNING,6,FIT_QUALITY,RUNNING,41.627541,6.622516,
gain,3,30,0,0.993659,-0.006341,1.011614,1.013228,0.001614,0.010000,0,2,0.999551,0.500344,WARNING,6,FIT_QUALITY,RUNNING,41.737583,6.640795,
gain,4,30,0,0.986088,-0.013912,1.013228,1.016801,0.003574,0.010000,0,2,0.999401,0.532846,WARNING,6,FIT_QUALITY,RUNNING,41.558422,6.611033,
gain,5,30,0,0.990285,-0.009715,1.016801,1.018298,0.001496,0.010000,0,2,0.999329,0.511725,WARNING,5,FIT_QUALITY,RUNNING,41.718788,6.637672,
gain,6,30,0,0.996870,-0.003130,1.018298,1.018777,0.000480,0.010000,0,2,0.999488,0.545140,WARNING,5,FIT_QUALITY,RUNNING,41.596504,6.617360,
gain,7,30,0,0.995678,-0.004322,1.018777,1.019441,0.000663,0.010000,0,2,0.999514,0.567371,WARNING,5,FIT_QUALITY,RUNNING,41.780743,6.647964,
gain,8,30,0,0.993286,-0.006714,1.019441,1.020474,0.001034,0.010000,0,2,0.999383,0.548086,WARNING,5,FIT_QUALITY,RUNNING,41.644016,6.625252,
gain,9,30,0,0.989792,-0.010208,1.020474,1.022053,0.001579,0.010000,0,2,0.999329,0.537648,WARNING,6,FIT_QUALITY,RUNNING,41.714897,6.637026,
gain,10,30,0,0.999687,-0.000313,1.022053,1.022053,0.000000,0.010000,1,2,0.999440,0.549614,WARNING,6,FIT_QUALITY,PASS,41.816383,6.653885,
gain,11,30,0,0.999331,-0.000669,1.022053,1.022053,0.000000,0.010000,2,2,0.999493,0.490233,WARNING,6,FIT_QUALITY,PASS,41.727585,6.639135,
