stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,1,41,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-6.196056,-6.197129,0.999583,11.611422,nan,1.000000,41.875801,6.663754,
offset,calibration,1,1,2,42,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-7.042306,-7.041943,0.999866,6.733118,nan,1.000000,41.861759,6.661422,
offset,calibration,1,1,3,43,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,2.010193,2.008386,0.999263,15.256702,nan,1.000000,41.254364,6.560526,
offset,calibration,1,1,4,44,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,4.317693,4.316741,0.999835,7.318995,nan,1.000000,41.904701,6.668555,
offset,calibration,1,1,5,45,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-6.719807,-6.721787,0.999536,12.065253,nan,1.000000,41.947216,6.675618,
offset,calibration,1,1,6,46,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-4.717307,-4.718512,0.999733,9.276795,nan,1.000000,41.547981,6.609300,
offset,calibration,1,1,7,47,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,3.330194,3.329088,0.999719,9.527530,nan,1.000000,41.937794,6.674052,
offset,calibration,1,1,8,48,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,2.347693,2.344219,0.998425,21.685713,nan,1.000000,41.491444,6.599908,
offset,calibration,1,1,9,49,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-8.894807,-8.895299,0.999762,8.857822,nan,1.000000,41.532806,6.606779,
offset,calibration,1,1,10,50,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,0.575193,0.573660,0.999648,10.592433,nan,1.000000,42.239506,6.724171,
offset,calibration,1,1,11,51,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-5.563557,-5.563628,0.999804,8.087182,nan,1.000000,42.383980,6.748170,
offset,calibration,1,1,12,52,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-2.281057,-2.281826,0.999786,8.367445,nan,1.000000,41.570950,6.613115,
offset,calibration,1,1,13,53,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-13.824806,-13.824283,0.999891,6.091352,nan,1.000000,42.183876,6.714930,
offset,calibration,1,1,14,54,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-8.099807,-8.099981,0.999898,5.837281,nan,1.000000,41.709473,6.636125,
offset,calibration,1,1,15,55,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,3.965194,3.965008,0.999880,6.316922,nan,1.000000,41.902550,6.668198,
offset,calibration,1,1,16,56,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-4.926056,-4.929002,0.998809,19.030682,nan,1.000000,41.447010,6.592527,
offset,calibration,1,1,17,57,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-16.741056,-16.741051,0.999867,6.681061,nan,1.000000,41.218399,6.554552,
