stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,1,11,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999778,-9.836250,-9.838019,13.754126,405.379330,392.411412,1,39.976871,40.916428,6.348318,-51.619068,299000000.000000,22750000.000000,39.597851,40.778873,6.285357,-49.580765,299000000.000000,22750000.000000,40.850559,40.855518,6.493449,-53.669102,299000000.000000,22750000.000000,1,0.987969,63.332100,-15.981946,3.916107,0.967701,-0.032299,-0.112029,-86.176003
baseline,baseline,0,1,2,12,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999801,-12.235000,-12.230363,16.726156,405.199233,390.962857,1,40.301441,41.678730,6.402233,-50.263752,299000000.000000,19500000.000000,40.338928,41.799847,6.408460,-49.318893,299000000.000000,19500000.000000,41.435852,41.762882,6.590673,-52.125591,299000000.000000,19500000.000000,1,0.986839,66.273346,-15.568155,4.495794,0.964422,-0.035578,-0.112029,-86.176003
baseline,baseline,0,1,3,13,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999071,-7.226250,-7.231973,12.147823,394.146050,368.938014,1,40.255798,41.642891,6.394651,-50.608772,299000000.000000,19500000.000000,39.397785,40.448380,6.252124,-51.808186,299000000.000000,21125000.000000,40.841930,40.987427,6.492015,-53.189037,299000000.000000,19500000.000000,1,0.968594,98.963722,-11.723084,4.915851,0.935694,-0.064306,-0.112029,-86.176003
baseline,baseline,0,1,4,14,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999831,-2.232500,-2.229762,8.363146,406.052091,392.547603,1,40.628468,42.140038,6.456556,-49.641235,299000000.000000,24375000.000000,40.107632,41.065189,6.370039,-50.922138,299000000.000000,24375000.000000,41.540321,41.669998,6.608027,-53.373638,299000000.000000,24375000.000000,1,0.987807,64.096367,-15.889536,6.133385,0.966537,-0.033463,-0.112029,-86.176003
baseline,baseline,0,1,5,15,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998853,-7.262500,-7.261694,11.327128,393.071570,373.076368,1,40.191849,41.383503,6.384028,-50.595242,299000000.000000,22750000.000000,40.425285,40.684139,6.422805,-50.577637,299000000.000000,22750000.000000,41.392441,41.070866,6.583462,-54.084789,299000000.000000,22750000.000000,1,0.978964,81.156509,-13.479465,4.065434,0.948855,-0.051145,-0.112029,-86.176003
baseline,baseline,0,1,6,16,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999570,-5.527500,-5.534710,10.864810,401.940430,375.790235,1,40.281281,41.461658,6.398884,-50.661781,299000000.000000,21125000.000000,40.135269,41.065411,6.374629,-50.289482,299000000.000000,19500000.000000,41.286819,41.204639,6.565917,-53.501827,299000000.000000,19500000.000000,1,0.968162,101.644165,-11.657109,5.330100,0.934638,-0.065362,-0.112029,-86.176003
baseline,baseline,0,1,7,17,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999781,-14.698750,-14.689397,20.712974,406.968827,381.020853,1,40.065144,41.197430,6.362981,-52.417152,299000000.000000,19500000.000000,39.694294,41.365089,6.301378,-50.084648,299000000.000000,19500000.000000,40.898270,41.274765,6.501374,-54.045464,299000000.000000,19500000.000000,1,0.969098,101.431404,-11.782049,6.023577,0.935466,-0.064534,-0.112029,-86.176003
baseline,baseline,0,1,8,18,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999169,-4.827500,-4.841792,9.475665,394.634756,379.880578,1,40.503155,41.824966,6.435740,-51.416637,299000000.000000,24375000.000000,40.315460,41.395355,6.404562,-49.077682,299000000.000000,24375000.000000,41.516434,41.643768,6.604059,-52.221703,299000000.000000,24375000.000000,1,0.985821,67.017204,-15.236211,4.633873,0.962386,-0.037614,-0.112029,-86.176003
baseline,baseline,0,1,9,19,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999779,-12.066250,-12.075650,18.411516,406.653896,380.786162,1,40.344978,41.603741,6.409465,-51.242241,299000000.000000,24375000.000000,40.137283,41.293930,6.374964,-50.861378,299000000.000000,24375000.000000,41.067844,41.402603,6.529542,-53.093189,299000000.000000,24375000.000000,1,0.968486,102.308678,-11.703396,6.335866,0.935706,-0.064294,-0.112029,-86.176003
baseline,baseline,0,1,10,20,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998557,-4.893750,-4.900035,10.374532,387.434449,373.199068,1,40.379517,41.631279,6.415203,-52.019501,299000000.000000,24375000.000000,40.791893,41.573105,6.483704,-51.544994,299000000.000000,24375000.000000,41.650307,41.637417,6.626297,-55.414330,299000000.000000,24375000.000000,1,0.986365,64.629662,-15.393816,5.474497,0.962962,-0.037038,-0.112029,-86.176003
