stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,561,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.000568,-1,-3.141593,-0.141024,-0.097463,-74.971838,299375005.391089,299375005.391089,569.450731,554.360678,0.999946,0.999934,4.187507,4.503169,1,1,0,nan,nan,nan,nan,39.659712,6.295633,38.795183,6.152024,edge estimates disagree,460.117914,-761.525143,1221.643057,
skew,closed_loop_initial_baseline,0,1,2,562,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.007800,-1,-3.141593,-0.133793,-0.092466,-71.127343,299375005.391089,299375005.391089,568.935607,555.767585,0.999960,0.999958,3.589687,3.592802,1,1,0,nan,nan,nan,nan,40.989830,6.516583,40.778898,6.481544,skew outside supported linear range,78.650081,-589.213872,667.863953,
skew,closed_loop_initial_baseline,0,1,3,563,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.956747,-1,-3.141593,-0.184846,-0.127749,-98.268416,299375005.391089,299375005.391089,573.870891,547.568372,0.999965,0.999963,3.404348,3.353013,1,1,0,nan,nan,nan,nan,41.525305,6.605532,41.249762,6.559761,edge estimates disagree,179.996715,-104.692193,284.688908,
skew,closed_loop_initial_baseline,0,1,4,564,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.974195,-1,-3.141593,-0.167398,-0.115691,-88.992832,299375005.391089,299375005.391089,572.193619,550.303681,0.999916,0.999903,5.253073,5.434236,1,1,0,nan,nan,nan,nan,37.732291,5.975464,37.098979,5.870262,edge estimates disagree,238.595125,98.232268,140.362857,
skew,closed_loop_initial_baseline,0,1,5,565,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.942802,-1,-3.141593,-0.198790,-0.137386,-105.681801,299375005.391089,299375005.391089,574.527475,546.055467,0.999851,0.999844,6.999388,6.817295,0,0,0,nan,nan,nan,nan,35.274714,5.567228,35.062193,5.531926,event profile aggregation failed,nan,nan,nan,
skew,closed_loop_initial_baseline,0,1,6,566,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.003321,-1,-3.141593,-0.138272,-0.095561,-73.508632,299375005.391089,299375005.391089,569.455781,555.146131,0.999920,0.999919,5.075962,5.004136,1,1,0,nan,nan,nan,nan,37.988533,6.018029,37.891264,6.001871,edge estimates disagree,-14.577661,-273.093622,258.515962,
skew,closed_loop_initial_baseline,0,1,7,567,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.969560,-1,-3.141593,-0.172033,-0.118894,-91.456696,299375005.391089,299375005.391089,572.401872,549.483897,0.999965,0.999964,3.394143,3.297327,1,1,0,nan,nan,nan,nan,41.529119,6.606166,41.425560,6.588964,skew outside supported linear range,32.192977,-719.264268,751.457245,
skew,closed_loop_initial_baseline,0,1,8,568,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.983926,-1,-3.141593,-0.157667,-0.108965,-83.819474,299375005.391089,299375005.391089,571.354586,552.179040,0.999935,0.999932,4.611958,4.561563,1,1,0,nan,nan,nan,nan,38.850108,6.161147,38.649024,6.127745,edge estimates disagree,222.668668,-412.607383,635.276051,
skew,closed_loop_initial_baseline,0,1,9,569,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.939454,-1,-3.141593,-0.202139,-0.139700,-107.461691,299375005.391089,299375005.391089,574.610415,545.380794,0.999956,0.999947,3.797494,3.985463,1,1,0,nan,nan,nan,nan,40.587229,6.449706,39.714120,6.304671,skew outside supported linear range,-457.533739,-317.708970,139.824768,
skew,closed_loop_initial_baseline,0,1,10,570,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.010591,-1,-3.141593,-0.131002,-0.090537,-69.643640,299375005.391089,299375005.391089,567.982715,555.994040,0.999965,0.999964,3.352483,3.321750,1,1,0,nan,nan,nan,nan,41.569070,6.612802,41.463765,6.595310,edge estimates disagree,446.320352,-678.223414,1124.543766,
skew,actuator_characterization_baseline,0,2,1,571,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.930142,-1,-3.141593,-0.211451,-0.146136,-112.412316,299375005.391089,299375005.391089,575.228377,544.031692,0.999964,0.999963,3.437028,3.320716,1,1,0,nan,nan,nan,nan,41.462845,6.595157,41.277551,6.564377,skew outside supported linear range,355.693506,-876.978189,1232.671695,
skew,actuator_characterization_baseline,0,2,2,572,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.915382,-1,-3.141593,-0.226211,-0.156337,-120.259227,299375005.391089,299375005.391089,575.366101,541.774210,0.999961,0.999962,3.604476,3.353196,1,1,0,nan,nan,nan,nan,41.051744,6.526868,41.156887,6.544333,skew outside supported linear range,486.252566,-935.945721,1422.198287,
skew,actuator_characterization_baseline,0,2,3,573,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.001492,-1,-3.141593,-0.140101,-0.096825,-74.480888,299375005.391089,299375005.391089,569.644344,554.612766,0.999956,0.999956,3.786429,3.673889,1,1,0,nan,nan,nan,nan,40.537179,6.441392,40.566977,6.446342,edge estimates disagree,494.615382,-531.000338,1025.615720,
skew,actuator_characterization_baseline,0,2,4,574,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.990982,-1,-3.141593,-0.150611,-0.104089,-80.068466,299375005.391089,299375005.391089,570.518829,553.334469,0.999959,0.999961,3.674552,3.461562,1,1,0,nan,nan,nan,nan,40.811011,6.486879,41.064013,6.528906,edge estimates disagree,5.434643,-402.017149,407.451793,
skew,actuator_characterization_baseline,0,2,5,575,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.008409,-1,-3.141593,-0.133183,-0.092045,-70.803533,299375005.391089,299375005.391089,568.442110,555.572076,0.999963,0.999956,3.454190,3.699470,1,1,0,nan,nan,nan,nan,41.316500,6.570847,40.521719,6.438824,skew outside supported linear range,107.378191,-755.179180,862.557371,
skew,actuator_characterization_baseline,0,2,6,576,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.916956,-1,-3.141593,-0.224637,-0.155249,-119.422492,299375005.391089,299375005.391089,575.517566,542.240505,0.999962,0.999954,3.557626,3.698673,1,1,0,nan,nan,nan,nan,41.167665,6.546124,40.312620,6.404090,edge estimates disagree,338.664822,-878.373909,1217.038731,
skew,actuator_characterization_baseline,0,2,7,577,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,2.977258,-1,-3.141593,-0.164334,-0.113573,-87.364163,299375005.391089,299375005.391089,571.753672,551.061970,0.999940,0.999936,4.415632,4.420111,1,1,0,nan,nan,nan,nan,39.234021,6.224920,38.905046,6.170273,edge estimates disagree,-296.816603,-77.467484,219.349119,
skew,actuator_characterization_baseline,0,2,8,578,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.009080,-1,-3.141593,-0.132512,-0.091581,-70.446724,299375005.391089,299375005.391089,568.391916,555.957488,0.999963,0.999963,3.435439,3.362004,1,1,0,nan,nan,nan,nan,41.363013,6.578574,41.358567,6.577835,edge estimates disagree,470.138801,-362.515461,832.654262,
skew,actuator_characterization_baseline,0,2,9,579,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.426528,0.992082,1.000000,1,none,3.011205,-1,-3.141593,-0.130388,-0.090112,-69.317281,299375005.391089,299375005.391089,568.009819,556.398755,0.999940,0.999939,4.396964,4.360575,1,1,0,nan,nan,nan,nan,39.213759,6.221555,39.106547,6.203745,edge estimates disagree,554.822480,-401.588650,956.411130,
