stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,7.000000,0.000665,7.000665,0.999886,299409448.818898,299409448.818898,0.000000,6.338974,0.999880,1,0.443897,-0.706763,2.000000,0,41.970974,6.679564,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-50.000000,0.011856,-49.988144,0.999936,299409448.818898,299409448.818898,0.000000,4.615523,0.999935,1,0.496018,-0.834696,2.000000,0,41.450947,6.593181,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,-31.000000,0.009155,-30.990845,0.999931,299409448.818898,299409448.818898,0.000000,4.815772,0.999932,1,0.231660,304.080068,2.000000,0,42.292603,6.732991,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-40.000000,0.011994,-39.988007,0.999930,299409448.818898,299409448.818898,0.000000,5.044561,0.999924,1,0.401888,101.139401,2.000000,1,42.781868,6.814264,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,0.000000,0.008983,0.008983,0.999920,299409448.818898,299409448.818898,0.000000,5.079420,0.999922,1,0.452332,77.853455,2.000000,0,42.507511,6.768690,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,41.000000,-0.006948,40.993053,0.999940,299409448.818898,299409448.818898,0.000000,4.544909,0.999938,1,0.441740,-144.153372,2.000000,0,43.046970,6.858301,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-11.000000,0.005815,-10.994185,0.999925,299409448.818898,299409448.818898,0.000000,5.000475,0.999925,1,0.437825,279.241723,2.000000,0,42.638519,6.790452,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,19.000000,-0.003110,18.996889,0.999946,299409448.818898,299409448.818898,0.000000,4.275804,0.999946,1,0.544135,65.137443,2.000000,0,42.263508,6.728158,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,6.000000,0.007721,6.007721,0.999926,299409448.818898,299409448.818898,0.000000,4.953163,0.999927,1,0.575342,45.821997,2.000000,0,41.886314,6.665501,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-29.000000,0.010862,-28.989138,0.999920,299409448.818898,299409448.818898,0.000000,5.275872,0.999917,1,0.313501,-296.965288,2.000000,0,42.166904,6.712111,
