stage,iteration,accepted_frames,rejected_frames,raw_batch_residual,filtered_batch_residual,correction_before,correction_after,correction_delta,residual_std,residual_min,residual_max,tolerance,pass_count,required_passes,status,sndr_db,enob_bits
offset,1,30,0,9.112042,9.112042,0.000000,-1.500000,-1.500000,6.194747,-1.675625,20.980625,1.000000,0,2,RUNNING,42.467014,6.761963,
offset,2,30,0,7.265459,8.373409,-1.500000,-3.000000,-1.500000,6.227538,-3.571875,21.975626,1.000000,0,2,RUNNING,42.459328,6.760686,
offset,3,30,0,6.699708,7.703929,-3.000000,-4.500000,-1.500000,7.035930,-4.971875,19.690626,1.000000,0,2,RUNNING,42.420250,6.754194,
offset,4,30,0,6.126459,7.072941,-4.500000,-6.000000,-1.500000,6.411798,-10.071875,17.398125,1.000000,0,2,RUNNING,42.417435,6.753728,
offset,5,30,0,1.773209,4.953048,-6.000000,-7.500000,-1.500000,6.176493,-7.921875,15.176875,1.000000,0,2,RUNNING,42.584404,6.781461,
offset,6,30,0,2.229334,3.863562,-7.500000,-8.852247,-1.352247,7.134312,-15.185625,15.539375,1.000000,0,2,RUNNING,42.657574,6.793618,
offset,7,30,0,-0.034041,2.304521,-8.852247,-9.658830,-0.806582,7.405051,-11.298124,14.073125,1.000000,0,2,RUNNING,42.429295,6.755697,
offset,8,30,0,0.541667,1.599379,-9.658830,-10.218613,-0.559783,7.074509,-13.843124,11.006875,1.000000,0,2,RUNNING,42.537064,6.773600,
offset,9,30,0,-1.022458,0.550644,-10.218613,-10.218613,0.000000,7.200790,-11.793125,13.260625,1.000000,1,2,PASS,42.392948,6.749659,
offset,10,30,0,-0.963791,-0.055130,-10.218613,-10.218613,0.000000,5.922628,-12.968124,12.496876,1.000000,2,2,PASS,42.669350,6.795573,
