stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,561,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.033993,-1,-3.141593,-0.107600,-0.074364,-57.202721,299374999.833887,299374999.833887,572.855196,569.014752,0.999890,0.999890,5.999790,5.977504,1,1,0,nan,nan,nan,nan,36.587876,5.785362,36.561772,5.781025,edge estimates disagree,230.468301,-105.886129,336.354430,
skew,closed_loop_initial_baseline,0,1,2,562,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.048151,-1,-3.141593,-0.093441,-0.064578,-49.675745,299374999.833887,299374999.833887,568.676634,572.311612,0.999961,0.999964,3.564619,3.431249,1,1,0,nan,nan,nan,nan,41.046746,6.526038,41.433307,6.590250,edge estimates disagree,315.057314,-500.883595,815.940908,
skew,closed_loop_initial_baseline,0,1,3,563,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.043246,-1,-3.141593,-0.098347,-0.067968,-52.283419,299374999.833887,299374999.833887,570.168828,571.339349,0.999926,0.999931,4.920906,4.747166,1,1,0,nan,nan,nan,nan,38.268867,6.064596,38.598895,6.119418,edge estimates disagree,132.657003,-144.825911,277.482915,
skew,closed_loop_initial_baseline,0,1,4,564,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.030617,-1,-3.141593,-0.110976,-0.076697,-58.997360,299374999.833887,299374999.833887,573.719079,568.790322,0.999955,0.999947,3.860651,4.141049,1,1,0,nan,nan,nan,nan,40.430475,6.423667,39.746536,6.310056,edge estimates disagree,194.855007,133.669517,61.185490,
skew,closed_loop_initial_baseline,0,1,5,565,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,2.993844,-1,-3.141593,-0.147749,-0.102111,-78.546761,299374999.833887,299374999.833887,579.401112,562.401303,0.999941,0.999932,4.448029,4.626948,1,1,0,nan,nan,nan,nan,39.285934,6.233544,38.684735,6.133677,edge estimates disagree,248.559190,-488.794962,737.354152,
skew,closed_loop_initial_baseline,0,1,6,566,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,2.992133,-1,-3.141593,-0.149459,-0.103293,-79.456143,299374999.833887,299374999.833887,579.531239,562.039868,0.999967,0.999963,3.331872,3.431336,1,1,0,nan,nan,nan,nan,41.797470,6.650743,41.275778,6.564083,edge estimates disagree,521.362014,-342.306848,863.668862,
skew,closed_loop_initial_baseline,0,1,7,567,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.038807,-1,-3.141593,-0.102786,-0.071037,-54.643548,299374999.833887,299374999.833887,571.737230,569.956966,0.999876,0.999887,6.377925,6.068419,1,1,0,nan,nan,nan,nan,36.040042,5.694359,36.445030,5.761633,edge estimates disagree,427.309569,-166.170512,593.480081,
skew,closed_loop_initial_baseline,0,1,8,568,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.056209,-1,-3.141593,-0.085383,-0.059009,-45.391758,299374999.833887,299374999.833887,564.788751,574.340153,0.999954,0.999953,3.830116,3.930119,1,1,0,nan,nan,nan,nan,40.363183,6.412489,40.284970,6.399497,corrected tone and dither skew estimates disagree,26.098213,43.197889,17.099676,
skew,closed_loop_initial_baseline,0,1,9,569,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.055520,-1,-3.141593,-0.086072,-0.059485,-45.758066,299374999.833887,299374999.833887,565.393215,573.951485,0.999951,0.999948,3.972007,4.147622,0,0,0,nan,nan,nan,nan,40.056513,6.361547,39.811221,6.320801,POLARITY,nan,nan,nan,
skew,closed_loop_initial_baseline,0,1,10,570,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,2.999314,-1,-3.141593,-0.142279,-0.098330,-75.638821,299374999.833887,299374999.833887,578.778873,563.238707,0.999936,0.999926,4.641668,4.860417,1,1,0,nan,nan,nan,nan,38.906472,6.170510,38.270079,6.064797,skew outside supported linear range,147.708510,-594.485204,742.193713,
skew,actuator_characterization_baseline,0,2,1,571,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.055506,-1,-3.141593,-0.086087,-0.059496,-45.765989,299374999.833887,299374999.833887,564.920225,574.447201,0.999960,0.999961,3.582116,3.587489,0,0,0,nan,nan,nan,nan,40.946650,6.509410,41.078891,6.531377,POLARITY,nan,nan,nan,
skew,actuator_characterization_baseline,0,2,2,572,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.054008,-1,-3.141593,-0.087585,-0.060531,-46.562156,299374999.833887,299374999.833887,566.195660,573.735552,0.999925,0.999927,4.898653,4.910663,1,1,0,nan,nan,nan,nan,38.247498,6.061046,38.341133,6.076600,edge estimates disagree,255.002396,68.207554,186.794842,
skew,actuator_characterization_baseline,0,2,3,573,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-10.218613,1.003976,-1.000000,1,none,3.016954,-1,-3.141593,-0.124639,-0.086139,-66.260824,299374999.833887,299374999.833887,576.139269,565.970861,0.999906,0.999900,5.581584,5.661014,1,1,0,nan,nan,nan,nan,37.265100,5.897857,36.987697,5.851777,edge estimates disagree,44.184894,-144.186697,188.371591,
