stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,1,1,1,321,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.070186,0.070186,0.999942,5.458554,0.775534,1,FIT_QUALITY,42.549755,6.775707,
gain,calibration,1,1,2,322,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.039993,0.039993,0.999503,13.609988,0.844134,1,NONE,41.614716,6.620385,
gain,calibration,1,1,3,323,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.050508,0.050508,0.999795,11.663503,0.732575,1,FIT_QUALITY,42.818268,6.820311,
gain,calibration,1,1,4,324,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.000684,0.000684,0.998963,21.619085,0.679585,1,FIT_QUALITY,42.917412,6.836780,
gain,calibration,1,1,5,325,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.050891,0.050891,0.999945,10.177848,0.947935,1,FIT_QUALITY,43.165188,6.877938,
gain,calibration,1,1,6,326,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.060289,0.060289,0.999864,11.758990,0.927052,1,NONE,41.668919,6.629389,
gain,calibration,1,1,7,327,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.056296,0.056296,0.999852,7.123803,1.234850,1,NONE,41.973698,6.680017,
gain,calibration,1,1,8,328,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,0.994616,-0.005384,0.998038,24.302155,nan,0,POLARITY_IMBALANCE,42.995773,6.849796,
gain,calibration,1,1,9,329,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.046882,0.046882,0.999817,12.655326,0.686203,1,FIT_QUALITY,42.385303,6.748390,
gain,calibration,1,1,10,330,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.049025,0.049025,0.999828,7.516094,1.277323,1,FIT_QUALITY,42.451881,6.759449,
gain,calibration,1,1,11,331,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.066745,0.066745,0.999881,8.400742,nan,0,POLARITY_IMBALANCE,43.257984,6.893353,
gain,calibration,1,1,12,332,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.008655,0.008655,0.998613,23.007450,0.927891,1,NONE,42.849247,6.825457,
gain,calibration,1,1,13,333,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.054983,0.054983,0.999731,10.614949,nan,0,POLARITY_IMBALANCE,43.267933,6.895006,
gain,calibration,1,1,14,334,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.035083,0.035083,0.999805,9.329118,0.678770,1,NONE,43.284782,6.897805,
gain,calibration,1,1,15,335,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.038134,0.038134,0.999829,7.419443,0.823373,1,NONE,43.032120,6.855834,
gain,calibration,1,1,16,336,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.063688,0.063688,0.999913,6.814210,0.713310,1,FIT_QUALITY,43.149597,6.875349,
gain,calibration,1,1,17,337,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.035335,0.035335,0.999467,15.197175,1.100556,1,NONE,42.753281,6.809515,
gain,calibration,1,1,18,338,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.018325,0.018325,0.999499,13.978214,0.742841,1,FIT_QUALITY,42.905464,6.834795,
gain,calibration,1,1,19,339,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.006660,0.006660,0.998864,19.416569,1.439061,1,NONE,42.663906,6.794669,
gain,calibration,1,1,20,340,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,0.979999,-0.020001,0.997907,26.781586,0.955342,1,FIT_QUALITY,42.660160,6.794047,
gain,calibration,1,1,21,341,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.042068,0.042068,0.999913,7.543990,0.726443,1,FIT_QUALITY,43.027946,6.855141,
gain,calibration,1,1,22,342,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.058244,0.058244,0.999837,9.321264,nan,0,POLARITY_IMBALANCE,43.251469,6.892271,
gain,calibration,1,1,23,343,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.047603,0.047603,0.999863,8.056316,0.877082,1,FIT_QUALITY,42.157394,6.710531,
gain,calibration,1,1,24,344,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.041423,0.041423,0.999556,16.129738,0.931229,1,NONE,41.736778,6.640661,
gain,calibration,1,1,25,345,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.012689,0.012689,0.999271,14.810677,0.781424,1,FIT_QUALITY,43.198811,6.883523,
gain,calibration,1,1,26,346,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,0.983476,-0.016524,0.998435,22.665920,nan,0,POLARITY_IMBALANCE,42.340439,6.740937,
gain,calibration,1,1,27,347,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.006983,0.006983,0.999148,15.977553,nan,0,POLARITY_IMBALANCE,42.401981,6.751160,
gain,calibration,1,1,28,348,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.024991,0.024991,0.999498,16.794643,0.428674,1,FIT_QUALITY,43.444736,6.924375,
gain,calibration,1,1,29,349,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.052604,0.052604,0.999782,9.479651,nan,0,POLARITY_IMBALANCE,43.220894,6.887192,
gain,calibration,1,1,30,350,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,1.000000,nan,1.000000,1.032935,0.032935,0.999463,13.090452,1.060449,1,FIT_QUALITY,43.470230,6.928610,
gain,calibration,2,2,1,351,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.979143,-0.020857,0.998505,21.385120,0.585127,1,FIT_QUALITY,42.550972,6.775909,
gain,calibration,2,2,2,352,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.031160,0.031160,0.999867,7.629145,0.949367,1,NONE,42.197140,6.717133,
gain,calibration,2,2,3,353,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.976630,-0.023370,0.998455,20.812317,nan,0,POLARITY_IMBALANCE,42.973324,6.846067,
gain,calibration,2,2,4,354,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.029484,0.029484,0.999807,13.524625,nan,0,POLARITY_IMBALANCE,42.562386,6.777805,
gain,calibration,2,2,5,355,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.999150,-0.000850,0.998762,20.093315,0.806645,1,FIT_QUALITY,42.952953,6.842684,
gain,calibration,2,2,6,356,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.026432,0.026432,0.999391,16.981106,nan,0,POLARITY_IMBALANCE,43.011032,6.852331,
gain,calibration,2,2,7,357,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.041977,0.041977,0.999936,7.981240,0.867793,1,NONE,43.027882,6.855130,
gain,calibration,2,2,8,358,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.004435,0.004435,0.998727,21.785460,nan,0,POLARITY_IMBALANCE,43.128727,6.871882,
gain,calibration,2,2,9,359,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.002877,0.002877,0.999077,16.871998,0.961244,1,FIT_QUALITY,41.838387,6.657539,
gain,calibration,2,2,10,360,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.021549,0.021549,0.999261,15.046140,0.666921,1,FIT_QUALITY,42.904507,6.834636,
gain,calibration,2,2,11,361,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.046274,0.046274,0.999901,6.210535,nan,0,POLARITY_IMBALANCE,43.620995,6.953654,
gain,calibration,2,2,12,362,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.045432,0.045432,0.999955,4.882622,nan,0,POLARITY_IMBALANCE,43.111122,6.868958,
gain,calibration,2,2,13,363,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.994745,-0.005255,0.998325,22.056067,1.065471,1,FIT_QUALITY,42.018543,6.687466,
gain,calibration,2,2,14,364,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.997239,-0.002761,0.998418,22.150352,0.915640,1,FIT_QUALITY,43.447540,6.924841,
gain,calibration,2,2,15,365,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.986377,-0.013623,0.998395,21.418699,0.949700,1,FIT_QUALITY,42.988235,6.848545,
gain,calibration,2,2,16,366,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.047398,0.047398,0.999717,9.821437,0.781333,1,FIT_QUALITY,43.367069,6.911474,
gain,calibration,2,2,17,367,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.020367,0.020367,0.999194,18.053732,nan,0,POLARITY_IMBALANCE,42.892944,6.832716,
gain,calibration,2,2,18,368,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.030782,0.030782,0.999814,8.253481,0.848999,1,FIT_QUALITY,42.458580,6.760562,
gain,calibration,2,2,19,369,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.987975,-0.012025,0.998605,20.183126,0.603655,1,FIT_QUALITY,42.877167,6.830094,
gain,calibration,2,2,20,370,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.038484,0.038484,0.999772,8.844337,0.825171,1,NONE,43.678535,6.963212,
gain,calibration,2,2,21,371,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.030142,0.030142,0.999446,17.795919,0.701114,1,NONE,43.243801,6.890997,
gain,calibration,2,2,22,372,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.986164,-0.013836,0.998156,26.461653,nan,0,POLARITY_IMBALANCE,42.587639,6.782000,
gain,calibration,2,2,23,373,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.060536,0.060536,0.999900,7.318074,0.722786,1,FIT_QUALITY,42.082275,6.698053,
gain,calibration,2,2,24,374,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.998439,-0.001561,0.998525,22.909826,0.609610,1,FIT_QUALITY,44.070633,7.028345,
gain,calibration,2,2,25,375,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,1.009913,0.009913,0.999026,17.137766,0.804995,1,FIT_QUALITY,42.152020,6.709638,
gain,calibration,2,2,26,376,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.991702,nan,1.000000,0.997759,-0.002241,0.998962,17.441185,nan,0,POLARITY_IMBALANCE,42.556564,6.776838,
