stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,1,41,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,3.573006,3.573800,0.999848,7.079503,nan,1.000000,43.686722,6.964572,
offset,calibration,1,1,2,42,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-7.249494,-7.247820,0.999737,9.370588,nan,1.000000,42.068317,6.695734,
offset,calibration,1,1,3,43,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,3.308006,3.307930,0.999891,5.975978,nan,1.000000,41.824314,6.655202,
offset,calibration,1,1,4,44,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,4.981756,4.981936,0.999777,8.539127,nan,1.000000,42.985184,6.848037,
offset,calibration,1,1,5,45,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-1.915744,-1.925091,0.998441,21.304916,nan,1.000000,43.601398,6.950399,
offset,calibration,1,1,6,46,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,1.086756,1.078475,0.998920,17.850792,nan,1.000000,42.038834,6.690836,
offset,calibration,1,1,7,47,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-6.084494,-6.087351,0.999402,13.740794,nan,1.000000,42.462223,6.761167,
offset,calibration,1,1,8,48,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-3.245744,-3.243309,0.999927,4.946548,nan,1.000000,42.701332,6.800886,
offset,calibration,1,1,9,49,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-13.250744,-13.250311,0.999819,7.710088,nan,1.000000,42.873692,6.829517,
offset,calibration,1,1,10,50,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-1.510744,-1.513322,0.999504,12.535026,nan,1.000000,42.856071,6.826590,
