stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,raw_baseline_global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,final_offset_correction_codes,final_gain_correction,active_polarity,final_delay_register,final_skew_samples,final_skew_ps,controller_iteration,analysis_iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_a_thd_db,raw_a_signal_hz,raw_a_worst_spur_hz,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,raw_b_thd_db,raw_b_signal_hz,raw_b_worst_spur_hz,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_a_thd_db,cal_a_signal_hz,cal_a_worst_spur_hz,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,cal_b_thd_db,cal_b_signal_hz,cal_b_worst_spur_hz,A_correlation,B_correlation,A_RMSE_codes,B_RMSE_codes,raw_ab_correlation,cal_ab_correlation,raw_ab_rmse_codes,cal_ab_rmse_codes,raw_ab_residual_dbc,cal_ab_residual_dbc,raw_offset_mismatch_codes,cal_offset_mismatch_codes,raw_gain_ratio_b_over_a,cal_gain_ratio_b_over_a,raw_gain_mismatch,cal_gain_mismatch,raw_skew_mismatch_ps,cal_skew_mismatch_ps,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,cal_parallel_avg_sndr_db,cal_parallel_avg_sfdr_db,cal_parallel_avg_enob,cal_parallel_avg_thd_db,cal_parallel_avg_signal_hz,cal_parallel_avg_worst_spur_hz,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,valid,rejection_reason
performance,performance,0,1,1,931,11,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,1,800,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,42.373398,50.503181,6.746412,-52.114613,299000000.000000,30875000.000000,41.955715,50.387867,6.677030,-48.726814,299000000.000000,84500000.000000,42.522335,51.266796,6.771152,-49.636734,299000000.000000,30875000.000000,43.205540,54.304905,6.884642,-48.976585,299000000.000000,409500000.000000,0.999076,0.998586,16.478064,25.388939,0.987675,0.999898,60.648640,16.747002,-15.875427,-27.147539,3.230411,6.128210,0.966793,0.989837,-0.033207,-0.010163,-50.164551,-4.823817,44.337002,51.527565,7.072592,-53.577560,299000000.000000,30875000.000000,45.266220,54.480312,7.226947,-51.552914,299000000.000000,29250000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,2,932,12,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,2,1600,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,41.683681,50.326420,6.631841,-49.681496,299000000.000000,81250000.000000,42.502491,51.240414,6.767856,-50.556953,299000000.000000,19500000.000000,43.128445,54.805199,6.871835,-50.441090,299000000.000000,583375000.000000,43.388355,54.607471,6.915009,-50.914082,299000000.000000,237250000.000000,0.999908,0.999851,20.249262,16.352205,0.993909,0.999844,42.452370,17.261736,-19.082010,-27.260201,4.111969,5.798919,0.992558,0.988054,-0.007442,-0.011946,-50.164551,-4.823817,43.943222,50.521679,7.007180,-52.133629,299000000.000000,43875000.000000,46.628307,58.346775,7.453207,-52.898838,299000000.000000,63375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,3,933,13,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,3,2400,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,41.991173,50.640957,6.682920,-48.996178,299000000.000000,19500000.000000,42.629238,50.204365,6.788910,-51.403236,299000000.000000,34125000.000000,42.867661,52.629883,6.828516,-52.005024,299000000.000000,442000000.000000,42.889992,54.211197,6.832225,-50.358879,299000000.000000,235625000.000000,0.999804,0.999644,17.253696,29.549068,0.988149,0.999925,61.868946,17.426012,-16.035786,-27.066294,4.130343,7.236768,0.967188,0.992119,-0.032812,-0.007881,-50.164551,-4.823817,44.384209,52.341400,7.080434,-52.685596,299000000.000000,19500000.000000,45.349308,54.368614,7.240749,-52.791824,299000000.000000,60125000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,4,934,14,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,4,3200,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,43.271786,55.209614,6.895646,-50.279469,299000000.000000,110500000.000000,43.388088,54.255913,6.914965,-51.672798,299000000.000000,555750000.000000,43.426926,52.152340,6.921417,-52.400948,299000000.000000,52000000.000000,43.493862,52.734947,6.932536,-52.868687,299000000.000000,82875000.000000,0.998676,0.998176,23.620928,37.370770,0.994194,0.999912,43.126583,17.144623,-19.307770,-26.848383,3.449014,6.904769,0.993535,0.992226,-0.006465,-0.007774,-50.164551,-4.823817,45.928745,55.122475,7.337001,-53.163902,299000000.000000,40625000.000000,45.858925,54.228020,7.325403,-54.976448,299000000.000000,82875000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,5,935,15,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,5,4000,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,42.577309,49.614285,6.780284,-50.761257,299000000.000000,55250000.000000,41.693810,47.986900,6.633523,-48.733746,299000000.000000,86125000.000000,41.814964,50.311390,6.653649,-50.323948,299000000.000000,68250000.000000,42.027363,49.672421,6.688931,-50.284412,299000000.000000,43875000.000000,0.999793,0.999908,16.542477,22.887094,0.980508,0.999853,81.225586,16.865181,-13.811181,-27.358448,4.387401,5.426792,0.950984,0.987588,-0.049016,-0.012412,-50.164551,-4.823817,44.073910,50.297745,7.028889,-53.013580,299000000.000000,60125000.000000,44.032116,51.153870,7.021946,-53.473709,299000000.000000,66625000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,6,936,16,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,6,4800,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,42.918762,50.793900,6.837004,-49.560417,299000000.000000,24375000.000000,42.462090,52.091488,6.761145,-49.826424,299000000.000000,108875000.000000,42.655155,54.133537,6.793215,-50.856129,299000000.000000,107250000.000000,43.291447,42.418892,6.898911,-50.746166,299000000.000000,279500000.000000,0.999915,0.999849,19.704119,18.814363,0.985020,0.999848,68.737396,17.481770,-14.975848,-27.162498,4.769550,5.976545,0.959465,0.987205,-0.040535,-0.012795,-50.164551,-4.823817,44.777069,51.441883,7.145693,-52.063698,299000000.000000,24375000.000000,45.517803,55.200317,7.268738,-53.096466,299000000.000000,61750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,7,937,17,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,7,5600,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,42.795048,51.453537,6.816453,-48.998737,299000000.000000,108875000.000000,41.839134,50.240791,6.657664,-49.140060,299000000.000000,24375000.000000,42.206451,51.246922,6.718680,-49.250938,299000000.000000,26000000.000000,42.079247,52.567249,6.697549,-49.446690,299000000.000000,86125000.000000,0.999799,0.999475,15.123739,24.282400,0.991239,0.999863,51.663815,16.900665,-17.428120,-27.320448,3.691529,5.684426,0.978555,0.988377,-0.021445,-0.011623,-50.164551,-4.823817,44.584026,52.525982,7.113626,-50.737728,299000000.000000,40625000.000000,44.522263,52.284466,7.103366,-51.197159,299000000.000000,34125000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,8,938,18,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,8,6400,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,41.813423,50.271664,6.653393,-49.575726,299000000.000000,60125000.000000,42.396175,48.886105,6.750196,-50.211632,299000000.000000,79625000.000000,42.141190,52.138039,6.707839,-51.114044,299000000.000000,47125000.000000,41.896664,48.609673,6.667220,-50.123428,299000000.000000,50375000.000000,0.999274,0.999564,15.403343,23.793968,0.994411,0.999910,41.504318,18.190950,-19.435545,-26.487745,5.416668,7.891563,0.995878,0.991276,-0.004122,-0.008724,-50.164551,-4.823817,44.262615,50.658989,7.060236,-53.425694,299000000.000000,61750000.000000,44.119015,50.608055,7.036382,-53.541065,299000000.000000,48750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,9,939,19,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,9,7200,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,43.659351,53.332394,6.960025,-52.272850,299000000.000000,66625000.000000,43.325237,52.524082,6.904525,-52.980717,299000000.000000,27625000.000000,43.591042,53.288715,6.948678,-51.090076,299000000.000000,43875000.000000,42.921055,53.702133,6.837385,-51.621895,299000000.000000,74750000.000000,0.999177,0.998820,16.207211,27.499376,0.990110,0.999919,56.947987,17.510992,-16.874708,-26.808338,4.057834,7.263450,0.974642,0.991347,-0.025358,-0.008653,-50.164551,-4.823817,46.056850,54.440895,7.358281,-55.750187,299000000.000000,47125000.000000,45.498085,54.861012,7.265463,-53.280346,299000000.000000,55250000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,10,940,20,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.739600,0.972992,-1.000000,34,-0.006271,-4.823817,0,10,8000,0,3,0,4.739600,4.739600,0.972992,0.972992,1.000000,nan,nan,-4.823817,42.132477,49.408161,6.706392,-50.253494,299000000.000000,50375000.000000,42.317547,50.193279,6.737134,-48.312874,299000000.000000,22750000.000000,43.571129,54.340195,6.945371,-50.317917,299000000.000000,99125000.000000,42.044327,52.318707,6.691749,-49.406017,299000000.000000,19500000.000000,0.999736,0.999573,15.303555,15.404172,0.987525,0.999930,61.211861,17.085051,-15.804770,-27.185795,4.884623,6.979900,0.966354,0.992739,-0.033646,-0.007261,-50.164551,-4.823817,44.246044,51.652187,7.057483,-51.071537,299000000.000000,22750000.000000,44.956524,55.156803,7.175503,-52.647205,299000000.000000,65000000.000000,nan,nan,nan,nan,1,none
