sample_index,adc_code,ifc_vpp,sweep_index
0,147,2.04,1
1,-151,2.04,1
2,92,2.04,1
3,-55,2.04,1
4,121,2.04,1
5,-51,2.04,1
6,77,2.04,1
7,-97,2.04,1
8,198,2.04,1
9,67,2.04,1
10,140,2.04,1
11,-97,2.04,1
12,3,2.04,1
13,-112,2.04,1
14,68,2.04,1
15,-87,2.04,1
16,183,2.04,1
17,51,2.04,1
18,82,2.04,1
19,-53,2.04,1
20,787,2.04,1
21,-44,2.04,1
22,185,2.04,1
23,-121,2.04,1
24,65,2.04,1
25,-101,2.04,1
26,62,2.04,1
27,-201,2.04,1
28,95,2.04,1
29,-157,2.04,1
30,130,2.04,1
31,-40,2.04,1
32,320,2.04,1
33,-129,2.04,1
34,108,2.04,1
35,-31,2.04,1
36,70,2.04,1
37,-122,2.04,1
38,127,2.04,1
39,-19,2.04,1
40,182,2.04,1
41,-215,2.04,1
42,116,2.04,1
43,-89,2.04,1
44,281,2.04,1
45,-58,2.04,1
46,245,2.04,1
47,-35,2.04,1
48,144,2.04,1
49,-136,2.04,1
50,217,2.04,1
51,-94,2.04,1
52,38,2.04,1
53,-47,2.04,1
54,136,2.04,1
55,-5,2.04,1
56,324,2.04,1
57,-25,2.04,1
58,98,2.04,1
59,-61,2.04,1
60,226,2.04,1
61,-21,2.04,1
62,156,2.04,1
63,-96,2.04,1
64,77,2.04,1
65,-175,2.04,1
66,101,2.04,1
67,-110,2.04,1
68,44,2.04,1
69,-39,2.04,1
70,194,2.04,1
71,-28,2.04,1
72,190,2.04,1
73,-17,2.04,1
74,223,2.04,1
75,-114,2.04,1
76,67,2.04,1
77,-47,2.04,1
78,126,2.04,1
79,-143,2.04,1
80,195,2.04,1
81,-89,2.04,1
82,180,2.04,1
83,-37,2.04,1
84,76,2.04,1
85,-33,2.04,1
86,151,2.04,1
87,-83,2.04,1
88,113,2.04,1
89,-183,2.04,1
90,36,2.04,1
91,-161,2.04,1
92,149,2.04,1
93,-174,2.04,1
94,224,2.04,1
95,-121,2.04,1
96,256,2.04,1
97,51,2.04,1
98,69,2.04,1
99,-122,2.04,1
100,58,2.04,1
101,-126,2.04,1
102,81,2.04,1
103,-204,2.04,1
104,177,2.04,1
105,-81,2.04,1
106,115,2.04,1
107,-87,2.04,1
108,221,2.04,1
109,-36,2.04,1
110,202,2.04,1
111,-97,2.04,1
112,179,2.04,1
113,-96,2.04,1
114,81,2.04,1
115,-141,2.04,1
116,162,2.04,1
117,-192,2.04,1
118,199,2.04,1
119,-118,2.04,1
120,160,2.04,1
121,-112,2.04,1
122,213,2.04,1
123,-18,2.04,1
124,253,2.04,1
125,-80,2.04,1
126,32,2.04,1
127,-25,2.04,1
128,122,2.04,1
129,24,2.04,1
130,-31,2.04,1
131,-65,2.04,1
132,162,2.04,1
133,-58,2.04,1
134,133,2.04,1
135,-93,2.04,1
136,223,2.04,1
137,57,2.04,1
138,44,2.04,1
139,-35,2.04,1
140,84,2.04,1
141,-89,2.04,1
142,162,2.04,1
143,-188,2.04,1
144,152,2.04,1
145,-153,2.04,1
146,116,2.04,1
147,-79,2.04,1
148,128,2.04,1
149,42,2.04,1
150,171,2.04,1
151,-80,2.04,1
152,185,2.04,1
153,-203,2.04,1
154,117,2.04,1
155,-50,2.04,1
156,130,2.04,1
157,-113,2.04,1
158,116,2.04,1
159,-135,2.04,1
160,326,2.04,1
161,-23,2.04,1
162,219,2.04,1
163,-113,2.04,1
164,207,2.04,1
165,-39,2.04,1
166,84,2.04,1
167,-27,2.04,1
168,115,2.04,1
169,-227,2.04,1
170,148,2.04,1
171,-165,2.04,1
172,203,2.04,1
173,11,2.04,1
174,205,2.04,1
175,-62,2.04,1
176,244,2.04,1
177,-83,2.04,1
178,61,2.04,1
179,-90,2.04,1
180,108,2.04,1
181,-173,2.04,1
182,86,2.04,1
183,-96,2.04,1
184,51,2.04,1
185,-77,2.04,1
186,131,2.04,1
187,23,2.04,1
188,228,2.04,1
189,-30,2.04,1
190,162,2.04,1
191,16,2.04,1
192,139,2.04,1
193,-51,2.04,1
194,79,2.04,1
195,-161,2.04,1
196,176,2.04,1
197,-138,2.04,1
198,221,2.04,1
199,-9,2.04,1
200,156,2.04,1
201,68,2.04,1
202,101,2.04,1
203,-103,2.04,1
204,38,2.04,1
205,-136,2.04,1
206,145,2.04,1
207,-126,2.04,1
208,89,2.04,1
209,-126,2.04,1
210,29,2.04,1
211,-57,2.04,1
212,235,2.04,1
213,-48,2.04,1
214,202,2.04,1
215,15,2.04,1
216,208,2.04,1
217,-71,2.04,1
218,90,2.04,1
219,-51,2.04,1
220,61,2.04,1
221,-216,2.04,1
222,27,2.04,1
223,-87,2.04,1
224,221,2.04,1
225,-56,2.04,1
226,89,2.04,1
227,-42,2.04,1
228,268,2.04,1
229,-104,2.04,1
230,18,2.04,1
231,-96,2.04,1
232,167,2.04,1
233,-118,2.04,1
234,173,2.04,1
235,-196,2.04,1
236,133,2.04,1
237,-109,2.04,1
238,214,2.04,1
239,36,2.04,1
240,272,2.04,1
241,-31,2.04,1
242,75,2.04,1
243,-110,2.04,1
244,101,2.04,1
245,-145,2.04,1
246,112,2.04,1
247,-145,2.04,1
248,248,2.04,1
249,-194,2.04,1
250,203,2.04,1
251,-23,2.04,1
252,213,2.04,1
253,-180,2.04,1
254,211,2.04,1
255,86,2.04,1
256,180,2.04,1
257,-49,2.04,1
258,132,2.04,1
259,-126,2.04,1
260,152,2.04,1
261,-149,2.04,1
262,98,2.04,1
263,-45,2.04,1
264,230,2.04,1
265,9,2.04,1
266,182,2.04,1
267,-107,2.04,1
268,194,2.04,1
269,-28,2.04,1
270,211,2.04,1
271,-91,2.04,1
272,138,2.04,1
273,-54,2.04,1
274,-49,2.04,1
275,-110,2.04,1
276,199,2.04,1
277,-51,2.04,1
278,267,2.04,1
279,-21,2.04,1
280,222,2.04,1
281,-19,2.04,1
282,232,2.04,1
283,-65,2.04,1
284,70,2.04,1
285,-190,2.04,1
286,147,2.04,1
287,-241,2.04,1
288,224,2.04,1
289,-109,2.04,1
290,173,2.04,1
291,-88,2.04,1
292,234,2.04,1
293,35,2.04,1
294,171,2.04,1
295,-43,2.04,1
296,-7,2.04,1
297,-844,2.04,1
298,106,2.04,1
299,-237,2.04,1
300,44,2.04,1
301,-68,2.04,1
302,174,2.04,1
303,-72,2.04,1
304,248,2.04,1
305,-105,2.04,1
306,85,2.04,1
307,-109,2.04,1
308,100,2.04,1
309,6,2.04,1
310,175,2.04,1
311,-244,2.04,1
312,56,2.04,1
313,-181,2.04,1
314,143,2.04,1
315,-217,2.04,1
316,225,2.04,1
317,-183,2.04,1
318,266,2.04,1
319,46,2.04,1
320,129,2.04,1
321,-128,2.04,1
322,134,2.04,1
323,-56,2.04,1
324,110,2.04,1
325,-134,2.04,1
326,85,2.04,1
327,-227,2.04,1
328,186,2.04,1
329,-32,2.04,1
330,201,2.04,1
331,-36,2.04,1
332,285,2.04,1
333,-106,2.04,1
334,160,2.04,1
335,-106,2.04,1
336,50,2.04,1
337,-137,2.04,1
338,96,2.04,1
339,-98,2.04,1
340,128,2.04,1
341,-83,2.04,1
342,214,2.04,1
343,-83,2.04,1
344,209,2.04,1
345,25,2.04,1
346,196,2.04,1
347,-100,2.04,1
348,181,2.04,1
349,-19,2.04,1
350,132,2.04,1
351,-197,2.04,1
352,124,2.04,1
353,-167,2.04,1
354,221,2.04,1
355,-63,2.04,1
356,190,2.04,1
357,50,2.04,1
358,251,2.04,1
359,-91,2.04,1
360,240,2.04,1
361,-100,2.04,1
362,37,2.04,1
363,-188,2.04,1
364,42,2.04,1
365,-200,2.04,1
366,103,2.04,1
367,-128,2.04,1
368,196,2.04,1
369,-5,2.04,1
370,207,2.04,1
371,-106,2.04,1
372,135,2.04,1
373,-134,2.04,1
