scenario,stage,stage_iteration,frame_index,accepted,rejection_reason,estimated_lag,correlation,offset_correction,gain_correction,estimated_skew_samples,status
offset_positive,offset,0,0,1,none,0.000000,1.000000,-10.000000,1.000000,nan,offset
offset_positive,offset,1,1,1,none,0.000000,1.000000,-15.000000,1.000000,nan,offset
offset_positive,offset,2,2,1,none,0.000000,1.000000,-17.500000,1.000000,nan,offset
offset_positive,offset,3,3,1,none,0.000000,1.000000,-18.750000,1.000000,nan,offset
offset_positive,offset,4,4,1,none,0.000000,1.000000,-19.375000,1.000000,nan,offset
offset_positive,gain,5,5,1,none,0.000000,1.000000,-19.375000,1.000000,nan,gain
offset_positive,complete,6,6,1,none,0.000000,1.000000,-19.375000,1.000000,nan,complete
offset_negative,offset,0,0,1,none,0.000000,1.000000,10.000000,1.000000,nan,offset
offset_negative,offset,1,1,1,none,0.000000,1.000000,15.000000,1.000000,nan,offset
offset_negative,offset,2,2,1,none,0.000000,1.000000,17.500000,1.000000,nan,offset
offset_negative,offset,3,3,1,none,0.000000,1.000000,18.750000,1.000000,nan,offset
offset_negative,offset,4,4,1,none,0.000000,1.000000,19.375000,1.000000,nan,offset
offset_negative,gain,5,5,1,none,0.000000,1.000000,19.375000,1.000000,nan,gain
offset_negative,complete,6,6,1,none,0.000000,1.000000,19.375000,1.000000,nan,complete
noisy,offset,0,0,1,none,-0.001047,0.999954,-5.939468,1.000000,nan,offset
noisy,offset,1,1,1,none,0.000317,0.999957,-8.831447,1.000000,nan,offset
noisy,offset,2,2,1,none,-0.002568,0.999954,-10.565330,1.000000,nan,offset
noisy,offset,3,3,1,none,-0.000501,0.999952,-11.390440,1.000000,nan,offset
noisy,gain,4,4,1,none,-0.003431,0.999958,-11.390440,1.000000,nan,gain
noisy,complete,5,5,1,none,0.002989,0.999950,-11.390440,1.000000,nan,complete
gain_low,gain,0,0,1,none,0.000001,1.000000,0.000000,1.000000,nan,gain
gain_low,gain,1,1,1,none,0.000001,1.000000,0.000000,1.049999,nan,gain
gain_low,gain,2,2,1,none,0.000001,1.000000,0.000000,1.091998,nan,gain
gain_low,gain,3,3,1,none,0.000001,1.000000,0.000000,1.126504,nan,gain
gain_low,gain,4,4,1,none,0.000001,1.000000,0.000000,1.154326,nan,gain
gain_low,gain,5,5,1,none,0.000001,1.000000,0.000000,1.176413,nan,gain
gain_low,gain,6,6,1,none,0.000001,1.000000,0.000000,1.193725,nan,gain
gain_low,gain,7,7,1,none,0.000001,1.000000,0.000000,1.207159,nan,gain
gain_low,gain,8,8,1,none,0.000001,1.000000,0.000000,1.217500,nan,gain
gain_low,gain,9,9,1,none,0.000001,1.000000,0.000000,1.225412,nan,gain
gain_low,gain,10,10,1,none,0.000001,1.000000,0.000000,1.231437,nan,gain
gain_low,gain,11,11,1,none,0.000001,1.000000,0.000000,1.236007,nan,gain
gain_low,gain,12,12,1,none,0.000001,1.000000,0.000000,1.239464,nan,gain
gain_low,complete,13,13,1,none,0.000001,1.000000,0.000000,1.239464,nan,complete
gain_high,gain,0,0,1,none,0.000001,1.000000,0.000000,1.000000,nan,gain
gain_high,gain,1,1,1,none,0.000001,1.000000,0.000000,0.949999,nan,gain
gain_high,gain,2,2,1,none,0.000001,1.000000,0.000000,0.916749,nan,gain
gain_high,gain,3,3,1,none,0.000001,1.000000,0.000000,0.893807,nan,gain
gain_high,gain,4,4,1,none,0.000001,1.000000,0.000000,0.877591,nan,gain
gain_high,gain,5,5,1,none,0.000001,1.000000,0.000000,0.865939,nan,gain
gain_high,gain,6,6,1,none,0.000001,1.000000,0.000000,0.857468,nan,gain
gain_high,gain,7,7,1,none,0.000001,1.000000,0.000000,0.851259,nan,gain
gain_high,gain,8,8,1,none,0.000001,1.000000,0.000000,0.846681,nan,gain
gain_high,gain,9,9,1,none,0.000001,1.000000,0.000000,0.843290,nan,gain
gain_high,gain,10,10,1,none,0.000001,1.000000,0.000000,0.840771,nan,gain
gain_high,complete,11,11,1,none,0.000001,1.000000,0.000000,0.840771,nan,complete
gain_saturation,gain,0,0,1,none,-0.000692,0.999990,0.000000,1.000000,nan,gain
gain_saturation,gain,1,1,1,none,-0.000692,0.999990,0.000000,1.237499,nan,gain
gain_saturation,gain,2,2,1,none,-0.000692,0.999990,0.000000,1.527728,nan,gain
gain_saturation,gain,3,3,1,none,-0.000692,0.999990,0.000000,1.880482,nan,gain
gain_saturation,gain,4,4,1,none,-0.000692,0.999990,0.000000,2.306395,nan,gain
gain_saturation,gain,5,5,1,none,-0.000692,0.999990,0.000000,2.816492,nan,gain
gain_saturation,gain,6,6,1,none,-0.000692,0.999990,0.000000,3.421445,nan,gain
gain_saturation,gain,7,7,1,none,-0.000692,0.999990,0.000000,4.130460,nan,gain
gain_saturation,gain,8,8,1,none,-0.000692,0.999990,0.000000,4.949790,nan,gain
gain_saturation,gain,9,9,1,none,-0.000692,0.999990,0.000000,5.880944,nan,gain
gain_saturation,gain,10,10,1,none,-0.000692,0.999990,0.000000,6.918808,nan,gain
gain_saturation,gain,11,11,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,12,12,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,13,13,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,14,14,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,15,15,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,16,16,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,17,17,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,18,18,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,19,19,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,gain,20,20,1,none,-0.000692,0.999990,0.000000,8.000000,nan,gain
gain_saturation,failed,21,21,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,22,22,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,23,23,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,24,24,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,25,25,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,26,26,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,27,27,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,28,28,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,29,29,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,30,30,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,31,31,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,32,32,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,33,33,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,34,34,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,35,35,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,36,36,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,37,37,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,38,38,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,39,39,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,40,40,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,41,41,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,42,42,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,43,43,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,44,44,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,45,45,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,46,46,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,47,47,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,48,48,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,49,49,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,50,50,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,51,51,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,52,52,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,53,53,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,54,54,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,55,55,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,56,56,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,57,57,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,58,58,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
gain_saturation,failed,59,59,1,none,-0.000692,0.999990,0.000000,8.000000,nan,failed
nominal,offset,0,0,1,none,-0.000091,1.000000,-1.993602,1.000000,nan,offset
nominal,offset,1,1,1,none,0.000057,1.000000,-2.984498,1.000000,nan,offset
nominal,offset,2,2,1,none,-0.000304,1.000000,-3.512426,1.000000,nan,offset
nominal,gain,3,3,1,none,-0.000021,0.999999,-3.512426,1.000000,nan,gain
nominal,complete,4,4,1,none,-0.000328,1.000000,-3.512426,1.000000,nan,complete
timing_shift,gain,0,0,1,none,-203.000690,0.999908,0.000000,1.000000,nan,gain
timing_shift,complete,1,1,1,none,-208.000690,0.999908,0.000000,1.000000,nan,complete
noisy,offset,0,0,1,none,-0.001047,0.999954,-5.939468,1.000000,nan,offset
noisy,offset,1,1,1,none,0.000317,0.999957,-8.831447,1.000000,nan,offset
noisy,offset,2,2,1,none,-0.002568,0.999954,-10.565330,1.000000,nan,offset
noisy,offset,3,3,1,none,-0.000501,0.999952,-11.390440,1.000000,nan,offset
noisy,gain,4,4,1,none,-0.003431,0.999958,-11.390440,1.000000,nan,gain
noisy,complete,5,5,1,none,0.002989,0.999950,-11.390440,1.000000,nan,complete
bad_reference,gain,0,0,1,none,0.000000,1.000000,0.000000,1.000000,nan,gain
bad_reference,complete,1,1,1,none,0.000000,1.000000,0.000000,1.000000,nan,complete
offset_positive,offset,0,0,1,none,0.000000,1.000000,-10.000000,1.000000,nan,offset
offset_positive,offset,1,1,1,none,0.000000,1.000000,-15.000000,1.000000,nan,offset
offset_positive,offset,2,2,1,none,0.000000,1.000000,-17.500000,1.000000,nan,offset
offset_positive,offset,3,3,1,none,0.000000,1.000000,-18.750000,1.000000,nan,offset
offset_positive,offset,4,4,1,none,0.000000,1.000000,-19.375000,1.000000,nan,offset
offset_positive,gain,5,5,1,none,0.000000,1.000000,-19.375000,1.000000,nan,gain
offset_positive,complete,6,6,1,none,0.000000,1.000000,-19.375000,1.000000,nan,complete
offset_negative,offset,0,0,1,none,0.000000,1.000000,10.000000,1.000000,nan,offset
offset_negative,offset,1,1,1,none,0.000000,1.000000,15.000000,1.000000,nan,offset
offset_negative,offset,2,2,1,none,0.000000,1.000000,17.500000,1.000000,nan,offset
offset_negative,offset,3,3,1,none,0.000000,1.000000,18.750000,1.000000,nan,offset
offset_negative,offset,4,4,1,none,0.000000,1.000000,19.375000,1.000000,nan,offset
offset_negative,gain,5,5,1,none,0.000000,1.000000,19.375000,1.000000,nan,gain
offset_negative,complete,6,6,1,none,0.000000,1.000000,19.375000,1.000000,nan,complete
gain_low,gain,0,0,1,none,0.000001,1.000000,0.000000,1.000000,nan,gain
gain_low,gain,1,1,1,none,0.000001,1.000000,0.000000,1.049999,nan,gain
gain_low,gain,2,2,1,none,0.000001,1.000000,0.000000,1.091998,nan,gain
gain_low,gain,3,3,1,none,0.000001,1.000000,0.000000,1.126504,nan,gain
gain_low,gain,4,4,1,none,0.000001,1.000000,0.000000,1.154326,nan,gain
gain_low,gain,5,5,1,none,0.000001,1.000000,0.000000,1.176413,nan,gain
gain_low,gain,6,6,1,none,0.000001,1.000000,0.000000,1.193725,nan,gain
gain_low,gain,7,7,1,none,0.000001,1.000000,0.000000,1.207159,nan,gain
gain_low,gain,8,8,1,none,0.000001,1.000000,0.000000,1.217500,nan,gain
gain_low,gain,9,9,1,none,0.000001,1.000000,0.000000,1.225412,nan,gain
gain_low,gain,10,10,1,none,0.000001,1.000000,0.000000,1.231437,nan,gain
gain_low,gain,11,11,1,none,0.000001,1.000000,0.000000,1.236007,nan,gain
gain_low,gain,12,12,1,none,0.000001,1.000000,0.000000,1.239464,nan,gain
gain_low,complete,13,13,1,none,0.000001,1.000000,0.000000,1.239464,nan,complete
gain_high,gain,0,0,1,none,0.000001,1.000000,0.000000,1.000000,nan,gain
gain_high,gain,1,1,1,none,0.000001,1.000000,0.000000,0.949999,nan,gain
gain_high,gain,2,2,1,none,0.000001,1.000000,0.000000,0.916749,nan,gain
gain_high,gain,3,3,1,none,0.000001,1.000000,0.000000,0.893807,nan,gain
gain_high,gain,4,4,1,none,0.000001,1.000000,0.000000,0.877591,nan,gain
gain_high,gain,5,5,1,none,0.000001,1.000000,0.000000,0.865939,nan,gain
gain_high,gain,6,6,1,none,0.000001,1.000000,0.000000,0.857468,nan,gain
gain_high,gain,7,7,1,none,0.000001,1.000000,0.000000,0.851259,nan,gain
gain_high,gain,8,8,1,none,0.000001,1.000000,0.000000,0.846681,nan,gain
gain_high,gain,9,9,1,none,0.000001,1.000000,0.000000,0.843290,nan,gain
gain_high,gain,10,10,1,none,0.000001,1.000000,0.000000,0.840771,nan,gain
gain_high,complete,11,11,1,none,0.000001,1.000000,0.000000,0.840771,nan,complete
gain_saturation,gain,0,0,1,none,-0.000692,0.999990,0.000000,1.000000,nan,gain
gain_saturation,gain,1,1,1,none,-0.000692,0.999990,0.000000,1.237499,nan,gain
gain_saturation,gain,2,2,1,none,-0.000692,0.999990,0.000000,1.527728,nan,gain
gain_saturation,gain,3,3,1,none,-0.000692,0.999990,0.000000,1.880482,nan,gain
gain_saturation,gain,4,4,1,none,-0.000692,0.999990,0.000000,2.306395,nan,gain
gain_saturation,gain,5,5,1,none,-0.000692,0.999990,0.000000,2.816492,nan,gain
gain_saturation,gain,6,6,1,none,-0.000692,0.999990,0.000000,3.421445,nan,gain
